Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: UBS belässt Airbus auf 'Sell' - Ziel 107 Euro,"14.09.2023, 16:34",dpa-AFX,https://www.onvista.de/news/2023/09-14-analyse-flash-ubs-belaesst-airbus-auf-sell-ziel-107-euro-10-26176311,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat Airbus auf ""Sell"" mit einem Kursziel von 107 Euro belassen. Analyst Ian Douglas-Pennant befürchtet laut einer am Donnerstag vorliegenden Studie schwache monatliche Auslieferungszahlen des Flugzeugbauers. Im saisonal schwachen September könnten weniger als 60 Maschinen ausgeliefert werden. Damit drohe ein Ende des positiven Trends der vergangenen Monate, in denen die Zahlen stets positiv überrascht hätten./gl/la
Veröffentlichung der Original-Studie: 13.09.2023 / 18:07 / GMT Erstmalige Weitergabe der Original-Studie: 13.09.2023 / 18:07 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research hebt Ziel für Airbus auf 128 Euro - 'Hold',"27.07.2023, 11:52",dpa-AFX,https://www.onvista.de/news/2023/07-27-analyse-flash-deutsche-bank-research-hebt-ziel-fuer-airbus-auf-128-euro-hold-10-26159449,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Airbus von 127 auf 128 Euro angehoben und die Einstufung auf ""Hold"" belassen. Das starke zweite Quartal habe die Erwartungen übererfüllt, schrieb Analyst Christophe Menard in einer am Donnerstag vorliegenden Studie. Die Signale seien allerdings vorsichtig./ag/tav
Veröffentlichung der Original-Studie: 27.07.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 27.07.2023 / 07:02 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Metzler hebt Ziel für Airbus auf 161 Euro - 'Buy',"17.07.2023, 15:05",dpa-AFX,https://www.onvista.de/news/2023/07-17-analyse-flash-metzler-hebt-ziel-fuer-airbus-auf-161-euro-buy-10-26155731,"FRANKFURT (dpa-AFX Broker) - Das Bankhaus Metzler hat das Kursziel für Airbus von 147 auf 161 Euro angehoben und die Einstufung auf ""Buy"" belassen. Die Ergebnisse des zweiten Quartals sollten die Jahresziele des Airbus-Konzerns untermauern, schrieb Analyst Stephan Bauer am Montag in seinem Ausblick. Das höhere Kursziel führt er auf die gestiegene Branchenbewertung zurück./ag/tih
Veröffentlichung der Original-Studie: 17.07.2023 / 07:55 / CEST
Erstmalige Weitergabe der Original-Studie: 17.07.2023 / 07:55 / CEST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Airbus auf 'Sell' - Ziel 100 Euro,"08.06.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/06-08-analyse-flash-berenberg-belaesst-airbus-auf-sell-ziel-100-euro-10-26142075,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Airbus nach Auslieferungsdaten für den Monat Mai auf ""Sell"" mit einem Kursziel von 100 Euro belassen. Die Zahlen seien ermutigend, doch es sei noch zu früh, um nun auf den weiteren Verlauf zu schließen, schrieb Analyst Philip Buller in einer am Donnerstag vorliegenden Studie. Er rechnet angesichts der sehr komplexen Lieferketten mit weiteren stark schwankenden Auslieferungen im Jahresverlauf./ck/mis
Veröffentlichung der Original-Studie: 08.06.2023 / 04:49 / GMT
Erstmalige Weitergabe der Original-Studie: 08.06.2023 / Uhrzeit in Studie nicht angegeben / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: DZ Bank belässt Airbus auf 'Halten' - Fairer Wert 119 Euro,"27.03.2023, 16:50",dpa-AFX,https://www.onvista.de/news/2023/03-27-analyse-flash-dz-bank-belaesst-airbus-auf-halten-fairer-wert-119-euro-10-26114646,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat die Einstufung für Airbus auf ""Halten"" mit einem fairen Wert von 119 Euro belassen. Positiv zu sehen sei für den Flugzeugbauer die schnell fortschreitende Erholung des globalen Flugverkehrs und die zusätzlich durch die Dekarbonisierung angetriebene weiterhin hohe Nachfrage, schrieb Analyst Holger Schmidt in einer am Montag vorliegenden Studie. Dem gegenüber stünden allerdings nach wie vor Schwierigkeiten in der Lieferkette und der Produktion sowie eher schwache Auslieferungen im ersten Quartal. Die erwartete Anku?ndigung eines Aktienru?ckkaufs hält Schmidt im laufenden Jahr fu?r unwahrscheinlich./ck/la
Veröffentlichung der Original-Studie: 27.03.2023 / 14:07 / MESZ
Erstmalige Weitergabe der Original-Studie: 27.03.2023 / 14:14 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Airbus auf 'Overweight' - Ziel 160 Euro,"16.02.2023, 11:39",dpa-AFX,https://www.onvista.de/news/2023/02-16-analyse-flash-jpmorgan-belaesst-airbus-auf-overweight-ziel-160-euro-10-26099004,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Airbus nach Zahlen und einem Ausblick auf das Jahr 2023 auf ""Overweight"" mit einem Kursziel von 160 Euro belassen. Die Aktie steht zudem auf der ""Analyst Focus List"" von JPMorgan. Die Schlussquartalszahlen des Flugzeugbauers seien besser als erwartet ausgefallen, vor allem was Verkehrsflugzeuge betreffe, schrieb Analyst David Perry in einer am Donnerstag vorliegenden Studie. Die Prognose für die Auslieferungen und das operative Ergebnis (Ebita) entspreche zudem dem ""Reset"" der Erwartungen auf Seiten der Investmentbanker in den vergangenen Wochen./ck/gl
Veröffentlichung der Original-Studie: 16.02.2023 / 06:38 / GMT Erstmalige Weitergabe der Original-Studie: 16.02.2023 / 06:49 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Berenberg senkt Airbus auf 'Sell' und Ziel auf 100 Euro,"07.02.2023, 09:19",dpa-AFX,https://www.onvista.de/news/2023/02-07-analyse-flash-berenberg-senkt-airbus-auf-sell-und-ziel-auf-100-euro-10-26094913,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Airbus von ""Hold"" auf ""Sell"" abgestuft und das Kursziel von 120 auf 100 Euro gesenkt. Die Inflationsschutzklauseln in Flugzeug-Lieferverträgen dürften in den Jahren bis 2025 einen negativen Einfluss auf die Profitabilität (Ebit-Marge) des Luft- und Raumfahrtkonzerns haben, begründete Analyst Philip Buller in einer am Dienstag vorliegenden Studie sein neues Anlagevotum./gl/edh
Veröffentlichung der Original-Studie: 06.02.2023 / 17:17 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: UBS senkt Airbus von 'Buy' auf 'Sell' - Ziel runter auf 105 Euro,"31.01.2023, 07:52",dpa-AFX,https://www.onvista.de/news/2023/01-31-analyse-flash-ubs-senkt-airbus-von-buy-auf-sell-ziel-runter-auf-105-euro-10-26092154,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat Airbus um gleich zwei Stufen von ""Buy"" auf ""Sell"" gesenkt und das Kursziel von 139 auf 105 Euro reduziert. Analyst Ian Douglas-Pennant führte hierfür die Vorsicht am Markt mit Blick auf die Produktionsziele des Flugzeugbauers an. So sei nicht klar, ob das Unternehmen im Jahr 2026 wie vorgesehen 75 Maschinen des Typs A320 pro Monat fertigen kann. Zumindest auf kurze Sicht gebe es weiteres Abwärtspotenzial bei den Erwartungen an Airbus, hieß es in einer am Dienstag vorliegenden Studie./bek/ajx
Veröffentlichung der Original-Studie: 30.01.2023 / 16:46 / GMT
Erstmalige Weitergabe der Original-Studie: 30.01.2023 / 16:46 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Jefferies senkt Airbus auf 'Hold' - Ziel gesenkt auf 130 Euro,"27.01.2023, 06:56",dpa-AFX,https://www.onvista.de/news/2023/01-27-analyse-flash-jefferies-senkt-airbus-auf-hold-ziel-gesenkt-auf-130-euro-10-26090993,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Airbus von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 135 auf 130 Euro gesenkt. Der wohl ziemlich konservative Ausblick dürfte den Aktien kaum helfen, schrieb Analystin Chloe Lemarie in einem am Freitag vorliegenden Ausblick auf die Bilanz Mitte Februar. Sie kappte ihre Ergebnisschätzungen für den Flugzeugbauer bis 2025 um bis zu zwölf Prozent./ag/ajx
Veröffentlichung der Original-Studie: 26.01.2023 / 13:49 / ET
Erstmalige Weitergabe der Original-Studie: 26.01.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE: Airbus weiter durch Lieferengpässe belastet - Deutsche Bank stuft ab,"26.01.2023, 14:05",dpa-AFX,https://www.onvista.de/news/2023/01-26-analyse-airbus-weiter-durch-lieferengpaesse-belastet-deutsche-bank-stuft-ab-10-26090722,"FRANKFURT (dpa-AFX) - Auch im neuen Jahr dürfte Airbus weiter mit angespannten Lieferketten zu kämpfen haben. Analyst Christophe Menard von der Deutschen Bank rechnet nicht damit, dass der Flugzeugbauer das verfehlte Auslieferungsziel für 2022 rasch nachholen wird, wie aus einer am Donnerstag vorliegenden Studie hervorgeht. Der Experte kürzte seine Prognosen für die Auslieferungszahlen von 2023 bis 2025 und reduzierte auch seine Schätzungen.
Noch immer sei die Abhängigkeit des Flugzeugbauers von den Lieferketten groß. Airbus habe erst kürzlich signalisiert, dass sich die Lieferengpässe vor Mitte des Jahres nicht wesentlich verbessern dürften. Die Auslieferungen dürften also weiter unter Druck bleiben, vermutet Menard. Im vergangenen Jahr hatte der Dax -Konzern nur 661 Flugzeuge ausgeliefert.
Die aktuellen Auslieferungsziele seien unrealistisch und zu optimistisch. Airbus müsse ein für alle Mal die Auslieferungserwartungen zurechtrücken, um die Sorgen der Investoren zu zerstreuen, fordert der Analyst. ""Je schneller, desto besser"", denn die grundsätzliche Anlagestory von Airbus bleibe intakt. Die Luftfahrt dürfte sich 2023 noch schneller erholen als erwartet, es gebe keine Anzeichen für eine abflauende Nachfrage im Passagierverkehr im ersten Halbjahr.
Laut Menard beeinträchtigen die angespannten Lieferketten eine ohnehin herausfordernde Anlaufphase nach der Pandemie für Airbus. Deshalb stuft der Experte den Flugzeugbauer von ""Buy"" auf ""Hold"" ab und senkt wegen seiner gekappten Auslieferungsprognosen auch das Kursziel von 130 auf 120 Euro. Menard sieht derzeit wenig Aufwärtspotenzial für die Aktie. Das Airbus-Papier stieg am Donnerstag dennoch um 0,7 Prozent und lag damit bereits leicht über diesem Kursziel. Mit der Einstufung ""Hold"" empfiehlt die Deutsche Bank auf Basis der erwarteten Gesamtrendite für die kommenden zwölf Monate, die Aktie weder zu kaufen noch zu verkaufen.
Der Analyst zählt statt der Flugzeughersteller die Triebwerkbauer MTU , Safran und Rolls-Royce zu seinen Favoriten. Da die Airlines ihre Kapazitäten ausbauen und dabei wegen Lieferproblemen nicht auf neue Flugzeuglieferungen setzen können, gerate die Wartung der bestehenden Flotte umso mehr in den Fokus, um ältere Maschinen länger in Betrieb zu halten. Davon dürfte das Service-Geschäft der Triebwerkhersteller profitieren./niw/bek/jha/
Analysierendes Institut Deutsche Bank.
Veröffentlichung der Original-Studie: 26.01.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 26.01.2023 / 06:59 / CET
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research senkt Airbus auf 'Hold' - Ziel 120 Euro,"26.01.2023, 09:38",dpa-AFX,https://www.onvista.de/news/2023/01-26-analyse-flash-deutsche-bank-research-senkt-airbus-auf-hold-ziel-120-euro-10-26090569,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat Airbus von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 130 auf 120 Euro gesenkt. Noch immer sei die Abhängigkeit des Flugzeugbauers von den Lieferketten groß, schrieb Analyst Christophe Menard in einer am Donnerstag vorliegenden Studie. Er kürzte seine Prognosen für die Auslieferungszahlen von 2023 bis 2025./ajx/ag
Veröffentlichung der Original-Studie: 26.01.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 26.01.2023 / 06:59 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: Berenberg senkt Airbus auf 'Hold' und Ziel auf 120 Euro,"16.01.2023, 08:34",dpa-AFX,https://www.onvista.de/news/2023/01-16-analyse-flash-berenberg-senkt-airbus-auf-hold-und-ziel-auf-120-euro-10-26086624,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Airbus von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 150 auf 120 Euro gesenkt. Langfristig bleibt Analyst Philip Buller laut einer am Montag vorliegenden Studie zwar optimistisch. Kurzfristig spiegle sich die komplexe Lage aber nicht angemessen in den Markterwartungen und der Bewertung wider, so der Experte. So lasteten die Folgen der hohen Inflation 2023 auf den Gewinnmargen. Hinzu kämen nach wie vor teils Lieferengpässe bei Vorprodukten. Es werde sich wahrscheinlich eine bessere, zumindest aber weniger riskante Einstiegsgelegenheit ergeben./ag/mis
Veröffentlichung der Original-Studie: 13.01.2023 / 16:58 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Airbus Group (EADS),Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Airbus auf 160 Euro - 'Overweight',"11.01.2023, 11:20",dpa-AFX,https://www.onvista.de/news/2023/01-11-analyse-flash-jpmorgan-senkt-ziel-fuer-airbus-auf-160-euro-overweight-10-26084875,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Airbus nach Auslieferungszahlen für 2022 von 170 auf 160 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Die Zahl der ausgelieferten Flugzeuge liege unter seiner Schätzung, schrieb Analyst David Perry in einer am Mittwoch vorliegenden Studie. Da der Flugzeugbauer jedoch seine Prognosen nicht aktualisiert habe, erwarte er, dass die Ziele für das operative Ergebnis (Ebita) und den freien Barmittelfluss (FCF) trotzdem erreicht worden seien. Perry senkte seine Schätzungen für die Auslieferung von Flugzeugen bis 2025./ck/la
Veröffentlichung der Original-Studie: 10.01.2023 / 23:37 / GMT
Erstmalige Weitergabe der Original-Studie: 10.01.2023 / 23:58 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
