Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Barclays belässt Beiersdorf auf 'Overweight' - Ziel 142 Euro,"25.09.2023, 10:20",dpa-AFX,https://www.onvista.de/news/2023/09-25-analyse-flash-barclays-belaesst-beiersdorf-auf-overweight-ziel-142-euro-10-26179639,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat die Einstufung für Beiersdorf auf ""Overweight"" mit einem Kursziel von 142 Euro belassen. Der Hautpflegemarkt scheine weiterhin robust zu wachsen, schrieb Analyst Iain Simpson in einer am Montag vorliegenden Studie. Er hob außerdem eine zunehmend besser planbare Innovationspipeline des Konsumgüterkonzerns hervor. Eine Untergewichtung Chinas scheine sich nun für die Hamburger positiv auszuwirken./tih/la
Veröffentlichung der Original-Studie: 22.09.2023 / 16:23 / GMT
Erstmalige Weitergabe der Original-Studie: 25.09.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Beiersdorf auf 'positive Catalyst Watch' - 'OW',"20.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-20-analyse-flash-jpmorgan-setzt-beiersdorf-auf-positive-catalyst-watch-ow-10-26178096,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Beiersdorf vor dem am 25. Oktober erwarteten Quartalszahlen auf ""positive Catalyst Watch"" gesetzt. Die Aktie wurde zugleich auf ""Overweight"" und einem Kursziel von 140 Euro belassen. Sie rechne mit einer fortgesetzten Stärke beim Umsatz des Konsumgüterherstellers, schrieb Analystin Celine Pannuti in einer am Mittwoch vorliegenden Studie. Dies sollte zu einer Anhebung der Jahresziele führen./ck/mis
Veröffentlichung der Original-Studie: 19.09.2023 / 22:05 / BST
Erstmalige Weitergabe der Original-Studie: 20.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Jefferies nimmt Beiersdorf in 'Franchise Picks'-Empfehlungsliste,"12.09.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/09-12-analyse-flash-jefferies-nimmt-beiersdorf-in-franchise-picks-empfehlungsliste-10-26175176,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Beiersdorf in seine ""Franchise Picks""-Empfehlungsliste mit besonders überzeugenden Kaufideen aufgenommen. Zudem hob Analystin Molly Wylenzek in einer am Dienstag vorliegenden Studie das Kursziel für die Aktie des Konsumgüterherstellers von 140 auf 152 Euro an und beließ die Einstufung auf ""Buy"". Der Lohn der Trendwende bei Beiersdorf werde zunehmend sichtbar und der mittelfristige Ausblick sei optimistisch. Doch trotz der Sorgen von Investoren, dass die guten Nachrichten schon vollständig eingepreist sind, sieht Wylenzek immer noch Luft nach oben. Ihre Ergebnisprognosen (EPS) hat sie über die Konsensschätzungen hinaus angehoben./gl/ag
Veröffentlichung der Original-Studie: 11.09.2023 / 08:06 / ET
Erstmalige Weitergabe der Original-Studie: 11.09.2023 / 19:00 / ET
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt Beiersdorf auf 'Outperform' - Ziel 130 Euro,"06.09.2023, 16:50",dpa-AFX,https://www.onvista.de/news/2023/09-06-analyse-flash-bernstein-belaesst-beiersdorf-auf-outperform-ziel-130-euro-10-26173472,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat Beiersdorf auf ""Outperform"" mit einem Kursziel von 130 Euro belassen. Analyst Bruno Monteyne beschäftigte sich in einer am Mittwoch vorliegenden Studie zur Haushalts- und Konsumgüterbranche mit den Kosten, die eine Wende in Richtung ""nachhaltiges Palmöl"" hätte. Anders als von vielen Unternehmen behauptet, sei die Beschaffung von Palmöl bislang nicht nachhaltig. Mittelfristig müsse die sogenannte RSPO-Zertifizierung (Roundtable for Sustainable Palm Oil) ausgebaut werden mit zusätzlichen Faktoren wie Nachverfolgbarkeit und Wiederaufforstung. Das werde bei vielen Unternehmen an den Gewinnmargen zehren. Langfristig sei der Kostendruck sogar noch höher, da Unternehmen früher oder später nach teureren Alternativen zu Palmöl suchen dürften. Gründe seien unter anderem steigende Preise für pflanzliche Öle und geringere Erträge wegen des Klimawandels./ck/mis/la
Veröffentlichung der Original-Studie: 05.09.2023 / 16:20 / UTC
Erstmalige Weitergabe der Original-Studie: 06.09.2023 / 04:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Beiersdorf auf 'Overweight' - Ziel 140 Euro,"01.09.2023, 07:35",dpa-AFX,https://www.onvista.de/news/2023/09-01-analyse-flash-jpmorgan-hebt-beiersdorf-auf-overweight-ziel-140-euro-10-26171646,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Beiersdorf von ""Neutral"" auf ""Overweight"" hochgestuft und das Kursziel von 115 auf 140 Euro angehoben. Im Zuge der nachlassenden Inflation dürfte sich auch das Umsatzwachstum von Lebensmittel- und Haushaltswarenherstellern verlangsamen, zugleich liefere ein nachlassender Kostendruck Rückenwind für die Gewinnmargen, schrieb Analystin Celine Pannuti in einer am Freitag vorliegenden Branchenstudie. Insgesamt sei die Branche attraktiv bewertet, da sich die Gewinnentwicklung recht gut prognostizieren lasse. Beiersdorf bevorzugt sie nun vor anderen Kosmetika-Herstellern, auch weil die Aktie attraktiver bewertet sei als etwa L'Oreal und es die Möglichkeit höherer Ausschüttungen an die Aktionäre gebe./mis/ajx
Veröffentlichung der Original-Studie: 31.08.2023 / 20:12 / BST
Erstmalige Weitergabe der Original-Studie: 01.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Bernstein hebt Beiersdorf auf 'Outperform' - Ziel 130 Euro,"14.08.2023, 19:34",dpa-AFX,https://www.onvista.de/news/2023/08-14-analyse-flash-bernstein-hebt-beiersdorf-auf-outperform-ziel-130-euro-10-26165902,"NEW YORK (dpa-AFX) - Das US-Analysehaus Bernstein Research hat Beiersdorf von ""Market-Perform"" auf ""Outperform"" hochgestuft und das Kursziel von 125 auf 130 Euro angehoben. In der europäischen Konsumgüterbranche sei es an der Zeit, um Qualitätsunternehmen den Vorzug zu geben vor solchen, die eher eine Story der Trendwende sind, schrieb Analyst Bruno Monteyne in einer am Montag vorliegenden Branchenstudie. Während er deshalb optimistischer wird für L'Oreal, Lindt und Beiersdorf, ist bei Danone und Henkel das Gegenteil der Fall./tih/jha/
Veröffentlichung der Original-Studie: 14.08.2023 / 14:43 / UTC Erstmalige Weitergabe der Original-Studie: 14.08.2023 / 15:40 / UTC
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Beiersdorf auf 'Buy' - Ziel 135 Euro,"21.06.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/06-21-analyse-flash-goldman-belaesst-beiersdorf-auf-buy-ziel-135-euro-10-26146694,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Beiersdorf auf ""Buy"" mit einem Kursziel von 135 Euro belassen. Die Geschäftsdynamik bleibe bei den Hamburgern im zweiten Quartal stark, schrieb Analyst Olivier Nicolai in einer am Mittwoch vorliegenden Studie. Die Aktienbewertung sei außerdem attraktiv, sollte der Konsumgüterkonzern mit Zukäufen oder Aktienrückkäufen erfolgreich sein./ag/la
Veröffentlichung der Original-Studie: 21.06.2023 / 00:43 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Ziel für Beiersdorf auf 141 Euro - 'Overweight',"20.06.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/06-20-analyse-flash-barclays-senkt-ziel-fuer-beiersdorf-auf-141-euro-overweight-10-26146270,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Beiersdorf von 146 auf 141 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Die anstehenden Zahlen des Konsumgüterkonzerns für das zweite Quartal dürften ein höheres organisches Umsatzwachstum belegen als bisher von ihm erwartet, schrieb Analyst Iain Simpson in einem am Dienstag vorliegenden Ausblick. Für das Jahr rechnet er nun mit 12,1 Prozent, was deutlich über der konservativen Unternehmensplanung liege. Diese dürfte bei der Zahlenvorlage am 3. August nach oben korrigiert werden. Das gesenkte Kursziel begründete Simpson mit der gesunkenen Branchenbewertung./gl/ag
Veröffentlichung der Original-Studie: 19.06.2023 / 18:01 / GMT Erstmalige Weitergabe der Original-Studie: 20.06.2023 / 04:10 / GMT
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: SocGen dreht Beiersdorf auf 'Buy' - Ziel hoch auf 139 Euro,"19.06.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/06-19-analyse-flash-socgen-dreht-beiersdorf-auf-buy-ziel-hoch-auf-139-euro-10-26145724,"PARIS (dpa-AFX Broker) - Die französische Großbank Societe Generale (SocGen) hat die Einschätzung für die Aktien von Beiersdorf um zwei Stufen von ""Sell"" auf ""Buy"" erhöht. Das Kursziel stockte Analyst David Hayes in einer am Montag vorliegenden Studie von 112 auf 139 Euro auf. Nach eingehender Analyse ist der Experte sehr optimistisch für die Wachstumsdynamik der Marke Nivea. Zudem stützten die Ambitionen mit La Prairie und die Trends in der Dermakosmetik. Die Markterwartungen hält Hayes noch für konservativ./ag/ajx
Veröffentlichung der Original-Studie: 16.06.2023 / 17:56 / CET
Erstmalige Weitergabe der Original-Studie: 19.06.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Beiersdorf,Aktieneinstufung,ANALYSE-FLASH: Warburg Research hebt Ziel für Beiersdorf auf 128 Euro - 'Hold',"12.06.2023, 11:35",dpa-AFX,https://www.onvista.de/news/2023/06-12-analyse-flash-warburg-research-hebt-ziel-fuer-beiersdorf-auf-128-euro-hold-10-26143084,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat das Kursziel für Beiersdorf von 126 auf 128 Euro angehoben und die Einstufung auf ""Hold"" belassen. Analyst Jörg Frey wird für die Wachstumsaussichten des Konsumgüterherstellers optimistischer, wie er in einer am Montag vorliegenden Studie schrieb. Der positive Nachrichtenfluss dürfte weitergehen. Die Bewertung liege aber schon deutlich über dem langfristigen Durchschnitt, weshalb es beim ""Hold""-Votum bleibe. Bei möglichen Kursschwächen sollten Anleger aber kaufen./ajx/la
Veröffentlichung der Original-Studie: 12.06.2023 / 08:15 / MESZ Erstmalige Weitergabe der Original-Studie: 12.06.2023 / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
