Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Brenntag,Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Ziel für Brenntag auf 76 Euro - 'Underweight',"25.09.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/09-25-analyse-flash-barclays-senkt-ziel-fuer-brenntag-auf-76-euro-underweight-10-26179632,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Brenntag von 80 auf 76 Euro gesenkt und die Einstufung auf ""Underweight"" belassen. Analyst Alex Stewart sieht in einer am Montag vorliegenden Branchenstudie unter den Chemikalienhändlern viel mehr Kurspotenzial für die Aktien der Brenntag-Konkurrenten, vor allem Azelis. Gemessen am Free Cashflow trauten Anleger Brenntag derzeit ein Wachstum zu, das doppelt so hoch ist als jenes des Konkurrenten, obwohl in der Vergangenheit das Gegenteil der Fall gewesen sei. Neben Brenntag kürzte er auch für IMCD seine Schätzungen./tih/la
Veröffentlichung der Original-Studie: 24.09.2023 / 10:59 / GMT
Erstmalige Weitergabe der Original-Studie: 25.09.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Brenntag auf 'Buy' - Ziel 99 Euro,"09.08.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/08-09-analyse-flash-baader-bank-belaesst-brenntag-auf-buy-ziel-99-euro-10-26164069,"MÜNCHEN (dpa-AFX) - Die Baader Bank hat die Einstufung für Brenntag nach Zahlen zum zweiten Quartal auf ""Buy"" mit einem Kursziel von 99 Euro belassen. Der zurückhaltendere Ausblick des Chemikalienhändlers dürfte keine sinkenden Markterwartungen nach sich ziehen, schrieb Analyst Markus Mayer in einer ersten Reaktion am Mittwoch. Denn dem unteren Ende der in Aussicht gestellten Spanne für das bereinigte operative Ergebnis (Ebita) 2023 von 1,3 Milliarden Euro stehe eine Konsensschätzung von 1,36 Milliarden Euro gegenüber./bek/ck
Veröffentlichung der Original-Studie: 09.08.2023 / 08:12 / CEST
Erstmalige Weitergabe der Original-Studie: 09.08.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE: JPMorgan stuft Brenntag wegen besonders hoher Ertragsrisiken ab,"14.07.2023, 12:35",dpa-AFX,https://www.onvista.de/news/2023/07-14-analyse-jpmorgan-stuft-brenntag-wegen-besonders-hoher-ertragsrisiken-ab-10-26155015,"NEW YORK (dpa-AFX) - Laut der US-Bank JPMorgan ist Brenntag besonders stark von den eingetrübten Geschäftsaussichten in der Chemieindustrie betroffen. Daher stufte Analyst Chetan Udeshi die Aktie des Chemikalienhändlers in einer am Freitag vorliegenden Branchenstudie von ""Neutral"" auf ""Underweight"" ab und senkte das Kursziel von 83 auf 66 Euro. Dieses liegt knapp fünf Prozent unter dem aktuellen Niveau.
Die anhaltende Nachfrageschwäche in der Chemiebranche, die sich in zahlreichen Gewinnwarnungen widerspiegele, erhöhe zusammen mit den immer schwächeren Preistrends das Risiko für eine unerwartet massive Ergebnisnormalisierung auch bei den Händlern, befürchtet der Experte. Seine Schätzungen für die bereinigten operativen Ergebnisse (Ebitda) von Brenntag und den Konkurrenten IMCD und Azelis 2023 und 2024 liegen nach eigener Aussage unter den Konsensprognosen.
Bei Brenntag sieht Udeshi besonders hohe Ertragsrisiken aufgrund des starken Engagements am Markt für Grundchemikalien, wo der Preisdruck stärker sei. Er monierte auch, das Unternehmen verzeichne im Vergleich zu 2019 kein Volumenwachstum. Die Ergebnisentwicklung der vergangenen Quartale deute zudem darauf hin, dass die Qualität des Spezialchemiegeschäfts von Brenntag deutlich geringer sei als bei IMCD und Azelis, so der Experte weiter. Dies reduziere das Potenzial für eine Abspaltung dieses Bereichs in der nahen Zukunft.
Unter den beiden anderen Branchenwerten bevorzugt der Experte Azelis wegen der günstigeren Bewertung gegenüber IMCD. Er votiert daher für die beiden Titel mit ""Overweight"" beziehungsweise ""Neutral"". Die mittel- bis langfristigen Wachstumsaussichten in der Branche seien weiter attraktiv und böten einen erheblichen Spielraum für wertsteigernde Zukäufe.
Gemäß der Einstufung ""Underweight"" geht JPMorgan davon aus, dass sich die Aktie in den kommenden sechs bis zwölf Monaten schlechter als der jeweilige Sektor entwickeln wird. ""Overweight"" dagegen bedeutet, dass sich die Aktie in dieser Zeit besser entwickeln sollte. ""Neutral"" spricht nach Ansicht der Bank für eine Tendenz im Gleichklang mit dem jeweiligen Sektor./gl/tih/jha/
Analysierendes Institut JPMorgan.
Veröffentlichung der Original-Studie: 13.07.2023 / 21:54 / BST
Erstmalige Weitergabe der Original-Studie: 14.07.2023 / 00:15 / BST
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Brenntag auf 'Underweight' und Ziel auf 66 Euro,"14.07.2023, 06:50",dpa-AFX,https://www.onvista.de/news/2023/07-14-analyse-flash-jpmorgan-senkt-brenntag-auf-underweight-und-ziel-auf-66-euro-10-26154824,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Brenntag von ""Neutral"" auf ""Underweight"" abgestuft und das Kursziel von 83 auf 66 Euro gesenkt. Die Gewinnaussichten hätten sich eingetrübt, schrieb Analyst Chetan Udeshi in einer am Freitag vorliegenden Studie zu europäischen Chemikalienhändlern. Die anhaltende Nachfrageschwäche in der Chemiebranche, manifestiert durch zahlreiche Gewinnwarnungen, sowie immer schwächere Preistrends erhöhten das Risiko für eine unerwartet massive Ergebnisnormalisierung auch bei den Händlern. Udeshis Favorit bleibt Azelis./ag/tav
Veröffentlichung der Original-Studie: 13.07.2023 / 21:54 / BST
Erstmalige Weitergabe der Original-Studie: 14.07.2023 / 00:15 / BST
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Brenntag auf 'Underweight' und Ziel auf 80 Euro,"22.05.2023, 08:55",dpa-AFX,https://www.onvista.de/news/2023/05-22-analyse-flash-barclays-senkt-brenntag-auf-underweight-und-ziel-auf-80-euro-10-26135842,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat Brenntag von ""Equal Weight"" auf ""Underweight"" abgestuft und das Kursziel von 84 auf 80 Euro gesenkt. Im Vergleich zu anderen Chemikalienhändlern sei Brenntag nicht gerade günstig bewertet, schrieb Analyst Alex Stewart in einer am Montag vorliegenden Studie. Sofern er das künftige Wachstum von Brenntag nicht radikal unterschätzt habe, halte er das aktuelle Kursniveau des Distributeurs für eine klare Fehlbewertung./edh/tih
Veröffentlichung der Original-Studie: 19.05.2023 / 18:43 / GMT
Erstmalige Weitergabe der Original-Studie: 22.05.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Brenntag auf 'Hold' - Ziel 76 Euro,"18.05.2023, 10:47",dpa-AFX,https://www.onvista.de/news/2023/05-18-analyse-flash-jefferies-belaesst-brenntag-auf-hold-ziel-76-euro-10-26135060,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Brenntag auf ""Hold"" mit einem Kursziel von 76 Euro belassen. Nach den Zahlen des Chemikalienhändlers für das erste Quartal erhöhte Analyst Chris Counihan seine Schätzungen für das operative Ergebnis (Ebitda) nur leicht und liegt damit noch immer knapp unter dem unteren Ende der Unternehmensprognose. Eine nachhaltige Entwicklung im Essentials-Geschäft erscheine herausfordernd, während das Ausmaß der Schwäche im Specialties-Geschäft die größte Überraschung des Quartalsberichts gewesen sei, schrieb er in einer am Donnerstag vorliegenden Studie. Brenntag habe hier schwächer abgeschnitten als sämtliche Konkurrenten. Dies lege nahe, dass die Gewinnentwicklung zunehmend mit Unsicherheit behaftet sei, bei ungewissen wirtschaftlichen Aussichten./ajx/mis
Veröffentlichung der Original-Studie: 17.05.2023 / 13:03 / ET Erstmalige Weitergabe der Original-Studie: 17.05.2023 / 19:01 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Brenntag auf 'Negative Catalyst Watch' - 'Neutral',"13.04.2023, 10:19",dpa-AFX,https://www.onvista.de/news/2023/04-13-analyse-flash-jpmorgan-setzt-brenntag-auf-negative-catalyst-watch-neutral-10-26120726,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat den Aktien von Brenntag den Status ""Negative Catalyst Watch"" verliehen und erwartet damit weniger gute Nachrichten anlässlich der Bekanntgabe der Zahlen zum ersten Quartal. Die Einstufung wurde auf ""Neutral"" mit einem Kursziel von 83 Euro belassen. Für den gesamten Chemiesektor rechnet Analyst Chetan Udeshi laut einer am Donnerstag vorliegenden Branchenstudie mit besser als bislang befürchteten Quartalsausweisen. Seine bevorzugten Sektorwerte sind BASF und Solvay./edh/la
Veröffentlichung der Original-Studie: 13.04.2023 / 00:55 / BST
Erstmalige Weitergabe der Original-Studie: 13.04.2023 / 00:55 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: Jefferies startet Brenntag mit 'Hold' - Ziel 76 Euro,"07.02.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/02-07-analyse-flash-jefferies-startet-brenntag-mit-hold-ziel-76-euro-10-26094899,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Brenntag mit ""Hold"" und einem Kursziel von 76 Euro in die Bewertung aufgenommen. Die Aktie des Chemikalienhändlers sei die weltweit günstigste in der Branche, schrieb Analyst Chris Counihan in einer am Dienstag vorliegenden Studie. Doch solange Brenntag keine deutliche Verbesserung der finanziellen Entwicklung im Vergleich zur Konkurrenz oder einen deutlichen Strategiewechsel zeige, dürfte sich der Bewertungsrückstand kaum aufholen lassen. Counihan bevorzugt Unternehmen wie den Kunststoffkonzern Covestro, die nach seiner Einschätzung stärker von einer zyklischen Erholung profitieren./gl/mis
Veröffentlichung der Original-Studie: 06.02.2023 / 13:45 / ET Erstmalige Weitergabe der Original-Studie: 06.02.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,ANALYSE-FLASH: BofA senkt Brenntag auf 'Neutral' und Ziel auf 73 Euro,"12.01.2023, 15:35",dpa-AFX,https://www.onvista.de/news/2023/01-12-analyse-flash-bofa-senkt-brenntag-auf-neutral-und-ziel-auf-73-euro-10-26085465,"NEW YORK (dpa-AFX) - Die US-Investmentbank Bank of America (BofA) hat Brenntag in einem Ausblick auf 2023 von ""Buy"" auf ""Neutral"" abgestuft und das Kursziel von 101 auf 73 Euro gesenkt. In den vergangenen drei Jahren hätten Chemikalienhändler wie Brenntag von einem günstigen Marktumfeld und engen Lieferketten profitiert, zuletzt vor allem in Europa bei energieintensiven Produkten, schrieb Analystin Simona Sarli in einer am Donnerstag vorliegenden Studie zu Unternehmensdienstleistern. Inzwischen aber sei für die Aktie von Brenntag vorsichtiger gestimmt, da der Bewertungsabschlag angesichts sinkender Gewinnerwartungen nicht mehr groß genug sei./ck/mis
Veröffentlichung der Original-Studie: 12.01.2023 / 01:00 / EST Erstmalige Weitergabe der Original-Studie: 12.01.2023 / 01:00 / EST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Brenntag,Aktieneinstufung,"ANALYSE-FLASH: UBS hebt Brenntag auf 'Buy' und Ziel auf 72,50 Euro","21.12.2022, 09:19",dpa-AFX,https://www.onvista.de/news/2022/12-21-analyse-flash-ubs-hebt-brenntag-auf-buy-und-ziel-auf-72-50-euro-10-26078998,"ZÜRICH (dpa-AFX) - Die Schweizer Großbank UBS hat Brenntag von ""Neutral"" auf ""Buy"" hochgestuft und das Kursziel von 65,00 auf 72,50 Euro angehoben. Nach einer Periode außergewöhnlichen Wachstums seien die Anleger zu Recht besorgt, dass die aktuellen Gewinne des Chemikalienhändlers auf einem nicht nachhaltigen Höchststand lägen, schrieb Analyst Rory McKenzie in einer am Mittwoch vorliegenden Studie. Nach einem Kursrückgang um 35 Prozent sei eine solch niedrige Bewertung angesichts der robusten Branchensignale jedoch zu pessimistisch, erklärte er seine Kaufempfehlung für die Aktie. Der Experte erhöhte zudem seine Gewinnprognosen (EPS) für die Jahre 2022 bis 2024./edh/gl
Veröffentlichung der Original-Studie: 20.12.2022 / 16:56 / GMT Erstmalige Weitergabe der Original-Studie: 20.12.2022 / 16:56 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
