Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Covestro,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Covestro auf 60 Euro - 'Buy',"27.09.2023, 09:04",dpa-AFX,https://www.onvista.de/news/2023/09-27-analyse-flash-jefferies-hebt-ziel-fuer-covestro-auf-60-euro-buy-10-26180484,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Covestro von 57 auf 60 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der Kunststoffkonzern werde zunehmend als potenzielles Übernahmeziel wahrgenommen, mit der Abu Dhabi National Oil Company (Adnoc) als wahrscheinlichstem Käuferkandidaten, schrieb Analyst Chris Counihan in einer am Mittwoch vorliegenden Studie. In diesem Szenario dürften die unsichere Mengen- und Preisentwicklung der Absatzmärkte und das Stadium des aktuellen Wirtschaftszyklus weniger ins Gewicht fallen./edh/tih
Veröffentlichung der Original-Studie: 26.09.2023 / 13:49 / ET
Erstmalige Weitergabe der Original-Studie: 26.09.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Covestro auf 'Add' - Ziel 53 Euro,"20.09.2023, 14:35",dpa-AFX,https://www.onvista.de/news/2023/09-20-analyse-flash-baader-bank-belaesst-covestro-auf-add-ziel-53-euro-10-26178240,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat die Einstufung für Covestro nach einer bankeigenen Investment-Konferenz auf ""Add"" mit einem Kursziel von 53 Euro belassen. Der Technologiechef des Kunststoffkonzerns, Thorsten Dreier, habe einen guten Überblick über die aktuelle Lage gegeben, schrieb Analyst Markus Mayer in einer am Mittwoch vorliegenden Studie. Mit Blick auf das Übernahmeinteresse von Adnoc habe er gesagt, für das Covestro-Management sei vor allem wichtig, die eigene Strategie fortzusetzen. Zudem hätten drei von vier wichtigen Endmärkten langsam zu einer Erholung angesetzt, aber das dritte Quartal sei bisher schwach gewesen./ck/mis
Veröffentlichung der Original-Studie: 20.09.2023 / 11:05 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research belässt Covestro auf 'Buy' - Ziel 62 Euro,"12.09.2023, 13:05",dpa-AFX,https://www.onvista.de/news/2023/09-12-analyse-flash-deutsche-bank-research-belaesst-covestro-auf-buy-ziel-62-euro-10-26175333,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat Covestro auf ""Buy"" mit einem Kursziel von 62 Euro belassen. Mit dem offiziellen Beginn von Gesprächen des Chemiekonzerns mit dem Ölkonzern Adnoc steige die Wahrscheinlichkeit einer Vereinbarung, schrieb Analystin Virginie Boucher-Ferte in einer am Dienstag vorliegenden Studie. Nach ihren Berechnungen wären 77 Euro pro Aktie ein fairer Übernahmepreis. Adnoc dürfte aber noch zusätzliche Garantien und Zusicherungen geben, um den Deal für die Covestro-Aktionäre akzeptabel zu machen./gl/la
Veröffentlichung der Original-Studie: 12.09.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 12.09.2023 / 06:47 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt Covestro auf 'Kaufen' und fairen Wert auf 63 Euro,"11.09.2023, 14:04",dpa-AFX,https://www.onvista.de/news/2023/09-11-analyse-flash-dz-bank-hebt-covestro-auf-kaufen-und-fairen-wert-auf-63-euro-10-26174933,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat Covestro nach der Ankündigung von Gesprächen mit Adnoc über eine mögliche Übernahme von Covestro von ""Halten"" auf ""Kaufen"" hochgestuft und den fairen Wert von 49 auf 63 Euro angehoben. Für einen Erfolg bei den Übernahmegesprächen mit dem Chemiekonzern müsse der Ölkonzern Abu Dhabi National Oil (Adnoc) ein finanziell und operativ attraktives Paket schnüren, schrieb Analyst Peter Spengler in einer am Montag vorliegenden Studie. Er sehe gute Chancen, da Adnoc über ausreichend finanzielle Mittel verfügt und ein Kauf strategisch passe./gl/mis
Veröffentlichung der Original-Studie: 11.09.2023 / 12:26 / MESZ Erstmalige Weitergabe der Original-Studie: 11.09.2023 / 12:34 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Covestro auf 'Add' - Ziel 53 Euro,"11.09.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/09-11-analyse-flash-baader-bank-belaesst-covestro-auf-add-ziel-53-euro-10-26174758,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat die Einstufung für Covestro auf ""Add"" mit einem Kursziel von 53 Euro belassen. Damit könnte die bislang von ihm auf 30 Prozent taxierte Übernahmechance steigen, schrieb Analyst Markus Mayer am Montag in seiner Reaktion auf offiziell bestätigte Gespräche mit Abu Dhabi National Oil (Adnoc). Mayer hält die Langfriststory des Kunststoffkonzerns für sehr interessant und hatte ihn ohnehin als einen der zentralen Übernahmekandidaten in der europäischen Chemiebranche gesehen./ag/la
Veröffentlichung der Original-Studie: 11.09.2023 / 06:58 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Covestro auf 57 Euro - 'Buy',"08.08.2023, 09:19",dpa-AFX,https://www.onvista.de/news/2023/08-08-analyse-flash-jefferies-hebt-ziel-fuer-covestro-auf-57-euro-buy-10-26163627,"NEW YORK (dpa-AFX) - Das Analysehaus Jefferies hat das Kursziel für Covestro von 46 auf 57 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der Investment Case verlagere sich zunehmend auf Covestro als potenzielles Übernahmeziel, schrieb Analyst Chris Counihan in einer am Dienstag vorliegenden Studie. In diesem Szenario dürften die unsichere Entwicklung der Absatzmärkte und das Stadium des aktuellen Wirtschaftszyklus im Vergleich zur Attraktivität des Kunststoffkonzerns weniger ins Gewicht fallen./edh/ck
Veröffentlichung der Original-Studie: 07.08.2023 / 09:43 / ET
Erstmalige Weitergabe der Original-Studie: 07.08.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Covestro auf 'Buy' - Ziel 46 Euro,"01.08.2023, 09:01",dpa-AFX,https://www.onvista.de/news/2023/08-01-analyse-flash-jefferies-belaesst-covestro-auf-buy-ziel-46-euro-10-26161164,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für Covestro nach Zahlen für das zweite Quartal auf ""Buy"" mit einem Kursziel von 46 Euro belassen. Analyst Chris Counihan betonte in einer am Dienstag vorliegenden Studie, dass der Chemiekonzern zwar den Jahresausblick bestätigt habe, nun aber eher das untere Ende der Spannen avisiere. Die Kursreaktion dürfte verhalten ausfallen./mis/ajx
Veröffentlichung der Original-Studie: 01.08.2023 / 01:30 / ET
Erstmalige Weitergabe der Original-Studie: 01.08.2023 / 01:30 / ET
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research belässt Covestro auf 'Buy' - Ziel 48 Euro,"22.06.2023, 16:05",dpa-AFX,https://www.onvista.de/news/2023/06-22-analyse-flash-deutsche-bank-research-belaesst-covestro-auf-buy-ziel-48-euro-10-26147277,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat die Einstufung für Covestro auf ""Buy"" mit einem Kursziel von 48 Euro belassen. Das Management kommentiere zwar keine Übernahmespekulationen, bestätige aber eine auch aus ihrer Sicht zu geringe Bewertung des Kunststoffkonzerns, schrieb Analystin Virginie Boucher-Ferte am Donnerstag nach einem Treffen mit dem Finanzchef. Dies verdeutliche auch das jüngst wieder aufgenommene Aktienrückkaufprogramm. Die Expertin hält gerade den Wert des Specialties-Bereichs für unterschätzt./ag/la
Veröffentlichung der Original-Studie: 22.06.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 22.06.2023 / 11:46 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Covestro auf 'Buy' - Ziel 46 Euro,"22.06.2023, 14:50",dpa-AFX,https://www.onvista.de/news/2023/06-22-analyse-flash-jefferies-belaesst-covestro-auf-buy-ziel-46-euro-10-26147235,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für Covestro auf ""Buy"" mit einem Kursziel von 46 Euro belassen. Der Kunststoffkonzern habe zwar eine Adnoc-Offerte als zu niedrig abgelehnt, schrieb Analyst Chris Counihan am Donnerstagmittag in seiner ersten Reaktion. Grundsätzlich sei man aber gesprächsbereit, und dies sei positiv./ag/ajx
Veröffentlichung der Original-Studie: 22.06.2023 / 07:26 / ET
Erstmalige Weitergabe der Original-Studie: 22.06.2023 / 07:26 / ET
"
Covestro,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Covestro auf 'Buy' - Ziel 64 Euro,"21.06.2023, 08:48",dpa-AFX,https://www.onvista.de/news/2023/06-21-analyse-flash-goldman-belaesst-covestro-auf-buy-ziel-64-euro-10-26146598,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Covestro auf ""Buy"" mit einem Kursziel von 64 Euro belassen. Das laut Medienberichte bestehende Übernahmeinteresse von Adnoc zeige den strategischen Reiz des Kunststoffkonzerns, schrieb Analystin Georgina Fraser in einer am Mittwoch vorliegenden Studie./ag/ajx
Veröffentlichung der Original-Studie: 20.06.2023 / 23:29 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
