Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Ziel für DHL Group auf 52 Euro - 'Overweight',"29.09.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/09-29-analyse-flash-barclays-senkt-ziel-fuer-dhl-group-auf-52-euro-overweight-10-26181489,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für DHL Group von 55 auf 52 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Der Welthandel sei auch im dritten Quartal schwach geblieben, schrieb Analystin Alexia Dogani in einer am Freitag vorliegenden Branchenstudie. Die europäischen Logistikkonzerne litten weiterhin unter negativen Währungseffekten und hohen Treibstoffkosten. Das Hauptaugenmerk liege nun auf dem vierten Quartal und der Frage, ob die robuste Verbrauchernachfrage zu steigenden Lagerbeständen führt und eine Erholung des Handels in Gang setzt. Davon könnte die Luftfracht kurzfristig profitieren./edh/tih
Veröffentlichung der Original-Studie: 28.09.2023 / 22:57 / GMT
Erstmalige Weitergabe der Original-Studie: 29.09.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt DHL Group auf 'Negative Catalyst Watch' - 'UW',"27.09.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/09-27-analyse-flash-jpmorgan-setzt-dhl-group-auf-negative-catalyst-watch-uw-10-26180590,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat den Aktien der DHL Group den Status ""Negative Catalyst Watch"" verliehen und rechnet damit hinsichtlich der anstehenden Zahlenbekanntgabe mit eher schlechten Nachrichten. Die fundamentale Einstufung wurde beim Kursziel von 36,40 Euro auf ""Underweight"" belassen. Seine Ergebnisprognosen für das dritte Quartal sowie die Jahre 2023 und 2024 des Logistikkonzerns lägen mehr oder weniger deutlich unter den Konsensschätzungen, schrieb Analyst Samuel Bland in einer am Mittwoch vorliegenden Studie./edh/ag
Veröffentlichung der Original-Studie: 26.09.2023 / 19:45 / BST
Erstmalige Weitergabe der Original-Studie: 27.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: DZ Bank senkt fairen Wert für DHL Group auf 48 Euro - 'Kaufen',"22.09.2023, 19:05",dpa-AFX,https://www.onvista.de/news/2023/09-22-analyse-flash-dz-bank-senkt-fairen-wert-fuer-dhl-group-auf-48-euro-kaufen-10-26179225,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat den fairen Wert für DHL Group von 51 auf 48 Euro gesenkt und die Einstufung auf ""Kaufen"" belassen. Der Logistiker werde im dritten Quartal voraussichtlich einen deutlichen Gewinnrückgang verzeichnen, schrieb Analyst Dirk Schlamp in einer am Freitag vorliegenden Studie. Insbesondere im Bereich Express werde sich der Ölpreisanstieg bemerkbar machen, aber auch Wechselkurseffekte. Angesichts der jüngsten Entwicklung im B2B-Geschäft dürfte aus Sicht von Schlamp das obere Ende der Prognosespanne für das Ergebnis vor Zinsen und Steuern nicht mehr erreicht werden./niw/jha/
Veröffentlichung der Original-Studie: 22.09.2023 / 15:00 / MESZ
Erstmalige Weitergabe der Original-Studie: 22.09.2023 / 15:08 / MESZ
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research senkt Ziel für DHL auf 49 Euro - 'Buy',"22.09.2023, 11:14",dpa-AFX,https://www.onvista.de/news/2023/09-22-analyse-flash-deutsche-bank-research-senkt-ziel-fuer-dhl-auf-49-euro-buy-10-26179057,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für DHL Group von 54 auf 49 Euro gesenkt und die Einstufung auf ""Buy"" belassen. Die jüngst deutlich gestiegenen Spritkosten belasten die Ergebnisse von DHL Express und zugleich sehe er keine Gründe für eine starke Erholung der Luft- und Seefrachtvolumina, schrieb Analyst Andy Chu in einer am Freitag vorliegenden Studie./ck/zb
Veröffentlichung der Original-Studie: 22.09.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 22.09.2023 / 06:49 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE/Schenker-Verkauf im Fokus: Bernstein sieht mehrere potenzielle Käufer,"31.08.2023, 13:12",dpa-AFX,https://www.onvista.de/news/2023/08-31-analyse-schenker-verkauf-im-fokus-bernstein-sieht-mehrere-potenzielle-kaeufer-10-26171429,"FRANKFURT (dpa-AFX) - Neben Rezessionsrisiken, Lieferketten und Frachtkosten gibt es in der europäischen Logistikbranche momentan vor allem ein großes Thema: den Verkauf von DB Schenker. Nach Ansicht von Alex Irving vom US-Analysehaus Bernstein lautet die am heißesten diskutierte Frage, wer sich am möglichen Bieterrennen um die Logistiktochter der Deutschen Bahn beteiligen könnte.
Während sich der Markt vor allem auf den dänischen Transportlogistiker DSV und die deutsche DHL Group fokussiere, gebe es noch mehr mögliche Kaufinteressenten, schrieb Irving in einer am Donnerstag vorliegenden Studie. Auch die Mehrheitsaktionäre von Kühne+Nagel könnten seiner Meinung nach eine Offerte erwägen, ebenso wie Reedereien, deren Kassen nach dem Pandemie-Boom prall gefüllt seien.
Die Deutsche Bahn prüft seit Ende 2022 ""ergebnisoffen"" einen möglichen Verkauf von bis zu 100 Prozent der Anteile an DB Schenker. ""Diese Prüfung läuft und braucht, wie üblich in solchen Prozessen, ausreichend Zeit"", sagte eine Sprecherin am Donnerstag. Es gebe kein konkretes Zieldatum.
Nach Abschluss der Prüfung will die Bahn entscheiden, ob und gegebenenfalls wann sie den Verkaufsprozess einleitet. Dies sei ""natürlich auch abhängig vom Umfeld am Kapitalmarkt"", sagte die Sprecherin. Bis jetzt sei keine Entscheidung dazu getroffen worden.
Sollte es zu einer Auktion kommen, sieht Bernstein-Analyst Irving den dänischen Transportlogistiker DSV als aussichtsreichsten Kandidaten. Dessen Erfolgsbilanz bei Fusionen und Übernahmen sei makellos: fünf Transaktionen mit hohem Wertzuwachs in den vergangenen 20 Jahren. Er hat die DSV-Aktie weiter auf ""Outperform"" eingestuft mit einem Kursziel von 1440 dänischen Kronen. Derzeit wird das Papier um die 1330 Kronen gehandelt.
Neben den Dänen gilt am Markt vor allem DHL als Favorit. Irving sieht das allerdings kritisch: Schenker sei zwar strategisch interessant für DHL, aber das Umsetzungsrisiko hoch. Er merkt an, dass der Konzern seit fast zwei Jahrzehnten keine großen Übernahmen mehr durchgeführt hat. Das DHL-Geschäft sei nicht für groß angelegte Integrationen ausgelegt, schrieb er. Er empfiehlt den Bonnern deshalb, von Deal abzusehen.
Allerdings könne er auch nicht ausschließen, dass DHL der Politik als ""weißer Ritter"" beispringt. Die Bundesregierung hält über die KfW gut ein Fünftel an dem Konzern. Die DHL-Aktie stuft Irving weiter auf ""Market-Perform"" ein. Sein Kursziel von 43,50 Euro liegt praktisch auf dem aktuellen Kursniveau.
Neben den beiden Branchenriesen gibt es für Irving allerdings noch weitere aussichtsreiche Kandidaten bei einem potenziellen Verkauf von Schenker. Kühne+Nagel will er nicht vernachlässigt wissen. Ähnlich wie DHL sei das Schweizer Unternehmen zwar nicht für große Integrationen gemacht. Andererseits sei die kulturelle Ähnlichkeit zwischen Schenker und Kühne+Nagel groß.
Zudem könnte Großaktionär Klaus-Michael Kühne nach Einschätzung Irvings eine strategische Übernahme von Schenker vorantreiben, damit das Unternehmen nicht in die Hand von DSV fällt. Kühne habe dazu die Mittel, schrieb der Analyst. Allerdings dürften klassische Spediteure den Wert von Schenker höher bemessen. Die Aktie von Kühne und Nagel sieht er unverändert bei ""Outperform"" und einem Kursziel von 300 Schweizer Franken, während das Papier derzeit um die 275 Franken gehandelt wird.
Außerdem hält Irving Reedereien für mögliche Interessenten. Dank der himmelhohen Frachtraten während der Pandemie schwämmen die Unternehmen momentan im Geld, so der Analyst. Beim genaueren Hinsehen hält er das französische Schifffahrtsunternehmen CMA CGM angesichts einer bereits eingetüteten milliardenschweren Übernahme dann doch für eher unwahrscheinlich. Es sei fraglich, ob der Konzern zwei Mega-Deals stemmen könne.
Und gegen Moller-Maersk spricht Irving zufolge die Unternehmensstruktur, die eine Übernahme schwierig machen könnte. Die Dänen haben ihr Logistikgeschäft in die eigene Schifffahrtslinie integriert. Seefracht-Sendungen werden ausschließlich auf Maersk-Schiffen transportiert. Statt Schenker zu kaufen, böte sich bei Moller-Maersk eher organisches Wachstum an oder Übernahmen, die besser zum eigenen Geschäft passten.
Ein Verkauf von Schenker solle nur geschehen, wenn er ""finanziell vorteilhaft im Vergleich zum Verbleib von DB Schenker im DB-Konzern ist"", hatte die Bahn im Dezember erklärt. Die Tatsache, dass die Prüfung ""ergebnisoffen"" geführt wird, beinhaltet neben einer Auktion im übrigen auch andere Möglichkeiten: einen Börsengang beispielsweise oder einen Verkauf an private Investoren.
Nach Irvings Ansicht dürfte die Bundesregierung aber daran interessiert sein, das Schienennetz zu modernisieren und den Schuldenberg der Bahn abzubauen. Deshalb werde Schenker an den Höchstbietenden gehen - und das dürfte seiner Meinung nach DSV werden./lew/stw
Entsprechend der Einstufung ""Market-Perform"" erwarten die Analysten von Bernstein Research, dass die Kursentwicklung der Aktie in den kommenden zwölf Monaten um bis zu 15 Prozentpunkte über oder unter der Entwicklung des MSCI Pan Europe Index liegen wird.
Analysierendes Institut Bernstein.
Veröffentlichung der Original-Studie: 30.08.2023 / 20:48 / GMT Erstmalige Weitergabe der Original-Studie: 31.08.2023 / 05:00 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt DHL Group auf 'Market-Perform',"31.08.2023, 11:35",dpa-AFX,https://www.onvista.de/news/2023/08-31-analyse-flash-bernstein-belaesst-dhl-group-auf-market-perform-10-26171367,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Einstufung für DHL Group auf ""Market-Perform"" mit einem Kursziel von 43,50 Euro belassen. Auch wenn sich der Markt auf DSV und DHL fokussiere, gebe es noch mehr mögliche Kaufinteressenten für die Bahn-Tochter DB Schenker, schrieb Analyst Alexander Irving in einer am Donnerstag vorliegenden Studie. Auch die Mehrheitsaktionäre von Kühne+Nagel könnten eine Offerte erwägen, ebenso wie Reedereien, die nach dem Pandemie-Boom prall gefüllte Kassen hätten. Mit Blick auf DHL sieht der Experte im Falle einer Übernahme von DB Schenker mehr Umsetzungsrisiken als ihm lieb sind./mis/edh
Veröffentlichung der Original-Studie: 30.08.2023 / 20:48 / UTC
Erstmalige Weitergabe der Original-Studie: 31.08.2023 / 05:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Barclays belässt DHL Group auf 'Overweight' - Ziel 55 Euro,"21.08.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/08-21-analyse-flash-barclays-belaesst-dhl-group-auf-overweight-ziel-55-euro-10-26167851,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat die Einstufung für DHL Group auf ""Overweight"" mit einem Kursziel von 55 Euro belassen. Auch wenn der Pandemie-Boom vorbei sei, bleibe das Potenzial hoch, schrieb Analystin Alexia Dogani in einer am Montag vorliegenden Studie. Dazu gehöre etwa der wachsende E-Commerce-Markt. In einigen Bereichen sei der Logistikkonzern branchenführend, was vom Markt noch nicht voll anerkannt werde./jcf/la
Veröffentlichung der Original-Studie: 18.08.2023 / 17:32 / GMT
Erstmalige Weitergabe der Original-Studie: 21.08.2023 / 04:20 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt DHL Group auf 'Market-Perform',"15.08.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/08-15-analyse-flash-bernstein-belaesst-dhl-group-auf-market-perform-10-26166036,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Einstufung für DHL Group auf ""Market-Perform"" mit einem Kursziel von 43,50 Euro belassen. Der letzte Mega-Deal in der Speditionsbranche könnte unmittelbar bevorstehen, spekulierte Analyst Alexander Irving in einer am Dienstag vorliegenden Studie. Eine Übernahme der Deutsche-Bahn-Tochter DB Schenker durch die DHL Group würde die Regierungskoalition in Berlin zweifelsohne freuen. Angesichts der begrenzten Erfolge von DHL beim Wachstum durch Übernahmen dürften die Anleger jedoch das Umsetzungsrisiko in den Vordergrund stellen./edh/la
Veröffentlichung der Original-Studie: 14.08.2023 / 22:29 / UTC
Erstmalige Weitergabe der Original-Studie: 15.08.2023 / 05:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
DHL Group (ex Deutsche Post),Aktieneinstufung,"ANALYSE-FLASH: JPMorgan belässt DHL Group auf 'Underweight' - Ziel 36,70 Euro","01.08.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/08-01-analyse-flash-jpmorgan-belaesst-dhl-group-auf-underweight-ziel-36-70-euro-10-26161169,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für DHL Group auf ""Underweight"" mit einem Kursziel von 36,70 Euro belassen. Der Logistikkonzern sei lediglich genau da gelandet, wo man es erwartet habe, schrieb Analyst Samuel Bland am Dienstag in seiner ersten Reaktion auf den Quartalsbericht. Die meisten Experten erwarteten beim operativen Ergebnis (Ebit) wohl bereits etwas mehr als das untere Ende der aufgestockten Spanne für das Jahresziel./ag/ajx
Veröffentlichung der Original-Studie: 01.08.2023 / 06:58 / BST
Erstmalige Weitergabe der Original-Studie: 01.08.2023 / 07:13 / BST
"
DHL Group (ex Deutsche Post),Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Ziel für DHL Group auf 46 Euro - 'Neutral',"04.07.2023, 08:25",dpa-AFX,https://www.onvista.de/news/2023/07-04-analyse-flash-goldman-hebt-ziel-fuer-dhl-group-auf-46-euro-neutral-10-26151001,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für DHL Group von 43 auf 46 Euro angehoben, die Einstufung aber auf ""Neutral"" belassen. Angehobene operative Gewinnschätzungen (Ebit) begründete Analyst Patrick Creuset in einer am Dienstag vorliegenden Branchenstudie mit mehr Profitabilität in den Fracht- und Expressgeschäften. Für DHL liege er nun etwas über dem Analystenschnitt./tih/men
Veröffentlichung der Original-Studie: 04.07.2023 / 03:38 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
