Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: Warburg Research startet Daimler Truck auf 'Buy' - Ziel 49 Euro,"20.09.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/09-20-analyse-flash-warburg-research-startet-daimler-truck-auf-buy-ziel-49-euro-10-26178114,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat die Einstufung für Daimler Truck mit ""Buy"" mit einem Kursziel von 49 Euro aufgenommen. Die starke Marktstellung des Lkw-Bauers und dessen Ertragskraft würden vom Aktienkurs nicht ausreichend widergespiegelt, schrieb Analyst Fabio Hölscher in einer am Mittwoch vorliegenden Studie. Seit der Erstnotiz nach der Abspaltung von der früheren Mutter Daimler (inzwischen: Mercedes-Benz) habe das Unternehmen beständig Fortschritte Richtung Profitabilitätsziel gemacht. Zugleich habe Daimler Truck ausreichend finanziellen Spielraum für eine klare Strategie in puncto der Branchenmegatrends./mis/zb
Veröffentlichung der Original-Studie: 20.09.2023 / 08:15 / MESZ
Erstmalige Weitergabe der Original-Studie: 20.09.2023 / Uhrzeit in Studie nicht angegeben / PDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Daimler Truck auf 'Overweight' - Ziel 48 Euro,"01.08.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/08-01-analyse-flash-jpmorgan-belaesst-daimler-truck-auf-overweight-ziel-48-euro-10-26161209,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Daimler Truck nach detaillierten Quartalszahlen auf ""Overweight"" mit einem Kursziel von 48 Euro belassen. Der Lkw-Hersteller habe ein insgesamt starkes Quartal hinter sich, schrieb Analyst Jose Asumendi in einer am Dienstag vorliegenden Ersteinschätzung. Er verwies dabei auf prozentual zweistellige Gewinnspannen und deutliche Fortschritte bei der Verbesserung der bereinigten Rentabilität./edh/la
Veröffentlichung der Original-Studie: 01.08.2023 / 06:32 / BST
Erstmalige Weitergabe der Original-Studie: 01.08.2023 / 06:47 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: RBC belässt Daimler Truck auf 'Outperform' - Ziel 53 Euro,"01.08.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/08-01-analyse-flash-rbc-belaesst-daimler-truck-auf-outperform-ziel-53-euro-10-26161175,"NEW YORK (dpa-AFX Broker) - Die kanadische Bank RBC hat die Einstufung für Daimler Truck nach detaillierten Quartalszahlen auf ""Outperform"" mit einem Kursziel von 53 Euro belassen. Die finalen Kennziffern des Lkw-Herstellers hätten den vorläufigen Eckdaten entsprochen, schrieb Analyst Nick Housden in einer am Dienstag vorliegenden Ersteinschätzung./edh/la
Veröffentlichung der Original-Studie: 01.08.2023 / 02:07 / EDT
Erstmalige Weitergabe der Original-Studie: 01.08.2023 / 02:07 / EDT
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: Stifel hebt Ziel für Daimler Truck auf 41 Euro - 'Buy',"27.06.2023, 14:39",dpa-AFX,https://www.onvista.de/news/2023/06-27-analyse-flash-stifel-hebt-ziel-fuer-daimler-truck-auf-41-euro-buy-10-26148798,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Stifel hat das Kursziel für Daimler Truck vor einem Investorentag von 39 auf 41 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der Fokus werde wohl auf einem Aktienrückkaufprogramm und neuen Zielen liegen, die über das Jahr 2025 hinausgehen, schrieb Analyst Alexander Wahl in einer am Dienstag vorliegenden Studie. Er geht mit positiven Erwartungen in die Veranstaltung am 11. Juli./tih/ajx
Veröffentlichung der Original-Studie: 26.06.2023 / 12:33 / EDT
Erstmalige Weitergabe der Original-Studie: 26.06.2023 / 12:33 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Daimler Truck auf 'Overweight' - Ziel 48 Euro,"09.05.2023, 14:35",dpa-AFX,https://www.onvista.de/news/2023/05-09-analyse-flash-jpmorgan-belaesst-daimler-truck-auf-overweight-ziel-48-euro-10-26131083,"NEW YORK (dpa-AFX) - Die US-Bank JPMorgan hat Daimler Truck nach vollständigen Quartalszahlen des Nutzfahrzeugherstellers auf ""Overweight"" mit einem Kursziel von 48 Euro belassen. Die nach den bereits bekannt gegebenen Eckdaten nun veröffentlichten weiteren Zahlen belegten eine starke Ergebnisqualität, schrieb Analyst Jose Asumendi am Dienstag in einer ersten Reaktion. Dem saisonal schwächeren Jahresauftakt sollte in den kommenden Quartalen dank des hohen Auftragsbestands eine anziehende Gewinndynamik folgen. Den Ausblick habe das Unternehmen angesichts der weiter bestehenden Unsicherheiten mit Blick auf die Lieferketten bestätigt./gl/ag
Veröffentlichung der Original-Studie: 09.05.2023 / 06:38 / BST Erstmalige Weitergabe der Original-Studie: 09.05.2023 / 06:38 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Daimler Truck auf 'Overweight' - Ziel 48 Euro,"10.03.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/03-10-analyse-flash-jpmorgan-belaesst-daimler-truck-auf-overweight-ziel-48-euro-10-26107861,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Daimler Truck nach Jahreszahlen des Nutzfahrzeugherstellers auf ""Overweight"" mit einem Kursziel von 48 Euro belassen. Diese entsprächen weitgehend den Konsensschätzungen, schrieb Analyst Jose Asumendi am Freitag in einer ersten Reaktion. Der hohe Auftragsbestand sollte die Geschäftsentwicklung im laufenden Jahr weiter antreiben./gl/mis
Veröffentlichung der Original-Studie: 10.03.2023 / 07:07 / GMT Erstmalige Weitergabe der Original-Studie: 10.03.2023 / 07:07 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: Stifel hebt Ziel für Daimler Truck auf 39 Euro - 'Buy',"05.12.2022, 15:32",dpa-AFX,https://www.onvista.de/news/2022/12-05-analyse-flash-stifel-hebt-ziel-fuer-daimler-truck-auf-39-euro-buy-10-26072772,"FRANKFURT (dpa-AFX) - Die Investmentbank Stifel hat das Kursziel für Daimler Truck nach Zahlen zum dritten Quartal von 35 auf 39 Euro angehoben und die Einstufung auf ""Buy"" belassen. Analyst Alexander Wahl erhöhte in einer am Montag vorliegenden Studie seine jährlichen Gewinnschätzungen bis ins Jahr 2024 und gleichzeitig auch den Bewertungsmultiplikator. Die Aktie des Nutzfahrzeugherstellers sollte ihre Neubewertung fortsetzen und den Abschlag vom Konkurrenten Volvo weiter reduzieren./tih/ck
Veröffentlichung der Original-Studie: 05.12.2022 / 01:00 / EST Erstmalige Weitergabe der Original-Studie: 05.12.2022 / 01:00 / EST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt fairen Wert für Daimler Truck - 'Halten',"11.11.2022, 15:18",dpa-AFX,https://www.onvista.de/news/2022/11-11-analyse-flash-dz-bank-hebt-fairen-wert-fuer-daimler-truck-halten-10-26063972,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat den fairen Wert für Daimler Truck nach Quartalszahlen von 29 auf 30 Euro angehoben und die Einstufung auf ""Halten"" belassen. Analyst Michael Punzet erwartet eine Fortsetzung der guten Entwicklung im vierten Quartal. Die aktuelle wirtschaftliche Lage sowie der anhaltende Mangel an Lkw-Fahrern könne jedoch den Auftragseingang in den kommenden Quartalen und somit die Entwicklung in den Folgejahren belasten, schrieb der Experte in einer am Freitag vorliegenden Studie./bek/la
Veröffentlichung der Original-Studie: 11.11.2022 / 14:26 / MEZ
Erstmalige Weitergabe der Original-Studie: 11.11.2022 / 14:34 / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,ANALYSE-FLASH: RBC hebt Ziel für Daimler Truck auf 53 Euro - 'Outperform',"19.10.2022, 09:35",dpa-AFX,https://www.onvista.de/news/2022/10-19-analyse-flash-rbc-hebt-ziel-fuer-daimler-truck-auf-53-euro-outperform-10-26054093,"NEW YORK (dpa-AFX Broker) - Die kanadische Bank RBC hat das Kursziel für Daimler Truck vor der Sektor-Berichtssaison zum dritten Quartal von 52 auf 53 Euro angehoben und die Einstufung auf ""Outperform"" belassen. Mit Blick auf das abgelaufene Quartal favorisiert Analyst Tom Narayan in einer am Mittwoch vorliegenden Branchenstudie Premium-Autobauer und Nutzfahrzeughersteller. Vorsichtig positioniert er sich zu Massenherstellern und vor allem bei Reifenherstellern und Zulieferern. Für Daimler Truck erhöhte er etwas seine Schätzungen./tih/mis
Veröffentlichung der Original-Studie: 18.10.2022 / 18:01 / EDT
Erstmalige Weitergabe der Original-Studie: 19.10.2022 / 00:45 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Daimler Truck,Aktieneinstufung,Markt Update: Dax über 13.400 Punkte – Traumstart in die neue Woche – Auch Euro wieder stärker,"12.09.2022, 18:28",onvista,https://www.onvista.de/news/2022/09-12-markt-update-dax-ueber-13-400-punkte-traumstart-in-die-neue-woche-auch-euro-wieder-staerker-19-26039071,"Der deutsche Aktienmarkt hat am Montag seinen vor dem Wochenende begonnenen Aufwärtstrend mit Schwung fortgesetzt. Der Dax schloss mit einem kräftigen Aufschlag von 2,40 Prozent auf 13 402,27 Punkte und damit auf dem höchsten Niveau seit rund drei Wochen. Ab dem Nachmittag war die erneut starke Wall Street Steigbügelhalter für weitere Kursgewinne gewesen. Der MDax der mittelgroßen Werte beendete den Handel um 1,89 Prozent höher bei 26 186,80 Zählern.
Die Anleger schöpften trotz aller wirtschaftlichen und politischen Risiken neuen Mut, hieß es am Markt, nachdem der deutsche Leitindex am Freitag nach längerem Ringen wieder über der psychologisch wichtigen Marke von 13 000 Punkte geschlossen hatte. Dabei lasse selbst die Aussicht auf eine zunehmend restriktive Geldpolitik die Investoren im Moment kalt.
Laut Konstantin Oldenburger von CMC Markets sorgten auch die jüngsten Erfolge der ukrainischen Armee im Krieg gegen Russland für etwas Rückenwind. Hoffnungen auf eine Erholung von der Energiekrise hielt er jedoch für verfrüht. Börsenbeoachter Andreas Lipkow sprach von einer verhalten positiven Stimmung am Markt: ""Die Investoren versuchen sich für eine potenzielle Konjunkturerholung auf Sicht von sechs bis neun Handelsmonaten zu positionieren, ohne jedoch unnötig viele Risiken in Kauf nehmen zu müssen."" Entsprechend setzten die Anleger zum Wochenstart vor allem auf zyklische Werte, wie etwa Autoaktien.
Im Einklang mit der europaweit starken Branche führten Daimler Truck und Mercedes-Benz mit jeweils mehr als fünf Prozent Kurszuwachs den Dax an.
Auch die konjunkturempfindlichen Einzelhandelswerte waren gefragt, hierzulande verteuerten sich etwa Zalando um rund fünf Prozent, für Konkurrent About You ging es um 5,7 Prozent nach oben. Die als defensiv geltenden Telekom-Papiere verloren dagegen am Dax-Ende knapp ein Prozent.
Hellofresh konnten mit dem starken Markt ihre anfänglich hohen Verluste bis Handelsende noch in ein Plus von rund 2,6 Prozent verwandeln. Am Morgen hatten die Aktien des Kochboxenversenders zeitweise fast 7 Prozent eingebüßt. Auslöser war die Gesundheitswarnung einer US-Behörde für bestimmte Hackfleischpakete in Mahlzeitensets des Konzerns aus dem Juli gewesen. Immerhin habe es solcherlei Beanstandungen bisher noch nicht gegeben, kommentierte ein Händler.
Auf das Siegertreppchen im MDax schafften es die schwer angeschlagenen Papiere von TAG Immobilien mit einem Aufschlag von 6,3 Prozent. Erst in der vergangenen Woche waren sie auf ein Tief seit Ende 2014 gefallen, nun profitierten sie von einer Kaufempfehlung durch die Analysten von Kempen.
EuroStoxx50 und Rentenmarkt
Auch der Eurozonen-Leitindex EuroStoxx 50 startete mit kräftigen Gewinne in die neue Handelswoche und stieg um 2,14 Prozent auf 3646,51 Punkte. Die Leitbörsen in Paris und London legten ähnlich stark zu. In New York dämmte der Dow Jones Industrial seine anfänglichen Gewinne etwas ein und stand zum europäischen Börsenschluss noch etwa 0,4 Prozent höher.
Am Rentenmarkt fiel die Umlaufrendite von 1,61 Prozent am Freitag auf 1,58 Prozent. Der Rentenindex Rex stieg um 0,21 Prozent auf 130,98 Punkte. Der Bund-Future legte um 0,58 Prozent auf 144,37 Punkte zu.
Der Euro ist am Montag zum US-Dollar auf den höchsten Stand seit fast vier Wochen gestiegen. Zeitweise war der Kurs der europäischen Gemeinschaftswährung bis auf 1,0198 US-Dollar geklettert. Am Nachmittag wurde der Euro etwas niedriger bei 1,0134 Dollar gehandelt. Am Morgen hatte der Euro noch unter 1,01 Dollar notiert. Die Europäische Zentralbank (EZB) setzte den Referenzkurs auf 1,0155 (Freitag: 1,0049) Dollar fest. Der Dollar kostete damit 0,9847 (0,9951) Euro.
Rückenwind erhielt der Euro durch die Aussicht auf weitere kräftige Zinserhöhungen der EZB. So forderte Bundesbank-Chef Joachim Nagel am Sonntag, sich im Kampf gegen die Inflation nicht von trüben Wirtschaftsaussichten beirren zu lassen. Weil stabile Preise wichtiger für das Wachstum seien, müsse der Euroraum notfalls eine Durststrecke überstehen, so das EZB-Ratsmitglied.
Auf der Gegenseite setzen Anleger darauf, dass eine nachlassende Teuerung in den USA die US-Notenbank Fed zu weniger restriktiven Zinsschritten veranlassen könnte. Die US-Verbraucherpreise für August werden am Dienstag veröffentlicht.
Der Euro hatte bereits zuvor von der strafferen Geldpolitik der EZB profitiert. Vergangene Woche hatten die Währungshüter den Leitzins kräftig um 0,75 Prozentpunkte angehoben, um sich gegen die sehr hohe Inflation zu stemmen. Die EZB folgt damit anderen großen Notenbanken wie der US-Zentralbank Fed oder der Bank of England, die ihre Zinsen deutlich früher angehoben haben als die EZB.
Zu anderen wichtigen Währungen legte die EZB die Referenzkurse für einen Euro auf 0,86778 (0,86860) britische Pfund, 144,49 (143,30) japanische Yen und 0,9667 (0,9657) Schweizer Franken fest. Eine Feinunze Gold wurde am Nachmittag in London zum Preis von 1727 Dollar gehandelt. Das waren gut elf Dollar mehr als am Freitag.
Die Ölpreise haben am Montag zugelegt. Ein Barrel (159 Liter) der Nordseesorte Brent kostete am Nachmittag 94,33 US-Dollar. Das waren 1,50 Dollar mehr als am Freitag. Der Preis für ein Barrel der US-amerikanischen Sorte West Texas Intermediate (WTI) stieg um 1,38 Dollar auf 88,17 Dollar.
Gestützt wurden die Ölpreise durch den gefallenen Dollarkurs. Dieser macht Rohöl für Käufer aus anderen Währungsräumen günstiger und steigert somit tendenziell deren Nachfrage. Auch die freundliche Stimmung an den Aktienmärkten stützte die Ölpreise.
Die zuletzt dominierenden Konjunktursorgen sind vorübergehend in den Hintergrund getreten. Steigende Leitzinsen und die strikte Corona-Politik Chinas hatten in den vergangenen Wochen Nachfragesorgen ausgelöst und die Ölpreise belastet. Mit Spannung erwartet werden die Nachfrageprognosen von der Opec und der Internationalen Energieagentur (IEA), die in dieser Woche anstehen.
Redaktion onvista/dpa-AFX
Den Basisprospekt sowie die endgültigen Bedingungen und die Basisinformationsblätter erhalten Sie durch Klick auf das Dokumenten-Symbol. Beachten Sie auch die weiteren Hinweise zu dieser Werbung.
"
