Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Ziel für Deutsche Börse auf 194 Euro - 'Neutral',"27.07.2023, 11:52",dpa-AFX,https://www.onvista.de/news/2023/07-27-analyse-flash-goldman-hebt-ziel-fuer-deutsche-boerse-auf-194-euro-neutral-10-26159451,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Deutsche Börse von 190 auf 194 Euro angehoben und die Einstufung auf ""Neutral"" belassen. Analyst Oliver Carruthers passte sein Bewertungsmodell in einer am Donnerstag vorliegenden Studie an die Resultate des zweiten Quartals an./ag/tav
Veröffentlichung der Original-Studie: 26.07.2023 / 18:38 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Deutsche Börse auf 'Neutral' - Ziel 190 Euro,"26.07.2023, 15:20",dpa-AFX,https://www.onvista.de/news/2023/07-26-analyse-flash-goldman-belaesst-deutsche-boerse-auf-neutral-ziel-190-euro-10-26159014,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat Deutsche Börse nach Quartalszahlen und einer Ausblicksanhebung auf ""Neutral"" mit einem Kursziel von 190 Euro belassen. Die Erlöse des Börsenbetreibers hätten vor allem dank des Zinsüberschusses und dank Sondereffekten positiv überrascht, schrieb Analyst Oliver Carruthers am Mittwoch in einer ersten Reaktion. Auch das operative Ergebnis (Ebitda) liege über den Erwartungen. Allerdings seien auch die Kosten stärker gestiegen als prognostiziert. Zudem erwarte das Unternehmen nun Umsatz und Ebitda im laufenden Jahr am oberen Ende der jeweiligen Zielspanne./gl/bek
Veröffentlichung der Original-Studie: 25.07.2023 / 19:25 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Ziel für Deutsche Börse auf 190 Euro - 'Neutral',"05.07.2023, 14:20",dpa-AFX,https://www.onvista.de/news/2023/07-05-analyse-flash-goldman-hebt-ziel-fuer-deutsche-boerse-auf-190-euro-neutral-10-26151656,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Deutsche Börse vor Zahlen von 188 auf 190 Euro angehoben und die Einstufung auf ""Neutral"" belassen. Im Vorfeld der Quartalsbilanz überarbeitete Analyst Oliver Carruthers seine Prognosen für den Börsenbetreiber unter anderem mit Blick auf die Wechselkurse, Volumina und die jüngsten Zinserwartungen, wie er in einer einer am Mittwoch vorliegenden Studie schrieb. Die Änderungen seien im Großen und Ganzen aber nicht wesentlich./tav/men
Veröffentlichung der Original-Studie: 05.07.2023 / 01:11 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Goldman startet Deutsche Börse mit 'Neutral' - Ziel 189 Euro,"09.05.2023, 13:47",dpa-AFX,https://www.onvista.de/news/2023/05-09-analyse-flash-goldman-startet-deutsche-boerse-mit-neutral-ziel-189-euro-10-26131056,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat die Bewertung der Papiere der Deutschen Börse beim Kursziel von 189 Euro mit ""Neutral"" aufgenommen. In den vergangenen zehn Jahre hätten die Börsenbetreiber ihre Aktivitäten ausgeweitet und seien zu diversifizierten Dienstleistern für die Bedürfnisse der Kunden an den Finanzmärkten geworden, schrieb Analyst Oliver Carruthers in einer am Dienstag vorliegenden Branchenstudie. Daraus resultiere eine zunehmende Verschiebung von volumenbasierten zyklischen Umsätzen hin zu stabileren, wiederkehrenden Erlösen. Die weiter mit ""Buy"" eingestufte London Stock Exchange (LSE) sei in dieser Hinsicht am besten positioniert. Dagegen dürften die mit ""Neutral"" in die Bewertung aufgenommenen, stärker volumenabhängigen Wettbewerber Deutsche Börse und Euronext im Jahresverlauf mit nachlassenden Volumina zu kämpfen haben. Bei den Frankfurtern seien zudem die mittelfristigen Wachstumsaussichten aus eigener Kraft schon eingepreist./gl/ag
Veröffentlichung der Original-Studie: 09.05.2023 / 03:42 / BST Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Warburg Research hebt Ziel für Deutsche Börse auf 202 Euro - Buy,"05.05.2023, 14:05",dpa-AFX,https://www.onvista.de/news/2023/05-05-analyse-flash-warburg-research-hebt-ziel-fuer-deutsche-boerse-auf-202-euro-buy-10-26129819,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat das Kursziel für Deutsche Börse von 199 auf 202 Euro angehoben und die Einstufung auf ""Buy"" belassen. Analyst Andreas Pläsier erhöhte in einer am Freitag vorliegenden Studie seine Schätzungen für den Börsenbetreiber moderat. Diese spiegelten die verbesserten strukturellen Wachstumsaussichten wider, die in den guten Zahlen für das erste Quartal sichtbar würden, aber noch nicht das Wachstumspotenzial aus der Übernahme des Softwareanbieters Simcorp./gl/mis
Veröffentlichung der Original-Studie: 05.05.2023 / 08:15 / MESZ Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Ziel für Deutsche Börse auf 200 Euro - 'Neutral',"02.05.2023, 07:47",dpa-AFX,https://www.onvista.de/news/2023/05-02-analyse-flash-jpmorgan-hebt-ziel-fuer-deutsche-boerse-auf-200-euro-neutral-10-26127910,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Deutsche Börse von 187 auf 200 Euro angehoben, aber die Einstufung auf ""Neutral"" belassen. Analyst Enrico Bolzoni erhöhte mit Blick auf die jüngsten Quartalszahlen sowie die Übernahme des Softwareanbieters Simcorp seine Ergebnisschätzungen (EPS). Der Kauf dürfte dem Börsenbetreiber im kommenden Jahr zusätzliche Umsätze von 600 Millionen Euro sowie zusätzliche operative Gewinne (Ebitda) von 200 Millionen Euro einbringen, heißt es in einer am Dienstag vorliegenden Studie./gl/zb
Veröffentlichung der Original-Studie: 01.05.2023 / 11:57 / BST Erstmalige Weitergabe der Original-Studie: 02.05.2023 / 05:30 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Credit Suisse hebt Deutsche Börse auf 'Outperform',"16.03.2023, 08:05",dpa-AFX,https://www.onvista.de/news/2023/03-16-analyse-flash-credit-suisse-hebt-deutsche-boerse-auf-outperform-10-26110095,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Bank Credit Suisse hat Deutsche Börse von ""Neutral"" auf ""Outperform"" hochgestuft und das Kursziel von 190 auf 200 Euro angehoben. Analystin Haley Tam stockte in einer am Donnerstag vorliegenden Studie auch ihre Ergebnisschätzungen aufgrund höherer Erträge im Derivatehandel auf. Mit ihrer Empfehlung setzt sie darauf, dass die hohe Volatilität den Markt länger beschäftigen wird als bisher erwartet./ag/zb
Veröffentlichung der Original-Studie: 16.03.2023 / 04:26 / UTC
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Jefferies senkt Deutsche Börse auf 'Hold' und Ziel auf 190 Euro,"21.02.2023, 07:20",dpa-AFX,https://www.onvista.de/news/2023/02-21-analyse-flash-jefferies-senkt-deutsche-boerse-auf-hold-und-ziel-auf-190-euro-10-26100451,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Deutsche Börse von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 210 auf 190 Euro gesenkt. Die Markterwartungen für 2024 und 2025 erschienen inzwischen reichlich ambitioniert, schrieb Analyst Tom Mills in einer am Dienstag vorliegenden Studie. Er sieht daher Korrekturrisiken, die trotz moderater Bewertung die Aktien belasten könnten./ag/zb
Veröffentlichung der Original-Studie: 20.02.2023 / 16:45 / ET
Erstmalige Weitergabe der Original-Studie: 20.02.2023 / 16:45 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: UBS belässt Deutsche Börse auf 'Buy' - Ziel 200 Euro,"09.02.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/02-09-analyse-flash-ubs-belaesst-deutsche-boerse-auf-buy-ziel-200-euro-10-26096204,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat Deutsche Börse nach Quartalszahlen auf ""Buy"" mit einem Kursziel von 200 Euro belassen. Der Umsatz und das operative Ergebnis (Ebit) des Börsenbetreibers hätten die Konsensschätzungen übertroffen, schrieb Analyst Michael Werner am Mittwochabend in einer ersten Reaktion. Außerdem klinge der Ausblick auf 2023 zuversichtlich und weniger konservativ als von ihm erwartet, was der Aktie ebenfalls helfen sollte./gl/tih
Veröffentlichung der Original-Studie: 08.02.2023 / 20:48 / GMT Erstmalige Weitergabe der Original-Studie: 08.02.2023 / 20:48 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Börse,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank senkt Ziel für Deutsche Börse auf 206 Euro - 'Buy',"24.01.2023, 14:36",dpa-AFX,https://www.onvista.de/news/2023/01-24-analyse-flash-deutsche-bank-senkt-ziel-fuer-deutsche-boerse-auf-206-euro-buy-10-26089742,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Deutsche Börse von 208 auf 206 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Nach zwei Ausblicksanhebungen 2022 dürfte der Börsenbetreiber dank eines starken Schlussquartals auch die jüngste Zielsetzung übertroffen haben, schrieb Analyst Benjamin Goy in einer am Dienstag vorliegenden Studie. Trotz der nun hohen Vergleichsbasis dürfte auch 2023 ein sehr gutes Jahr für die Eschborner werden, vor allem dank eines stark steigenden Zinsüberschusses sowie eigener Wachstumsinitiativen. Die attraktiv bewertete Aktie bleibe sein bevorzugter europäischer Branchentitel./gl/mis
Veröffentlichung der Original-Studie: 24.01.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 24.01.2023 / 06:51 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
