Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Deutsche Telekom,Aktieneinstufung,"ANALYSE-FLASH: Goldman belässt Deutsche Telekom auf 'Buy' - Ziel 27,20 Euro","07.09.2023, 11:34",dpa-AFX,https://www.onvista.de/news/2023/09-07-analyse-flash-goldman-belaesst-deutsche-telekom-auf-buy-ziel-27-20-euro-10-26173761,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat die Aktie der Deutschen Telekom nach angekündigten Ausschüttungen der Tochter T-Mobile US auf ""Buy"" mit einem Kursziel von 27,20 Euro belassen. Die Barmittelverwendung von T-Mobile US habe weitgehend den Erwartungen entsprochen, schrieb Analyst Andrew Lee in einer am Donnerstag vorliegenden Studie. Zugleich sollte dies indirekt auch der T-Aktie zu einer Neubewertung verhelfen. Denn: Die Pläne der Tochter dürften den Mutterkonzern stützen, seine eigene Ausschüttungsquote von etwa 4 Prozent im laufenden Jahr auf einen mittleren bis hohen einstelligen Prozentbetrag 2024 und darüber hinaus anzuheben./ck/ajx
Veröffentlichung der Original-Studie: 06.09.2023 / 20:22 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Deutsche Telekom auf 'Overweight',"07.09.2023, 09:26",dpa-AFX,https://www.onvista.de/news/2023/09-07-analyse-flash-jpmorgan-belaesst-deutsche-telekom-auf-overweight-10-26173677,"NEW YORK (dpa-AFX) - Die US-Bank JPMorgan hat die Einstufung für Deutsche Telekom auf ""Overweight"" mit einem Kursziel von 28,80 Euro belassen. Analyst Akhil Dattani verwies in einer am Donnerstag vorliegenden Studie auf die Ankündigung eines Aktienrückkaufprogramms und von Dividenden bei T-Mobile US. Die US-Tochter der Telekom sei damit nicht mehr nur ""reines Wachstum, sondern Wachstum plus Value"". Die T-Aktie selbst bleibt für Dattani außerdem ein ""Top Pick"" im Sektor./ajx/ck
Veröffentlichung der Original-Studie: 06.09.2023 / 23:26 / BST
Erstmalige Weitergabe der Original-Studie: 07.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,ANALYSE/JPMorgan: Bei Telefonica Deutschland steht viel auf dem Spiel,"16.08.2023, 11:30",dpa-AFX,https://www.onvista.de/news/2023/08-16-analyse-jpmorgan-bei-telefonica-deutschland-steht-viel-auf-dem-spiel-10-26166469,"NEW YORK (dpa-AFX) - Nach Einschätzung der US-Bank JPMorgan drohen Telefonica Deutschland (O2) schwere Einbußen durch die National-Roaming-Partnerschaft von 1&1 mit Vodafone . Die Kooperation habe Telefonica Deutschland quasi ""verwundet"", schrieb Analyst Akhil Dattani in einer am Mittwoch vorliegenden Studie. Der Experte stufte die Telefonica-Deutschland-Aktie von ""Overweight"" auf ""Neutral"" ab und senkte das Kursziel von 3,60 auf 2,20 Euro. Geschätzt stünden mittelfristig fast die Hälfte des freien Mittelzuflusses (EFCF) bei der Tochter sowie 15 Prozent beim spanischen Mutterkonzern Telefonica auf dem Spiel.
Vodafone und 1&1 hatten überraschend den Schulterschluss gesucht. Die Einigung auf eine National-Roaming-Partnerschaft bedeutet, dass 1&1-Kunden spätestens ab Oktober 2024 dort, wo die United-Internet-Tochter keine eigenen Masten hat, mit dem Vodafone-Netz verbunden werden. Dafür bekommt Vodafone Mieteinnahmen. Bisher hat 1&1 so einen Vertrag mit Telefonica Deutschland, dieser gilt aber nur für 4G. Bei Vodafone ist hingegen auch 5G und damit der neueste Mobilfunkstandard inbegriffen.
Die von ihm seit langem kritisierten Roaming-Partnerschaften im deutschen Mobilfunkmarkt hätten potenziell schädliche Folgen für die Preisgestaltungsmacht im Sektor, schrieb Dattani. Um diesen Risiken Rechnung zu tragen, habe er seine Prognosen für die Kapitalkosten der Anbieter erhöht und jene für die langfristigen Wachstumsraten reduziert. Für Telefonica Deutschland gingen durch die Abgabe von 1&1 als Roaming-Partner an Vodafone die weitaus größten Umsatzeinbußen einher.
Ein Silberstreifen am Horizont könnte erkennbar sein, sollte Telefonica Deutschland ""nur"" versuchen, die Belastung der Umsatzeinbußen durch Kostensenkungen zu minimieren, statt höhere Umsätze über den Ausbau von Marktanteilen anzupeilen - denn derartige Ambitionen dürften Investoren wohl kaum in ihre Prognosen einfließen lassen, da die Wettbewerber auf entsprechende Maßnahmen von Telefonica reagieren dürften. Auch könnten einige die Hoffnung hegen, dass 1&1 sich nicht mehr länger unter Druck gesetzt fühle, um einen aggressiven Ausbau des Netzwerks zu verfolgen und sich theoretisch von der 1Ghz-Frequenzauktion zu distanzieren.
Gemäß der Einstufung ""Neutral"" geht JPMorgan davon aus, dass sich die Aktie in den kommenden sechs bis zwölf Monaten im Gleichklang mit dem jeweiligen Sektor entwickeln wird./ajx/bek/edh/ngu/mis
Analysierendes Institut JPMorgan.
Veröffentlichung der Original-Studie: 15.08.2023 / 23:43 / BST Erstmalige Weitergabe der Original-Studie: 16.08.2023 / 00:15 / BST
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: Citigroup streicht Dt. Telekom von 'European Focus List' - 'Buy',"22.05.2023, 10:28",dpa-AFX,https://www.onvista.de/news/2023/05-22-analyse-flash-citigroup-streicht-dt-telekom-von-european-focus-list-buy-10-26135914,"LONDON (dpa-AFX Broker) - Die US-Bank Citigroup hat die Papiere der Deutschen Telekom nach zuletzt überdurchschnittlich gutem Kursverlauf von der ""European Focus List"" gestrichen. Die Einstufung beließ Analyst Georgios Ierodiaconou in einer am Montag vorliegenden Studie jedoch bei einem Kursziel von 26 Euro auf ""Buy"". Er vermisst nun vorerst Impulse, die den Kurs weiter antreiben könnten - und ersetzt die Papiere auf der Auswahlliste durch die britische BT Group, die ein klarer Profiteur regulatorischer und marktseitiger Rahmenbedingungen sei./tih/ag
Veröffentlichung der Original-Studie: 22.05.2023 / 00:03 / ET
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Deutsche Telekom auf 'Buy' - Ziel 25 Euro,"11.05.2023, 13:05",dpa-AFX,https://www.onvista.de/news/2023/05-11-analyse-flash-goldman-belaesst-deutsche-telekom-auf-buy-ziel-25-euro-10-26132296,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Deutsche Telekom nach Zahlen zum ersten Quartal auf ""Buy"" mit einem Kursziel von 25 Euro belassen. Unter dem Strich sei das Zahlenwerk leicht positiv, schrieb Analyst Andrew Lee in einer ersten Einschätzung am Donnerstag. Das liege vor allem an starken operativen Trends des Telekomanbieters auf dem Heimatmarkt./bek/gl
Veröffentlichung der Original-Studie: 11.05.2023 / 07:04 / BST Erstmalige Weitergabe der Original-Studie: 11.05.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,"ANALYSE-FLASH: JPMorgan lässt Deutsche Telekom auf 'Overweight'; Ziel 29,50 Euro","28.04.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/04-28-analyse-flash-jpmorgan-laesst-deutsche-telekom-auf-overweight-ziel-29-50-euro-10-26126937,"NEW YORK (dpa-AFX Broker) - JPMorgan hat Deutsche Telekom nach Zahlen von T-Mobile US auf ""Overweight"" mit einem Kursziel von 29,50 Euro belassen. Die Aktie steht zudem auf der ""Analyst Focus List der US-Bank. Die US-Mobilfunktochter der Bonner habe im ersten Quartal durchwachsen abgeschnitten, schrieb Analyst Akhil Dattani in einer am Freitag vorliegenden Studie. Die Nettoneukundenzahl sehe derweil solide aus. Zu den nach oben revidierten Jahreszielen von T-Mobile US merkte Diebel an, dass der Marktkonsens und seine Schätzungen bereits in diesem Bereich lägen./gl/ag
Veröffentlichung der Original-Studie: 28.04.2023 / 06:27 / BST Erstmalige Weitergabe der Original-Studie: 28.04.2023 / 06:35 / BST
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Deutsche-Telekom-Ziel moderat - 'Overweight',"26.04.2023, 13:49",dpa-AFX,https://www.onvista.de/news/2023/04-26-analyse-flash-barclays-senkt-deutsche-telekom-ziel-moderat-overweight-10-26125926,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Deutsche Telekom vor Zahlen zum ersten Quartal von 26,00 auf 25,50 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Analyst Mathieu Robilliard rechnete in einer am Mittwoch vorliegenden Studie mit einem weiteren soliden Quartal des Telekomanbieters. Allerdings dürfte sich das Umsatzwachstum im Mobilfunk im Vergleich zum Schlussquartal 2022 etwas verlangsamen./bek/gl
Veröffentlichung der Original-Studie: 25.04.2023 / 17:11 / GMT
Erstmalige Weitergabe der Original-Studie: 25.04.2023 / 17:15 / GMT
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank hebt Ziel für Deutsche Telekom auf 30 Euro - 'Buy',"17.04.2023, 11:05",dpa-AFX,https://www.onvista.de/news/2023/04-17-analyse-flash-deutsche-bank-hebt-ziel-fuer-deutsche-telekom-auf-30-euro-buy-10-26121896,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Deutsche Telekom von 29,50 auf 30,00 Euro angehoben und die Einstufung auf ""Buy"" belassen. Deutsche Telekom sei 2022 in der europäischen Telekombranche der beste Wert gewesen und auch 2023 habe stark begonnen, schrieb Analyst Robert Grindle in einer am Montag vorliegenden Studie. Der Analyst sieht weiteres Kurspotenzial, die Aktie zählt er zu seinen ""Top Picks"". Die 2023er-Prognosen der Bonner lägen im Rahmen seiner Erwartung für das Geschäft ohne die Funkmasten, dessen Einnahmen zusammen mit einer eventuellen Beteiligung an den Aktienrückkäufen von T-Mobile US das in der Branche überdurchschnittliche Wachstum an Aktionärsausschüttungen unterstrichen./ajx/mis
Veröffentlichung der Original-Studie: 17.04.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 17.04.2023 / 06:47 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Deutsche Telekom auf 'Overweight' - Ziel 30 Euro,"13.04.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/04-13-analyse-flash-jpmorgan-belaesst-deutsche-telekom-auf-overweight-ziel-30-euro-10-26120802,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Deutsche Telekom nach einigen Investorenveranstaltungen auf ""Overweight"" mit einem Kursziel von 30 Euro belassen. Die steigenden Zinsen hätten die Anleiherenditen auf ein Niveau gebracht, das die Kapitalrendite des Telekommunikationssektors bei weitem übersteige, schrieb Analyst Akhil Dattani in einer am Donnerstag vorliegenden Branchenstudie. Dies führe zu einer unhaltbaren Realität, die eine strukturelle Marktsanierung erzwingen dürfte. Die T-Aktie gehört weiterhin zu seinen ""Top Picks"" im Sektor./edh/la
Veröffentlichung der Original-Studie: 12.04.2023 / 23:58 / BST
Erstmalige Weitergabe der Original-Studie: 13.04.2023 / 00:33 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Deutsche Telekom,Aktieneinstufung,ANALYSE-FLASH: Morgan Stanley senkt Ziel für Deutsche Telekom - 'Overweight',"04.04.2023, 13:05",dpa-AFX,https://www.onvista.de/news/2023/04-04-analyse-flash-morgan-stanley-senkt-ziel-fuer-deutsche-telekom-overweight-10-26117928,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Morgan Stanley hat das Kursziel für Deutsche Telekom von 27,00 auf 26,50 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Analyst Emmet Kelly überarbeitete in einer am Dienstag vorliegenden Studie seine Schätzungen mit Blick auf die jüngsten Quartalszahlen. Die Aktie bleibe aber angesichts des überzeugenden Anstiegs bei Dividende und Gewinn je Aktie weiter sein Favorit. Zudem sei die Wachstumsrate beim Barmittelfluss die Beste ihrer Klasse. Dabei seien einige Bereiche wie das Deutschland- und Europa-Geschäft sowie die Funktürme unterbewertet. Dies sollte mit dem Überschreiten der symbolisch wichtigen Schwelle von 50,1 Prozent an der US-Tochter aber deutlicher werden./tav/bek
Veröffentlichung der Original-Studie: 04.04.2023 / 04:30 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
