Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
E.ON,Aktieneinstufung,"ANALYSE-FLASH: SocGen hebt Eon auf 'Buy' und Ziel auf 13,40 Euro","19.09.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/09-19-analyse-flash-socgen-hebt-eon-auf-buy-und-ziel-auf-13-40-euro-10-26177660,"PARIS (dpa-AFX Broker) - Die französische Großbank Societe Generale (SocGen) hat Eon von ""Hold"" auf ""Buy"" hochgestuft und das Kursziel von 13,20 auf 13,40 Euro angehoben. Analyst Bartlomiej Kubicki hob in einer am Dienstag vorliegenden Studie seine operativen Gewinnschätzungen für den Versorger. Das regulatorische Umfeld in Deutschland bessere sich und das Geschäft mit Energienetzen laufe dynamisch./ag/tih
Veröffentlichung der Original-Studie: 18.09.2023 / 18:29 / CET
Erstmalige Weitergabe der Original-Studie: 19.09.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Eon auf 'Overweight' - Ziel 13 Euro,"28.07.2023, 11:42",dpa-AFX,https://www.onvista.de/news/2023/07-28-analyse-flash-jpmorgan-belaesst-eon-auf-overweight-ziel-13-euro-10-26159979,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Eon auf ""Overweight"" mit einem Kursziel von 13 Euro belassen. Nach dem starken ersten Halbjahr habe der Versorger beim bereinigten Überschuss bereits das untere Ende der Jahresziele erreicht, schrieb Analyst Vincent Ayral am Donnerstagabend in einer ersten Reaktion auf die Prognoseerhöhung. Eon sei auf einem guten Weg, mindestens die neuen Ziele zu erreichen./ag/lew
Veröffentlichung der Original-Studie: 27.07.2023 / 22:52 / BST
Erstmalige Weitergabe der Original-Studie: 28.07.2023 / 00:57 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: DZ Bank hebt Eon auf 'Kaufen' und fairen Wert auf 13,50 Euro","28.07.2023, 11:20",dpa-AFX,https://www.onvista.de/news/2023/07-28-analyse-flash-dz-bank-hebt-eon-auf-kaufen-und-fairen-wert-auf-13-50-euro-10-26159957,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat Eon nach vorläufigen Halbjahreszahlen von ""Halten"" auf ""Kaufen"" hochgestuft und den fairen Wert von 12,80 auf 13,50 Euro angehoben. Der Versorger habe sehr gut abgeschnitten, weshalb er seine Schätzungen hochgeschraubt habe, schrieb Analyst Werner Eisenmann in einer am Freitag vorliegenden Studie. Das neue Anlagevotum begründete er mit den erhöhten Jahreszielen sowie der erwarteten Anpassung der mittelfristigen Ziele. Die Bewertung der Aktie spiegele das Potenzial aus der Energiewende nicht ausreichend wider, so Eisenmann./gl/edh
Veröffentlichung der Original-Studie: 28.07.2023 / 08:30 / MESZ Erstmalige Weitergabe der Original-Studie: 28.07.2023 / 09:19 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,ANALYSE-FLASH: Santander senkt Eon auf 'Neutral' trotz Zielerhöhung,"24.05.2023, 14:05",dpa-AFX,https://www.onvista.de/news/2023/05-24-analyse-flash-santander-senkt-eon-auf-neutral-trotz-zielerhoehung-10-26136909,"NEW YORK (dpa-AFX Broker) - Die spanische Banco Santander hat Eon von ""Outperform"" auf ""Neutral"" abgestuft, obwohl das Kursziel von 12 auf 13 Euro erhöht wurde. Nach gutem Lauf sei es an der Zeit, um Luft zu holen, schrieb Analyst Oscar Najar in einer am Mittwoch vorliegenden Studie. Seit dem Sektortief Mitte Oktober habe die Aktie doppelt so gut abgeschnitten wie der Branchenschnitt. Er stelle die generelle Aktienstory damit nicht in Frage, aber der positive Nachrichtenfluss sollte sich eher auf das Jahresende konzentrieren. Der Abschlag gegenüber Mitbewerbern sei jetzt geringer geworden./tih/jha/
Veröffentlichung der Original-Studie: 24.05.2023 / 07:20 / CEST
Erstmalige Weitergabe der Original-Studie: 24.05.2023 / 07:20 / CEST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: Goldman belässt Eon auf 'Buy' - Ziel 13,20 Euro","23.05.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/05-23-analyse-flash-goldman-belaesst-eon-auf-buy-ziel-13-20-euro-10-26136382,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Eon auf ""Buy"" mit einem Kursziel von 13,20 Euro belassen. Medienberichten zufolge könnte das Netzgeschäft in Deutschland regulatorischen Rückenwind bekommen, schrieb Analyst Alberto Gandolfi in einer am Dienstag vorliegenden Studie. Ein Schutzmechanismus in Inflationszeiten könne ein bedeutend positiver Aspekt werden./tih/la
Veröffentlichung der Original-Studie: 23.05.2023 / 08:46 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: Goldman hebt Ziel für Eon auf 13,20 Euro - 'Buy'","11.05.2023, 09:03",dpa-AFX,https://www.onvista.de/news/2023/05-11-analyse-flash-goldman-hebt-ziel-fuer-eon-auf-13-20-euro-buy-10-26132102,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Eon von 12,20 auf 13,20 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der Aktienkurs könne zwar eine Pause einlegen, längerfristig seien die Aussichten für den Energiekonzern aber gut, schrieb Analyst Alberto Gandolfi in einer am Donnerstag vorliegenden Studie. Die vom Unternehmen in Aussicht gestellten Ziele für das Gesamtjahr erschienen ihm konservativ./bek/ag
Veröffentlichung der Original-Studie: 11.05.2023 / 06:00 / BST
Erstmalige Weitergabe der Original-Studie: 11.05.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: DZ Bank senkt Eon auf 'Halten' - Hebt fairen Wert auf 12,80 Euro","10.05.2023, 15:35",dpa-AFX,https://www.onvista.de/news/2023/05-10-analyse-flash-dz-bank-senkt-eon-auf-halten-hebt-fairen-wert-auf-12-80-euro-10-26131706,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat Eon nach Quartalszahlen von ""Kaufen"" auf ""Halten"" abgestuft, den fairen Wert aber von 12,10 auf 12,80 Euro angehoben. Der Energieversorger habe die Erwartungen übertroffen, schrieb Analyst Werner Eisenmann in einer am Mittwoch vorliegenden Studie. Doch nach einer Kursrally preise die Aktie die Chancen, die sich aus der Energiewende ergäben, schon annähernd ein. In der Branche gebe es zudem ""bessere Alternativen für Dividendenjäger""./gl/tih
Veröffentlichung der Original-Studie: 10.05.2023 / 13:32 / MESZ Erstmalige Weitergabe der Original-Studie: 10.05.2023 / 13:54 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: Credit Suisse hebt Ziel für Eon auf 12,70 Euro - 'Outperform'","20.04.2023, 14:04",dpa-AFX,https://www.onvista.de/news/2023/04-20-analyse-flash-credit-suisse-hebt-ziel-fuer-eon-auf-12-70-euro-outperform-10-26123683,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Bank Credit Suisse hat das Kursziel für Eon von 11,50 auf 12,70 Euro angehoben und die Einstufung auf ""Outperform"" belassen. Der Energieversorger habe die Herausforderungen des vergangenen Winters erfolgreich gemeistert, schrieb Analystin Wanda Serwinowska in einer am Donnerstag vorliegenden Studie. Die aktuelle Energiekrise habe die Energiewende in Europa beschleunigt und die Wachstumschancen für Eon untermauert./edh/la
Veröffentlichung der Original-Studie: 20.04.2023 / 03:48 / UTC
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Eon auf 'Overweight' und Ziel auf 13 Euro,"22.03.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/03-22-analyse-flash-jpmorgan-hebt-eon-auf-overweight-und-ziel-auf-13-euro-10-26112540,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Eon nach Jahreszahlen von ""Neutral"" auf ""Overweight"" hochgestuft und das Kursziel von 10,50 auf 13,00 Euro angehoben. Der Energieversorger habe stark abgeschnitten und einen soliden Ausblick sowohl auf 2023 als auch auf 2027 gegeben, schrieb Analyst Vincent Ayral in einer am Mittwoch vorliegenden Studie. Er hob seine bereinigten Ergebnisschätzungen (EPS) für beide Jahre an und liegt nun nach eigener Aussage über den Konsensschätzungen. Ayral verweist zudem darauf, dass Eon für das laufende Jahr von konservativen Zielen gesprochen habe, weshalb diese Luft nach oben hätten./gl/bek
Veröffentlichung der Original-Studie: 21.03.2023 / 20:00 / GMT
Erstmalige Weitergabe der Original-Studie: 22.03.2023 / 00:15 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
E.ON,Aktieneinstufung,"ANALYSE-FLASH: Deutsche Bank Research hebt Ziel für Eon auf 11,50 Euro - 'Buy'","17.03.2023, 10:55",dpa-AFX,https://www.onvista.de/news/2023/03-17-analyse-flash-deutsche-bank-research-hebt-ziel-fuer-eon-auf-11-50-euro-buy-10-26110785,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Eon nach Jahreszahlen und einer Aktualisierung des Geschäftsplans von 11,00 auf 11,50 Euro angehoben und die Einstufung auf ""Buy"" belassen. Das Update des Energiekonzerns sei besser als erwartet ausgefallen, schrieb Analyst James Brand in einer am Freitag vorliegenden Studie. Der Ausblick auf 2023 habe die Erwartungen leicht übertroffen, jener auf 2027 hingegen deutlich./edh/tih
Veröffentlichung der Original-Studie: 17.03.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 17.03.2023 / 06:45 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
