Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Fresenius,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt Fresenius auf 'Kaufen' und fairen Wert auf 42 Euro,"18.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-18-analyse-flash-dz-bank-hebt-fresenius-auf-kaufen-und-fairen-wert-auf-42-euro-10-26177242,"FRANKFURT (dpa-AFX) - Die DZ Bank hat die Aktien von Fresenius von ""Halten"" auf ""Kaufen"" hochgestuft und ihren fairen Wert von 27 auf 42 Euro angehoben. ""Die 'neue' Fresenius - also ohne FMC - ist operativ wachstumsstark und hat ein hohes Potenzial zur Schuldentilgung"", schrieb Analyst Sven Kürten in einer am Montag vorliegenden Studie. Daher könne der Nettogewinn bis 2027 noch dynamischer als das operative Ergebnis steigen. Gleichzeitig seien die Papiere günstig./ag/ck
Veröffentlichung der Original-Studie: 18.09.2023 / 07:38 / MESZ
Erstmalige Weitergabe der Original-Studie: 18.09.2023 / 07:53 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: HSBC senkt Fresenius SE auf 'Hold' - Ziel 33 Euro,"05.09.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/09-05-analyse-flash-hsbc-senkt-fresenius-se-auf-hold-ziel-33-euro-10-26172912,"LONDON (dpa-AFX Broker) - Die britische Investmentbank HSBC hat Fresenius von ""Buy"" auf ""Hold"" abgestuft, aber das Kursziel auf 33 Euro belassen. Es bleibe die große Frage, welche Unternehmensteile der Gesundheitskonzern beim Umbau veräußern werde, schrieb Analystin Sezgi Oezener in einer am Dienstag vorliegenden Studie. Sie rechnet für die kommenden sechs bis zwölf Monate mit Ankündigungen mit einem finanziellen Volumen von mehr als 5 Milliarden Euro. Da es aber noch an klaren Belegen für größere Umbaumaßnahmen fehle, stufte sie die Aktien erst einmal mit ""Hold"" ein. Zudem würde sich die Schuldenquote wohl auch bei einem Verkauf der Dialysetochter Fresenius Medical Care (FMC) kaum verbessern./mis/ajx
Veröffentlichung der Original-Studie: 04.09.2023 / 13:06 / GMT
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 01:00 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank hebt Fresenius auf 'Buy' und Ziel auf 39 Euro,"09.08.2023, 11:05",dpa-AFX,https://www.onvista.de/news/2023/08-09-analyse-flash-deutsche-bank-hebt-fresenius-auf-buy-und-ziel-auf-39-euro-10-26164121,"FRANKFURT (dpa-AFX) - Deutsche Bank Research hat Fresenius von ""Hold"" auf ""Buy"" hochgestuft und das Kursziel von 28 auf 39 Euro angehoben. Operativ verbessere sich der auf Gesundheitsdienstleistungen spezialisierte Konzern unter dem neuen Management, schrieb Analyst Falko Friedrichs in einer am Mittwoch vorliegenden Studie. Das gelte vor allem für das große und wichtige Segment Kabi, die Infusionssparte. Auch scheine die Konzernführung mit Verkäufen aus dem Beteiligungsportfolio voranzukommen./bek/ck
Veröffentlichung der Original-Studie: 09.08.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 09.08.2023 / 06:45 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Fresenius SE auf 41 Euro - 'Buy',"07.08.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/08-07-analyse-flash-jefferies-hebt-ziel-fuer-fresenius-se-auf-41-euro-buy-10-26163199,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Fresenius von 38 auf 41 Euro angehoben und die Einstufung auf ""Buy"" belassen. In Reaktion auf die Halbjahreszahlen des Medizinkonzerns erhöhte Analyst James Vane-Tempest seine Ergebnisprognosen (EPS) für die Jahre 2023 und 2024. Das neue Kursziel reflektiere neben den verbesserten Fundamentaldaten auch das angehobene Kursziel für die Dialysetochter FMC, schrieb er in einer am Montag vorliegenden Studie./edh/mis
Veröffentlichung der Original-Studie: 04.08.2023 / 14:58 / ET
Erstmalige Weitergabe der Original-Studie: 06.08.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Fresenius SE auf 38 Euro - 'Buy',"02.06.2023, 11:35",dpa-AFX,https://www.onvista.de/news/2023/06-02-analyse-flash-jefferies-hebt-ziel-fuer-fresenius-se-auf-38-euro-buy-10-26140159,"NEW YORK (dpa-AFX) - Das Analysehaus Jefferies hat das Kursziel für Fresenius von 33 auf 38 Euro angehoben und die Einstufung auf ""Buy"" belassen. Analyst James Vane-Tempest erhöhte nach dem Kapitalmarkttag zur Arzneisparte Kabi sowie der Ausblicksanhebung seine Ergebnisschätzungen (EPS) für den Medizinkonzern. Er sieht laut einer am Freitag vorliegenden Studie zu den mittelfristigen Unternehmenszielen immer noch Spielraum nach oben und verweist auf Unsicherheiten bei wichtigen Projekten./gl/edh
Veröffentlichung der Original-Studie: 01.06.2023 / 04:46 / ET Erstmalige Weitergabe der Original-Studie: 01.06.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research hebt Fresenius-Ziel auf 28 Euro - 'Hold',"01.06.2023, 14:50",dpa-AFX,https://www.onvista.de/news/2023/06-01-analyse-flash-deutsche-bank-research-hebt-fresenius-ziel-auf-28-euro-hold-10-26139795,"FRANKFURT (dpa-AFX) - Deutsche Bank Research hat das Kursziel für Fresenius nach einem Kapitalmarkttag des Gesundheitskonzerns zur Arznei-Sparte Kabi von 22 auf 28 Euro angehoben, aber die Einstufung auf ""Hold"" belassen. Die Veranstaltung sei ein weiterer Schritt in die richtige Richtung gewesen, auch wenn die Aktie an dem Tag nachgegeben habe, schrieb Analyst Falko Friedrichs in einer am Donnerstag vorliegenden Studie. Die Marktreaktion habe einmal mehr gezeigt, dass es kein einzelner Kurstreiber für die Aktie richten könne. Das in den vergangenen Jahren verloren gegangene Vertrauen könne nicht mit einem überraschend guten Quartal zurückgewonnen werden, zumal angesichts der hohen Verschuldung./gl/ajx
Veröffentlichung der Original-Studie: 01.06.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 01.06.2023 / 06:45 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,"ANALYSE-FLASH: JPMorgan belässt Fresenius SE auf 'Neutral' - Ziel 29,60 Euro","10.05.2023, 14:20",dpa-AFX,https://www.onvista.de/news/2023/05-10-analyse-flash-jpmorgan-belaesst-fresenius-se-auf-neutral-ziel-29-60-euro-10-26131642,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Fresenius nach Quartalszahlen des Medizinherstellers und Krankenhausbetreibers auf ""Neutral"" mit einem Kursziel von 29,60 Euro belassen. Das Umsatzwachstum sei das höchste seit Anfang 2020 und der Rückgang der Margen habe sich verlangsamt, schrieb Analyst David Adlington in einer am Mittwoch vorliegenden Studie. Die Bullen dürften sich auf die Margenverbesserung bei Kabi fokussieren, wo es erste Anzeichen gebe, dass das neue Management eine Trendwende schaffe. Dazu sei die Aktie günstig./gl/la
Veröffentlichung der Original-Studie: 09.05.2023 / 23:05 / BST Erstmalige Weitergabe der Original-Studie: 10.05.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Fresenius SE nach Zahlen auf 'Buy',"09.05.2023, 14:04",dpa-AFX,https://www.onvista.de/news/2023/05-09-analyse-flash-jefferies-belaesst-fresenius-se-nach-zahlen-auf-buy-10-26131063,"NEW YORK (dpa-AFX) - Das Analysehaus Jefferies hat die Einstufung für Fresenius nach Zahlen auf ""Buy"" mit einem Kursziel von 33 Euro belassen. Der Krankenhausbetreiber und Medizinhersteller habe ohne seine Mehrheitsbeteiligung am Krankenhausdienstleister Vamed ein solides erstes Quartal bekannt gegeben, schrieb Analyst James Vane-Tempest in einer am Dienstag vorliegenden Studie. Vor allem das Umsatzwachstum der Infusionssparte Kabi sei stark gewesen. Der Rückschlag bei Vamed indes war ihm zufolge der Grund, die Jahresziele im ersten Quartal nicht anzuheben, da umfangreiche Restrukturierungen eingeleitet worden seien./ck/gl
Veröffentlichung der Original-Studie: 09.05.2023 / 02:16 / ET Erstmalige Weitergabe der Original-Studie: 09.05.2023 / 02:16 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,ANALYSE-FLASH: Warburg Research hebt Fresenius SE auf 'Buy',"10.03.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/03-10-analyse-flash-warburg-research-hebt-fresenius-se-auf-buy-10-26107935,"HAMBURG (dpa-AFX) - Das Analysehaus Warburg Research hat Fresenius von ""Hold"" auf ""Buy"" hochgestuft und das Kursziel von 24 auf 34 Euro angehoben. Die Neustrukturierung des Medizinunternehmens verbessere die künftigen Aussichten, schrieb Analyst Christian Ehmann in einer am Freitag vorliegenden Studie. Kabi und Helios sollten in Zukunft die Wachstumstreiber sein./mf/gl
Veröffentlichung der Original-Studie: 10.03.2023 / 08:15 / MEZ Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Fresenius,Aktieneinstufung,"ANALYSE-FLASH: JPMorgan senkt Ziel für Fresenius auf 29,60 Euro - 'Neutral'","23.02.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/02-23-analyse-flash-jpmorgan-senkt-ziel-fuer-fresenius-auf-29-60-euro-neutral-10-26101633,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Fresenius von 31,90 auf 29,60 Euro gesenkt und die Einstufung auf ""Neutral"" belassen. Mit der Entkonsolidierung von FMC gehe der Medizinkonzern unter neuer Führung einen ersten Schritt, um die Konzernstruktur zu vereinfachen, schrieb Analyst David Adlington in einer am Donnerstag vorliegenden Studie. Er glaubt, dass es letztlich noch dazu kommen wird, dass die restlichen Anteile auch verkauft werden. Diese Maßnahmen außen vor gelassen, werde 2023 ein schwieriges Jahr für die Töchter FMC, Vamed und Kabi. Dies verleitete ihn zu deutlich gekürzten Gewinnschätzungen. Vorerst sei die Aktie ""totes Geld""./tih/gl
Veröffentlichung der Original-Studie: 23.02.2023 / 06:21 / GMT Erstmalige Weitergabe der Original-Studie: 23.02.2023 / 06:21 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
