Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Hannover Rück auf 'Analyst Focus List' - Ziel hoch,"22.09.2023, 10:20",dpa-AFX,https://www.onvista.de/news/2023/09-22-analyse-flash-jpmorgan-setzt-hannover-rueck-auf-analyst-focus-list-ziel-hoch-10-26179037,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Hannover Rück auf ihre Auswahlliste ""Analyst Focus List"" gesetzt und das Kursziel von 240 auf 255 Euro angehoben. Die Einstufung lautet weiterhin ""Overweight"". Trotz der vergleichsweise schwachen Kursentwicklung des Sektors bleibe er wegen zahlreicher Treiber positiv für die Versicherer gestimmt, schrieb Analyst Farooq Hanif in einer am Freitag vorliegenden Branchenstudie. Hannover Rück gehört zu seinen Favoriten. Das Unternehmen dürfte weiterhin seine Ziele übertreffen und seine konservative Bilanz beibehalten./tav/mis
Veröffentlichung der Original-Studie: 21.09.2023 / 19:11 / BST
Erstmalige Weitergabe der Original-Studie: 22.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Hannover Rück auf 'Overweight' - Ziel 235 Euro,"09.08.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/08-09-analyse-flash-jpmorgan-belaesst-hannover-rueck-auf-overweight-ziel-235-euro-10-26164087,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Hannover Rück nach Quartalszahlen auf ""Overweight"" mit einem Kursziel von 235 Euro belassen. Der Rückversicherer befinde sich auf einem guten Weg, die Reservepuffer wieder aufzufüllen, schrieb Analyst Kamran Hossain in einer am Mittwoch vorliegenden ersten Einschätzung./ajx/mis
Veröffentlichung der Original-Studie: 09.08.2023 / 07:27 / BST
Erstmalige Weitergabe der Original-Studie: 09.08.2023 / 07:34 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: RBC belässt Hannover Rück auf 'Outperform' - Ziel 220 Euro,"11.05.2023, 13:35",dpa-AFX,https://www.onvista.de/news/2023/05-11-analyse-flash-rbc-belaesst-hannover-rueck-auf-outperform-ziel-220-euro-10-26132324,"NEW YORK (dpa-AFX) - Die kanadische Bank RBC hat die Einstufung für Hannover Rück auf ""Outperform"" mit einem Kursziel von 220 Euro belassen. Die Erwartungen seien mit durch die Bank guten Trends übertroffen worden, schrieb Analyst Derald Goh am Donnerstag in einer ersten Reaktion auf dem Quartalsbericht./ag/gl
Veröffentlichung der Original-Studie: 11.05.2023 / 02:27 / EDT Erstmalige Weitergabe der Original-Studie: 11.05.2023 / 02:27 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Hannover Rück auf 'Positive Catalyst Watch' - 'OW',"21.04.2023, 10:35",dpa-AFX,https://www.onvista.de/news/2023/04-21-analyse-flash-jpmorgan-setzt-hannover-rueck-auf-positive-catalyst-watch-ow-10-26124044,"NEW YORK (dpa-AFX) - Die US-Bank JPMorgan hat den Aktien von Hannover Rück den Status ""Positive Catalyst Watch"" verliehen und erwartet damit positive Zahlen zum ersten Quartal. Die Einstufung wurde auf ""Overweight"" mit einem Kursziel von 205 Euro belassen. Das erste Quartal sei von weltweit schadenträchtigen Naturkatastrophen und damit einer harten Zeit für die Rückversicherer geprägt gewesen, deren Preisgestaltung aber weiterhin stark sei, schrieb Analyst Farooq Hanif in einer am Freitag vorliegenden Branchenstudie. Anleger sollten sich auf Sektorwerte fokussieren, die das Potenzial haben, aufgrund fundamentaler Trends zu überraschen, in dem Wissen, dass die Rechnungslegungsvorschrift IFRS17 keine Auswirkungen auf Kapital, Dividenden oder Cashflow hat./edh/ck
Veröffentlichung der Original-Studie: 20.04.2023 / 19:46 / BST
Erstmalige Weitergabe der Original-Studie: 21.04.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: BofA hebt Hannover Rück auf 'Neutral' - Ziel 192 Euro,"27.03.2023, 15:34",dpa-AFX,https://www.onvista.de/news/2023/03-27-analyse-flash-bofa-hebt-hannover-rueck-auf-neutral-ziel-192-euro-10-26114600,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Bank of America (BofA) hat Hannover Rück von ""Underperform"" auf ""Neutral"" hochgestuft und das Kursziel von 185 auf 192 Euro angehoben. Nach zuletzt unterdurchschnittlicher Kursentwicklung wird Analystin Freya Kong laut einer am Montag vorliegenden Studie optimistischer für die Papiere des Rückversicherers. Das schwierige Umfeld spreche für die hohen Defensivqualitäten der Hannoveraner. Eine zunehmende Ergebnisdynamik im Jahr 2024 werde unterschätzt./ag/tih
Veröffentlichung der Original-Studie: 27.03.2023 / 00:30 / EDT
Erstmalige Weitergabe der Original-Studie: 27.03.2023 / 00:30 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Hannover Rück auf 'Overweight' - Ziel 210 Euro,"01.02.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/02-01-analyse-flash-jpmorgan-belaesst-hannover-rueck-auf-overweight-ziel-210-euro-10-26092767,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Hannover Rück auf ""Overweight"" mit einem Kursziel von 210 Euro belassen. Das auf Basis neuer Rechnungslegungsvorschriften bekannt gegebene Nettogewinn-Ziel für 2023 sei niedriger als die Markterwartungen, schrieb Analyst Kamran Hossain in einer am Mittwoch vorliegenden Studie. Allerdings setze der Rückversicherer seine Ziele für gewöhnlich vorsichtig an, relativierte dies der Experte. Die Zielmarke von 1,7 Milliarden Euro sei schließlich auch mit dem Wort ""mindestens"" versehen. Außerdem sei das Budget für Naturkatastrophen deutlich erhöht worden, während gleichzeitig nur mit einem geringeren Umsatzwachstum gerechnet werde./tih/mis
Veröffentlichung der Original-Studie: 01.02.2023 / 07:17 / GMT
Erstmalige Weitergabe der Original-Studie: 01.02.2023 / 07:30 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Hannover Rück auf 'Buy' - Ziel 185 Euro,"01.02.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/02-01-analyse-flash-jefferies-belaesst-hannover-rueck-auf-buy-ziel-185-euro-10-26092743,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für Hannover Rück auf ""Buy"" mit einem Kursziel von 185 Euro belassen. Der erste Ausblick unter neuen Rechnungslegungsbedingungen mache - wie üblich - einen relativ besonnenen Eindruck, schrieb Analyst Philip Kett in einer am Mittwoch vorliegenden Studie. Das Ziel eines Nettogewinns von mindestens 1,7 Milliarden Euro liege mehr als 10 Prozent unter den Schätzungen von ihm und des Marktes. Angesichts der positiven Preisentwicklungen bei Rückversicherungen sei das Wachstumsziel, das dem Vorjahresziel gleiche, besonders bedacht gewählt./tih/la
Veröffentlichung der Original-Studie: 01.02.2023 / 02:19 / ET
Erstmalige Weitergabe der Original-Studie: 01.02.2023 / 02:19 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: UBS senkt Hannover Rück auf 'Sell' - Ziel hoch auf 182 Euro,"12.01.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/01-12-analyse-flash-ubs-senkt-hannover-rueck-auf-sell-ziel-hoch-auf-182-euro-10-26085261,"ZÜRICH (dpa-AFX) - Die Schweizer Großbank UBS hat Hannover Rück von ""Neutral"" auf ""Sell"" abgestuft, das Kursziel aber von 161 auf 182 Euro angehoben. Auch wenn die Dividendenrendite nicht die Kernthese der Investoren für ein Investment in die Rückversichereraktie sei, halte er die historisch geringe Überrendite der Hannoveraner für abschreckend, begründete Analyst Will Hardcastle sein neues Anlagevotum in einer am Donnerstag vorliegenden Studie. Das neue Kursziel reflektiert zugleich seine angehobenen Gewinnprognosen (EPS) für 2023 und 2024./edh/ck
Veröffentlichung der Original-Studie: 12.01.2023 / 04:31 / GMT Erstmalige Weitergabe der Original-Studie: 12.01.2023 / 04:31 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: RBC belässt Hannover Rück auf 'Outperform' - Ziel 174 Euro,"03.11.2022, 10:50",dpa-AFX,https://www.onvista.de/news/2022/11-03-analyse-flash-rbc-belaesst-hannover-rueck-auf-outperform-ziel-174-euro-10-26060246,"NEW YORK (dpa-AFX Broker) - Die kanadische Bank RBC hat Hannover Rück nach Quartalszahlen auf ""Outperform"" mit einem Kursziel von 174 Euro belassen. Der Rückversicherer habe insgesamt erwartungsgemäß abgeschnitten und den Ausblick für das Nettoergebnis am unteren Ende der Zielspanne präzisiert, schrieb Analyst Derald Goh in einer am Donnerstag vorliegenden Studie. Letzteres beruhige mit Blick auf die Fähigkeit des Unternehmens, in einem weiteren schwierigen Jahr seine Ziele zu erreichen./gl/mis
Veröffentlichung der Original-Studie: 03.11.2022 / 03:12 / EDT Erstmalige Weitergabe der Original-Studie: 03.11.2022 / 03:12 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Hannover Rück,Aktieneinstufung,ANALYSE-FLASH: Goldman senkt Ziel für Hannover Rück auf 195 Euro - 'Buy',"20.10.2022, 14:20",dpa-AFX,https://www.onvista.de/news/2022/10-20-analyse-flash-goldman-senkt-ziel-fuer-hannover-rueck-auf-195-euro-buy-10-26054847,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Hannover Rück von 205 auf 195 Euro gesenkt und die Einstufung auf ""Buy"" belassen. Das dritte Quartal sei für Rückversicherer ein wichtiger Belastungstest wegen der Schäden, die der Hurrikan ""Ian"" in den USA hinterlassen hat, schrieb Analyst Alan Devlin in einer am Donnerstag vorliegenden Studie. Munich Re, Hannover Rück und Swiss Re dürften kombinierte Schaden-Kosten-Quoten im Bereich von 100 Prozent berichten. Bei Hannover Rück begründete er das gesenkte Kursziel mit dem höheren Zinsniveau./tih/stw
Veröffentlichung der Original-Studie: 19.10.2022 / 18:31 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
