Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Heidelberg Materials,Aktieneinstufung,"ANALYSE-FLASH: Jefferies lässt Heidelberg Materials auf 'Buy' - Ziel 97,60 Euro","27.09.2023, 12:52",dpa-AFX,https://www.onvista.de/news/2023/09-27-analyse-flash-jefferies-laesst-heidelberg-materials-auf-buy-ziel-97-60-euro-10-26180588,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Heidelberg Materials auf ""Buy"" mit einem Kursziel von 97,60 Euro belassen. Seit Vorlage der Halbjahreszahlen sei die Konsensschätzung für das operative Ergebnis (Ebitda) des Baustoffeherstellers im laufenden Jahr um vier Prozent gestiegen, habe sich zuletzt aber kaum noch bewegt, schrieb Analystin Glynis Johnson in einer am Mittwoch vorliegenden Branchenstudie. Sie liege nun knapp über der Mitte der aktualisierten Unternehmenszielspanne, aber immer noch unter ihrer Prognose. Auch für 2024 zeigte sich die Expertin optimistischer als der Konsens./gl/edh
Veröffentlichung der Original-Studie: 27.09.2023 / 01:08 / ET Erstmalige Weitergabe der Original-Studie: 27.09.2023 / 01:08 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,"ANALYSE-FLASH: Jefferies lässt Heidelberg Materials auf 'Buy' - Ziel 97,60 Euro","11.09.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/09-11-analyse-flash-jefferies-laesst-heidelberg-materials-auf-buy-ziel-97-60-euro-10-26174821,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Heidelberg Materials nach einer hauseigenen Branchenkonferenz auf ""Buy"" mit einem Kursziel von 97,60 Euro belassen. Der deutsche Baustoffekonzern habe sich optimistisch zu den Aussichten im US-Geschäft geäußert, schrieb Analystin Glynis Johnson in einer am Montag vorliegenden Studie. Dazu komme die Bestätigung, dass die Volumina in Europa sich im Juni und Juli stabilisiert hätten und im zweiten Halbjahr stabil bleiben sollten./gl/la
Veröffentlichung der Original-Studie: 08.09.2023 / 11:45 / ET Erstmalige Weitergabe der Original-Studie: 10.09.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Heidelberg Materials auf 'Buy' - Ziel 84 Euro,"04.09.2023, 10:20",dpa-AFX,https://www.onvista.de/news/2023/09-04-analyse-flash-berenberg-belaesst-heidelberg-materials-auf-buy-ziel-84-euro-10-26172405,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Heidelberg Materials auf ""Buy"" mit einem Kursziel von 84 Euro belassen. Die Baubranche stehe weiter vor Herausforderungen, jedoch dürfte in den meisten Märkten die Talsohle erreicht sein, schrieb Analyst Harry Goad in einer am Montag vorliegenden Branchenstudie. Mit einer deutlichen Erholung 2024 rechnet er nicht, jedoch böten sich vor diesem Hintergrund zahlreiche attraktive Investmentchancen. In Europa gehören für den Experten CRH, Kingspan, Heidelberg Materials, Wienerberger und Vinci zu den Top-Kaufempfehlungen. Bei den Heidelbergern hob er die Erholung der Rendite auf das eingesetzte Kapital hervor./ajx/la
Veröffentlichung der Original-Studie: 01.09.2023 / 14:56 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Ziel für Heidelberg Materials auf 84 Euro - 'Buy',"28.07.2023, 11:41",dpa-AFX,https://www.onvista.de/news/2023/07-28-analyse-flash-berenberg-hebt-ziel-fuer-heidelberg-materials-auf-84-euro-buy-10-26159980,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Heidelberg Materials von 72 auf 84 Euro angehoben und die Einstufung auf ""Buy"" belassen. Analyst Harry Goad hob in Reaktion auf die Halbjahreszahlen sowie den angehobenen Ausblick des Baustoffkonzerns seine operativen Ergebnisschätzungen (Ebitda) für die Jahre bis 2025 an. Die Aktie bleibt laut einer am Freitag vorliegenden Studie sein bevorzugter Branchentitel. Goad verwies auf die Kombination aus attraktiver Bewertung, klarer Unternehmensstrategie und zunehmend aktionärsfreundlichen Kapitalausschüttungen./gl/bek
Veröffentlichung der Original-Studie: 27.07.2023 / 17:12 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: HSBC senkt Heidelberg Materials auf 'Hold' - Ziel 81 Euro,"06.07.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/07-06-analyse-flash-hsbc-senkt-heidelberg-materials-auf-hold-ziel-81-euro-10-26152063,"LONDON (dpa-AFX Broker) - Die britische Investmentbank HSBC hat Heidelberg Materials nach der jüngsten Kursrally von ""Buy"" auf ""Hold"" abgestuft, das Kursziel aber von 76 auf 81 Euro angehoben. Das europäische Baugewerbe dürfte in den Jahren 2023 und 2024 einen tieferen Abschwung verzeichnen, schrieb Analyst Brijesh Siya in einer am Donnerstag vorliegenden Branchenstudie. Im ""schweren"" Baustoffbereich seien die Ergebnisse jedoch durch starken Rückenwind bei den Energiekosten gestützt. Für dieses Segment erhöhte der Experte seine Ergebnisprognosen für die Jahre 2023 bis 2025 um durchschnittlich 3 Prozent./edh/tih
Veröffentlichung der Original-Studie: 05.07.2023 / 11:11 / GMT
Erstmalige Weitergabe der Original-Studie: 06.07.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE: Sauberere Ziele - JPMorgan stuft Heidelberg Materials hoch,"01.06.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/06-01-analyse-sauberere-ziele-jpmorgan-stuft-heidelberg-materials-hoch-10-26139681,"NEW YORK (dpa-AFX) - Die europäische Baustoffbranche wird nach Einschätzung der US-Bank JPMorgan sauberer. Die Dekarbonisierungsziele der Unternehmen führten dazu, dass sich die Fundamentaldaten der Branche verbesserten, woraus anschließend eine stärkere Preismacht resultiere. Dies schrieb JPMorgan-Analystin Elodie Rall in einer am Donnerstag vorliegenden Branchenstudie, in der sie Heidelberg Materials von ""Neutral"" auf ""Overweight"" hochstufte - mit einem von 66 auf 80 Euro angehobenen Kursziel.
Rall zufolge hat Heidelberg Materials die ehrgeizigsten Dekarbonisierungsziele in der Branche. Dadurch werde der Konzern letztlich sauberere Zementprodukte herstellen können und dafür im Handel dann das fast Dreifache des aktuellen Zementpreises verlangen können.
Kurzfristig gebe es zwar Fragezeichen mit Blick auf eine nachhaltige Preisbildung und sinkende Volumina bis 2024, sodass Rall von einer ""Overweight""-Empfehlung für den Sektor insgesamt absieht. Für die Heidelberger sieht sie aber die größten Chancen.
Ihre für dieses Jahr angesetzten operativen Ergebnisschätzungen für den Dax-Konzern schraubte die Expertin nach oben. Mit ihrer Prognose für das Ergebnis vor Zinsen und Steuern (Ebit) liegt sie nun um zehn Prozent über dem oberen Ende der vom Unternehmen formulierten Zielspanne.
Auch unter Bewertungsaspekten sei die Aktie von Heidelberg Materials attraktiv. So werde das Papier derzeit mit einem 25-prozentigen Abschlag auf seinen langfristigen Durchschnitt gehandelt im Vergleich zum europäischen Zementsektor, dessen Abschlag 17 Prozent betrage.
Gemäß der Einstufung ""Overweight"" geht JPMorgan davon aus, dass sich die Aktie in den kommenden sechs bis zwölf Monaten besser als der jeweilige Sektor entwickeln wird./ajx/tih/jha/
Analysierendes Institut JPMorgan.
Veröffentlichung der Original-Studie: 31.05.2023 / 20:07 / BST
Erstmalige Weitergabe der Original-Studie: 01.06.2023 / 00:15 / BST
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Heidelberg Materials auf 'Overweight',"01.06.2023, 08:05",dpa-AFX,https://www.onvista.de/news/2023/06-01-analyse-flash-jpmorgan-hebt-heidelberg-materials-auf-overweight-10-26139537,"NEW YORK (dpa-AFX) - Die US-Bank JPMorgan hat Heidelberg Materials von ""Neutral"" auf ""Overweight"" hochgestuft und das Kursziel von 66 auf 80 Euro angehoben. Analystin Elodie Rall verwies in einer am Donnerstag vorliegenden Branchenstudie auf die mittelfristig verbesserten Aussichten der Baustoffhersteller. Heidelberg Materials habe die ehrgeizigsten Dekarbonisierungsziele und sollte am stärksten von verbesserten Geschäftsbedingungen profitieren. Ihre Schätzungen für 2023 lägen acht Prozent über dem Marktkonsens. Bei CRH sieht Rall zunehmenden Rückenwind durch die Besteuerung in den USA sowie das dort geplante Listing der Aktie und bleibt bei ihrem ""Overweight""-Votum, während sie Holcim weiter mit ""Neutral"" einstuft./gl/ag
Veröffentlichung der Original-Studie: 31.05.2023 / 20:07 / BST Erstmalige Weitergabe der Original-Studie: 01.06.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: JPMorgan lässt Heidelberg Materials auf 'Neutral' - Ziel 57 Euro,"10.05.2023, 17:19",dpa-AFX,https://www.onvista.de/news/2023/05-10-analyse-flash-jpmorgan-laesst-heidelberg-materials-auf-neutral-ziel-57-euro-10-26131764,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Heidelberg Materials nach Quartalszahlen auf ""Neutral"" mit einem Kursziel von 57 Euro belassen. Der Baustoffkonzern habe stark abgeschnitten, doch der überarbeitete Ausblick sei eine Enttäuschung, schrieb Analystin Elodie Rall am Mittwoch in einer ersten Reaktion./gl/la
Veröffentlichung der Original-Studie: 10.05.2023 / 09:47 / BST Erstmalige Weitergabe der Original-Studie: 10.05.2023 / 09:47 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: Barclays hebt Ziel für Heidelberg Materials an - 'Underweight',"14.04.2023, 12:34",dpa-AFX,https://www.onvista.de/news/2023/04-14-analyse-flash-barclays-hebt-ziel-fuer-heidelberg-materials-an-underweight-10-26121248,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Heidelberg Materials von 54 auf 60 Euro angehoben und die Einstufung auf ""Underweight"" belassen. Unter den Schwergewichten der europäischen Baustoffbranche wie CRH, Holcim und Heidelberg Materials sehe er weiterhin eine gewisse Widerstandskraft und auch eine Preisfestlegungsmacht, schrieb Analyst Pierre Rousseau in einem am Freitag vorliegenden Ausblick auf das erste Quartal. Er hob seine Schätzungen für das operative Jahresergebnis an. CRH biete mittelfristig eine bessere Sicht in die Zukunft, Heidelberg Materials dagegen dürfte im ersten Quartal eine starke Preis- und Kostenerholung erlebt haben./ck/nas
Veröffentlichung der Original-Studie: 13.04.2023 / 10:30 / GMT
Erstmalige Weitergabe der Original-Studie: 14.04.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Heidelberg Materials,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Heidelberg Materials auf 'Buy' - Ziel 72 Euro,"13.04.2023, 15:50",dpa-AFX,https://www.onvista.de/news/2023/04-13-analyse-flash-berenberg-belaesst-heidelberg-materials-auf-buy-ziel-72-euro-10-26120905,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Heidelberg Materials auf ""Buy"" mit einem Kursziel von 72 Euro belassen. Der Zementhersteller verfüge über reichlich Erfahrung in puncto CO2-Reduzierung in der Produktion, hieß es in einer am Donnerstag vorliegenden Studie der Privatbank zum Themenkomplex Umwelt, Soziales und Unternehmensführung (ESG). Die diesbezüglichen Ziele des Unternehmens seien angemessen, was auch für Investitionen und Desinvestitionen gelte sowie für die Kapitalausgaben./bek/la
Veröffentlichung der Original-Studie: 12.04.2023 / 15:21 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
