Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Henkel,Aktieneinstufung,ANALYSE-FLASH: Bernstein senkt Henkel auf 'Underperform' - Ziel 59 Euro,"14.08.2023, 19:34",dpa-AFX,https://www.onvista.de/news/2023/08-14-analyse-flash-bernstein-senkt-henkel-auf-underperform-ziel-59-euro-10-26165903,"NEW YORK (dpa-AFX) - Das US-Analysehaus Bernstein Research hat Henkel von ""Market-Perform"" auf ""Underperform"" abgestuft und das Kursziel von 61 auf 59 Euro gesenkt. In der europäischen Konsumgüterbranche sei es an der Zeit, um Qualitätsunternehmen den Vorzug zu geben vor solchen, die eher eine Story der Trendwende sind, schrieb Analyst Bruno Monteyne in einer am Montag vorliegenden Branchenstudie. Während er deshalb optimistischer wird für L'Oreal, Lindt und Beiersdorf, ist bei Danone und Henkel das Gegenteil der Fall./tih/jha/
Veröffentlichung der Original-Studie: 14.08.2023 / 14:43 / UTC Erstmalige Weitergabe der Original-Studie: 14.08.2023 / 15:40 / UTC
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Barclays hebt Ziel für Henkel auf 72 Euro - 'Equal Weight',"14.08.2023, 09:04",dpa-AFX,https://www.onvista.de/news/2023/08-14-analyse-flash-barclays-hebt-ziel-fuer-henkel-auf-72-euro-equal-weight-10-26165639,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Henkel von 71 auf 72 Euro angehoben, aber die Einstufung auf ""Equal Weight"" belassen. Die Profitabilität des Konsumgüterkonzerns in der ersten Jahreshälfte habe positiv überrascht, schrieb Analyst Iain Simpson in einer am Montag vorliegenden Studie. Er hob nun seine Profitabilitätsschätzungen (Ebit-Marge) für 2023 und die Folgejahre an./ck/edh
Veröffentlichung der Original-Studie: 13.08.2023 / 23:36 / GMT
Erstmalige Weitergabe der Original-Studie: 14.08.2023 / 04:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Henkel auf 'Hold' und Ziel auf 69 Euro,"11.08.2023, 08:49",dpa-AFX,https://www.onvista.de/news/2023/08-11-analyse-flash-berenberg-hebt-henkel-auf-hold-und-ziel-auf-69-euro-10-26165005,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Henkel von ""Sell"" auf ""Hold"" hochgestuft und das Kursziel von 58 auf 69 Euro angehoben. Die Düsseldorfer seien im zweiten Quartal bei sinkenden Absatzvolumina nur dank steigender Preise erwartungsgemäß gewachsen, schrieb Analyst Fulvio Cazzol in einer am Freitag vorliegenden Studie nach dem Zwischenbericht. Höhere Margen hätten ihnen sozusagen den Tag gerettet. Mit Blick auf die neuen Jahresziele habe der Marktkonsens beim Gewinn Spielraum im prozentual mittleren einstelligen Bereich./ag/mis
Veröffentlichung der Original-Studie: 10.08.2023 / 16:43 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research hebt Ziel für Henkel auf 60 Euro - 'Sell',"12.06.2023, 11:46",dpa-AFX,https://www.onvista.de/news/2023/06-12-analyse-flash-deutsche-bank-research-hebt-ziel-fuer-henkel-auf-60-euro-sell-10-26143094,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Henkel von 55 auf 60 Euro angehoben, aber die Einstufung auf ""Sell"" belassen. Mit seiner vorsichtigeren Einschätzung für den Konsumgüterhersteller sei er etwas zu früh gewesen, schrieb Analyst Tom Sykes in einer am Montag vorliegenden Studie. Die Erholung der Bruttogewinne sei im Klebstoffgeschäft besser gewesen als von ihm erwartet, zudem habe sich der Marktanteil in den USA stärker stabilisiert. Seine Prognosen erhöhte der Experte an das obere Ende der Unternehmensprognose für 2023. Weiterhin prognostiziert er aber sinkende Volumina und Preise im Klebstoffgeschäft im Geschäftsjahr 2024./ajx/la
Veröffentlichung der Original-Studie: 12.06.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 12.06.2023 / 06:59 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Ziel für Henkel auf 58 Euro - 'Sell',"05.05.2023, 09:04",dpa-AFX,https://www.onvista.de/news/2023/05-05-analyse-flash-berenberg-hebt-ziel-fuer-henkel-auf-58-euro-sell-10-26129638,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Henkel von 52 auf 58 Euro angehoben, aber die Einstufung auf ""Sell"" belassen. Aus einem unerwartet starken organischen Wachstum im ersten Quartal und geringer erwarteten Rohstoffkosten resultiere seine höhere Prognose für den Gewinn je Aktie des Konsumgüterherstellers im Jahr 2023, schrieb Analyst Fulvio Cazzol in einer am Freitag vorliegenden Studie. Die Absatzmengen dürften aber schwach bleiben./ajx/edh
Veröffentlichung der Original-Studie: 04.05.2023 / 17:21 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Barclays belässt Henkel auf 'Equal Weight' - Ziel 70 Euro,"21.04.2023, 11:05",dpa-AFX,https://www.onvista.de/news/2023/04-21-analyse-flash-barclays-belaesst-henkel-auf-equal-weight-ziel-70-euro-10-26124062,"LONDON (dpa-AFX) - Die britische Investmentbank Barclays hat die Einstufung für Henkel nach dem Verkauf des Russland-Geschäfts auf ""Equal Weight"" mit einem Kursziel von 70 Euro belassen. Der Ausstieg des Kosumgüterkonzerns aus dem russischen Markt schaffe eine willkommene Klarheit und beseitige eine Quelle der Unsicherheit, schrieb Analyst Iain Simpson in einer am Freitag vorliegenden Studie. Damit könnte sich die Unternehmenszielspanne für das Ergebnis je Aktie 2023 verengen./edh/ck
Veröffentlichung der Original-Studie: 20.04.2023 / 23:19 / GMT
Erstmalige Weitergabe der Original-Studie: 21.04.2023 / 04:25 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Ziel für Henkel auf 63 Euro - 'Sell',"29.03.2023, 12:49",dpa-AFX,https://www.onvista.de/news/2023/03-29-analyse-flash-goldman-hebt-ziel-fuer-henkel-auf-63-euro-sell-10-26115588,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Henkel nach Zahlen von 62 auf 63 Euro angehoben, aber die Einstufung auf ""Sell"" belassen. Die Resultate für das Geschäftsjahr hätten den Erwartungen weitgehend entsprochen, schrieb Analyst Olivier Nicolai in einer am Mittwoch vorliegenden Studie. Der Gewinn je Aktie sei allerdings etwas niedriger als erwartet ausgefallen. Insgesamt hätten die Angaben kaum Einfluss auf seine Schätzungen, diese änderte er lediglich moderat. Das leicht höhere Kursziel begründete Nicolai mit einem neuen Bewertungszeitraum./mf/tav
Veröffentlichung der Original-Studie: 28.03.2023 / 21:15 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Henkel auf 'Neutral' - Ziel 70 Euro,"19.01.2023, 12:35",dpa-AFX,https://www.onvista.de/news/2023/01-19-analyse-flash-jpmorgan-belaesst-henkel-auf-neutral-ziel-70-euro-10-26088130,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Henkel nach Zahlen des Branchenkollegen H.B. Fuller auf ""Neutral"" mit einem Kursziel von 70 Euro belassen. Der US-Klebstoffehersteller habe über einen schwachen Ausklang des vergangenen Jahres berichtet und rechne für 2023 mit weiter schwierigen Konjunkturbedingungen, schrieb Analystin Celine Pannuti in einer am Donnerstag vorliegenden Studie. Der Ausblick für das bereinigte Ergebnis (EPS) liege unter der Konsensschätzung. Dies alles lasse negative Rückschlüsse auf Henkel zu./gl/la
Veröffentlichung der Original-Studie: 19.01.2023 / 08:12 / GMT Erstmalige Weitergabe der Original-Studie: 19.01.2023 / 08:14 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research senkt Henkel auf 'Sell' - Ziel 58 Euro,"12.01.2023, 10:50",dpa-AFX,https://www.onvista.de/news/2023/01-12-analyse-flash-deutsche-bank-research-senkt-henkel-auf-sell-ziel-58-euro-10-26085300,"FRANKFURT (dpa-AFX) - Deutsche Bank Research hat Henkel von ""Hold"" auf ""Sell"" abgestuft und das Kursziel auf 58 Euro belassen. Das vierte Quartal des Konsumgüterkonzerns dürfte von Herausforderungen auf der Angebotsseite (Auswirkungen von Chinas Covid-Restriktionen) und auf der Nachfrageseite (Abbau von Lagerbeständen in der Chemielieferkette) beeinträchtigt worden sein, schrieb Analyst Tom Sykes in einer am Donnerstag vorliegenden Studie. Er geht davon aus, dass die schwächere Nachfrage und ungünstige Auswirkungen auf den Produktmix die Rentabilität im Jahr 2023 belasten werden./edh/ck
Veröffentlichung der Original-Studie: 12.01.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 12.01.2023 / 06:45 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Henkel,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Henkel auf 'Hold' - Ziel 70 Euro,"09.01.2023, 12:03",dpa-AFX,https://www.onvista.de/news/2023/01-09-analyse-flash-jefferies-belaesst-henkel-auf-hold-ziel-70-euro-10-26083971,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Henkel in einem ersten Ausblick auf die am 7. März erwarteten Jahreszahlen auf ""Hold"" mit einem Kursziel von 70 Euro belassen. Analyst Martin Deboo senkte in einer am Montag vorliegenden Studie seine diesjährigen Margenschätzungen für den Konsumgüter- und Klebstoffhersteller. Er verwies zum einen auf China und das Klebstoffgeschäft von Henkel, da die zeitweise Covid-bedingte Schließung des Foxconn-Werks in Zhengzou die iPhone-Produktion erheblich beeinträchtigt habe. Zum anderen merkte er an, dass Verbraucher im Konsumbereich zunehmend auf günstigere Produkte zurückgriffen./ck/tih
Veröffentlichung der Original-Studie: 08.01.2023 / 17:43 / ET
Erstmalige Weitergabe der Original-Studie: 08.01.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
