Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Infineon,Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt Infineon auf 'Outperform' - Ziel 50 Euro,"05.09.2023, 16:20",dpa-AFX,https://www.onvista.de/news/2023/09-05-analyse-flash-bernstein-belaesst-infineon-auf-outperform-ziel-50-euro-10-26173016,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Einstufung für Infineon auf ""Outperform"" mit einem Kursziel von 50 Euro belassen. Analyst Stacy Rasgon verweist in einer am Dienstag vorliegenden Branchenstudie auf monatliche Absatzdaten des Halbleiter-Branchendienstes WSTS. Der Branchenabsatz sei im Juli stärker gefallen als saisonal typisch, erklärte der Analyst. Negativ hervorgestochen hätten dabei Produkte für Konsumentenelektronik, für drahtgebundene Kommunikation sowie für die Autobranche. Besser als saisonal üblich sei es indes gelaufen im Bereich Computer & Peripheriegeräte./mis/la
Veröffentlichung der Original-Studie: 05.09.2023 / 02:32 / UTC
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 02:32 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,"ANALYSE-FLASH: Warburg Research senkt Ziel für Infineon auf 46,50 Euro - 'Buy'","07.08.2023, 15:24",dpa-AFX,https://www.onvista.de/news/2023/08-07-analyse-flash-warburg-research-senkt-ziel-fuer-infineon-auf-46-50-euro-buy-10-26163410,"HAMBURG (dpa-AFX) - Das Analysehaus Warburg Research hat das Kursziel für Infineon nach Zahlen für das dritte Geschäftsquartal von 48,00 auf 46,50 Euro gesenkt, die Einstufung aber auf ""Buy"" belassen. Die Gewinnmargen im Autogeschäft seien schwach gewesen, schrieb Analyst Malte Schaumann in einer am Montag vorliegenden Studie. Er senkte seine Gewinnerwartungen. Der angekündigte Ausbau der Kapazitäten in Malaysia sei indes ein mutiger Schritt, der die Stellung des Chipkonzerns langfristig stärke./mis/ajx
Veröffentlichung der Original-Studie: 07.08.2023 / 08:15 / MESZ
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Infineon auf 'Hold' und Ziel auf 40 Euro,"12.07.2023, 07:50",dpa-AFX,https://www.onvista.de/news/2023/07-12-analyse-flash-jefferies-hebt-infineon-auf-hold-und-ziel-auf-40-euro-10-26153980,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Infineon von ""Underperform"" auf ""Hold"" hochgestuft und das Kursziel von 28 auf 40 Euro angehoben. ""Der nächste Aufschwung beginnt"", schrieb Analyst Janardan Menon in einer am Mittwoch vorliegenden Studie zur europäischen Halbleiterbranche. In den kommenden beiden Jahren rechnet er mit starkem Ergebniswachstum und einer massiven Neubewertung der Aktien. Bei Infineon, STMicro und Melexis liegt er mit seinen Schätzungen zwar wegen Lagerbestandskorrekturen unter dem Konsens, die Branchenstärke werde sie aber nicht aussparen./ag/zb
Veröffentlichung der Original-Studie: 11.07.2023 / 15:26 / ET
Erstmalige Weitergabe der Original-Studie: 11.07.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,"ANALYSE-FLASH: Credit Suisse senkt Infineon-Ziel auf 50,10 Euro - 'Outperform'","16.05.2023, 07:37",dpa-AFX,https://www.onvista.de/news/2023/05-16-analyse-flash-credit-suisse-senkt-infineon-ziel-auf-50-10-euro-outperform-10-26133965,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Bank Credit Suisse hat das Kursziel für Infineon nach Zahlen zum ersten Quartal von 53,10 auf 50,10 Euro gesenkt, aber die Einstufung auf ""Outperform"" belassen. Analyst Adithya Metuku unterstellte in einer am Dienstag vorliegenden Studie eine geringere Profitabilität des Halbleiterherstellers. Daraus resultierten niedrigere Ergebnisschätzungen für die Jahre 2023 und 2024. Große Themen wie die Dekarbonisierung sowie die Elektrifizierung und Automation spielten dem Unternehmen aber unverändert in die Karten./bek/ajx
Veröffentlichung der Original-Studie: 16.05.2023 / 04:21 / UTC
Erstmalige Weitergabe der Original-Studie: 16.05.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Infineon auf 'Buy' - Ziel 44 Euro,"05.05.2023, 11:20",dpa-AFX,https://www.onvista.de/news/2023/05-05-analyse-flash-berenberg-belaesst-infineon-auf-buy-ziel-44-euro-10-26129722,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Infineon auf ""Buy"" mit einem Kursziel von 44 Euro belassen. Wie erwartet habe der Chiphersteller seine Prognose mit den jüngsten Quartalszahlen angehoben, schrieb Analystin Tammy Qiu in einer am Freitag vorliegenden Studie. Die starken Margen und die hohe Preisdynamik zeigten, dass Infineon seine gute Position im Halbleitermarkt behaupten sollte./ajx/la
Veröffentlichung der Original-Studie: 04.05.2023 / 17:40 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: UBS belässt Infineon auf 'Buy' - Ziel 49 Euro,"04.05.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/05-04-analyse-flash-ubs-belaesst-infineon-auf-buy-ziel-49-euro-10-26129202,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat Infineon nach Quartalszahlen auf ""Buy"" mit einem Kursziel von 49 Euro belassen. Der Chiphersteller habe erwartungsgemäß stark abgeschnitten, schrieb Analyst Francois-Xavier Bouvignies am Donnerstag in einer ersten Reaktion. Angesichts des neuen Ausblicks dürfte die Jahreskonsensschätzung für das operative Ergebnis (Ebit) im unteren einstelligen Prozentbereich steigen./gl/mis
Veröffentlichung der Original-Studie: 04.05.2023 / 06:22 / GMT Erstmalige Weitergabe der Original-Studie: 04.05.2023 / 06:22 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research hebt Infineon-Ziel auf 47 Euro - 'Buy',"14.04.2023, 11:30",dpa-AFX,https://www.onvista.de/news/2023/04-14-analyse-flash-deutsche-bank-research-hebt-infineon-ziel-auf-47-euro-buy-10-26121213,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für Infineon von 44 auf 47 Euro angehoben und die Einstufung auf ""Buy"" belassen. Das Preisumfeld für ""kritische"" Halbleiter für den Automobilbau bleibe vorteilhaft, schrieb Analyst Johannes Schaller in einer am Freitag vorliegenden Branchenstudie. Der Start von Infineon in das neue Jahr bestärke ihn in seiner Haltung, dass auch 2023 ein ""gesundes Jahr"" für die Hersteller von Halbleitern für die Automobilindustrie werden dürfte./bek/nas
Veröffentlichung der Original-Studie: 14.04.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 14.04.2023 / 06:40 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: UBS hebt Ziel für Infineon auf 49 Euro - 'Buy',"04.04.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/04-04-analyse-flash-ubs-hebt-ziel-fuer-infineon-auf-49-euro-buy-10-26117821,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat das Kursziel für Infineon nach der jüngsten Erhöhung der Unternehmensziele von 47 auf 49 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der Schritt spiegele ein günstiges Umfeld für Halbleiter für die Automobilbranche und die Industrie wider, schrieb Analyst Francois-Xavier Bouvignies in einer am Dienstag vorliegenden Studie. Bei Komponente für den Automobilbau werde sich das Unternehmen 2023 voraussichtlich besser entwickeln als der Gesamtmarkt. Hinzu komme, dass Infineon mit Blick auf die Profitabilität gut abschneide./bek/mis
Veröffentlichung der Original-Studie: 03.04.2023 / 13:18 / GMT
Erstmalige Weitergabe der Original-Studie: 03.04.2023 / 13:18 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Infineon auf 28 Euro - 'Underperform',"30.03.2023, 13:37",dpa-AFX,https://www.onvista.de/news/2023/03-30-analyse-flash-jefferies-hebt-ziel-fuer-infineon-auf-28-euro-underperform-10-26116180,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Infineon von 25 auf 28 Euro angehoben, aber die Einstufung auf ""Underperform"" belassen. Analyst Janardan Menon reagierte mit seiner am Donnerstag vorliegenden Studie auf die erhöhten Ziele des Chipkonzerns. Er rechnet irgendwann mit einem Dämpfer aus der Autobranche. Bis dahin dürften die Bewertungen der Chip-Zulieferer eher mau bleiben, während sie in der Branche eigentlich anzögen./ag/mis
Veröffentlichung der Original-Studie: 29.03.2023 / 16:37 / ET
Erstmalige Weitergabe der Original-Studie: 29.03.2023 / 20:00 / ET
"
Infineon,Aktieneinstufung,ANALYSE-FLASH: Oddo BHF hebt Ziel für Infineon auf 50 Euro - 'Outperform',"29.03.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/03-29-analyse-flash-oddo-bhf-hebt-ziel-fuer-infineon-auf-50-euro-outperform-10-26115484,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Oddo BHF hat das Kursziel für Infineon von 46 auf 50 Euro angehoben und die Einstufung auf ""Outperform"" belassen. Die Erhöhung der Jahresziele sei wahrscheinlich gewesen und schnell gekommen, schrieb Analyst Stephane Houri am Mittwoch in einer ersten Reaktion. Nachfrage aus der Autobranche und der Industrie seien stark./ag/mis
Veröffentlichung der Original-Studie: 29.03.2023 / 07:36 / MEZ
Erstmalige Weitergabe der Original-Studie: 29.03.2023 / 08:10 / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
