Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: UBS hebt MTU auf 'Buy' - Ziel gesenkt auf 205 Euro,"28.09.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/09-28-analyse-flash-ubs-hebt-mtu-auf-buy-ziel-gesenkt-auf-205-euro-10-26181068,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat MTU von ""Neutral"" auf ""Buy"" hochgestuft, das Kursziel aber von 230 auf 205 Euro gesenkt. Der Markt preise immer noch ein mittlerweile unrealistisches Abwärtsszenario im Zusammenhang mit den problembehafteten GTF-Triebwerken von Pratt & Whitney ein, begründete Analystin Kseniia Maslova ihre Kaufempfehlung in einer am Donnerstag vorliegenden Studie./edh/la
Veröffentlichung der Original-Studie: 28.09.2023 / 04:29 / GMT
Erstmalige Weitergabe der Original-Studie: 28.09.2023 / 04:29 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für MTU auf 235 Euro - 'Overweight',"14.09.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/09-14-analyse-flash-jpmorgan-senkt-ziel-fuer-mtu-auf-235-euro-overweight-10-26176024,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für MTU von 265 auf 235 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Die Kosten für eine ungeplante Überholung von GTF-Triebwerken fielen deutlich geringer aus als befürchtet, schrieb Analyst David Perry in einer am Donnerstag vorliegenden Studie. Er senkte zwar seine Schätzungen für den Barmittelzufluss (FCF) und setzt nun wegen des gestiegenen Risikoprofils niedrigere Bewertungskennziffern an. Zum neuen Ziel habe die Aktie nach ihrem deutlichen Rückgang aber immer noch 35 Prozent Luft nach oben./gl/zb
Veröffentlichung der Original-Studie: 14.09.2023 / 02:08 / BST Erstmalige Weitergabe der Original-Studie: 14.09.2023 / 02:30 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: UBS belässt MTU auf 'Neutral' - Ziel 230 Euro,"12.09.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/09-12-analyse-flash-ubs-belaesst-mtu-auf-neutral-ziel-230-euro-10-26175185,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat MTU auf ""Neutral"" mit einem Kursziel von 230 Euro belassen. Die Kursreaktion der Aktie auf die Probleme mit den von MTU mitentwickelten GFT-Triebwerken erscheine übertrieben, schrieb Analystin Kseniia Maslova in einer am Dienstag vorliegenden Studie. Mangels positiver Kurstreiber bleibt sie aber zurückhaltend und will die für Mittwochnachmittag angekündigte Konferenz zu diesem Thema abwarten./gl/ag
Veröffentlichung der Original-Studie: 11.09.2023 / 21:28 / GMT Erstmalige Weitergabe der Original-Studie: 11.09.2023 / 21:28 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt MTU auf 'Overweight' - Ziel 265 Euro,"12.09.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/09-12-analyse-flash-jpmorgan-belaesst-mtu-auf-overweight-ziel-265-euro-10-26175186,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat MTU auf ""Overweight"" mit einem Kursziel von 265 Euro belassen. Nach der Mitteilung des US-Luft- und Raumfahrtkonzerns Raytheon zu überraschend hohen Gesamtkosten für fehlerhafte GTF-Triebwerke seien die Papiere des daran ebenfalls beteiligten Triebwerksbauers MTU um zwölf Prozent gefallen, schrieb Analyst David Perry in einer am Dienstag vorliegenden Studie. An seiner Bewertung von MTU werde er vor der dazu angekündigten Konferenz am Mittwochnachmittag aber noch nichts ändern./gl
Veröffentlichung der Original-Studie: 11.09.2023 / 23:40 / BST Erstmalige Weitergabe der Original-Studie: 11.09.2023 / 23:40 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: UBS senkt MTU auf 'Neutral' und Ziel auf 230 Euro,"10.08.2023, 11:50",dpa-AFX,https://www.onvista.de/news/2023/08-10-analyse-flash-ubs-senkt-mtu-auf-neutral-und-ziel-auf-230-euro-10-26164646,"ZÜRICH (dpa-AFX) - Die Schweizer Großbank UBS hat MTU von ""Buy"" auf ""Neutral"" abgestuft und das Kursziel von 270 auf 230 Euro gesenkt. Obwohl die Aktie des Triebwerksherstellers den jüngsten Gegenwind durch Metallqualitätsprobleme bereits eingepreist habe, sieht Analystin Kseniia Maslova immer noch Risiken. Das neue Anlagevotum reflektiere vor allem ihre reduzierten langfristigen Wachstums- und Margenprognosen, schrieb sie in einer am Donnerstag vorliegenden Studie./edh/ajx/ck
Veröffentlichung der Original-Studie: 10.08.2023 / 00:18 / GMT
Erstmalige Weitergabe der Original-Studie: 10.08.2023 / 00:18 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank Research senkt Ziel für MTU auf 229 Euro - 'Buy',"27.07.2023, 11:53",dpa-AFX,https://www.onvista.de/news/2023/07-27-analyse-flash-deutsche-bank-research-senkt-ziel-fuer-mtu-auf-229-euro-buy-10-26159448,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat das Kursziel für MTU von 260 auf 229 Euro gesenkt und die Einstufung auf ""Buy"" belassen. Der Triebwerkhersteller habe die Erwartungen erfüllt, schrieb Analyst Christophe Menard in einer am Donnerstag vorliegenden Studie nach dem Quartalsbericht. Klar im Fokus gestanden habe aber die finanzielle Belastung durch Rückrufe. MTU sei hier etwas ausweichend gewesen. Menard kappte seine Free-Cashflow-Prognosen bis 2025 um bis zu 34 Prozent./ag/jha/
Veröffentlichung der Original-Studie: 27.07.2023 / Uhrzeit in Studie nicht angegeben / CET
Erstmalige Weitergabe der Original-Studie: 27.07.2023 / 07:02 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: Hauck Aufhäuser IB hebt MTU auf 'Hold' - Ziel hoch auf 219 Euro,"21.06.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/06-21-analyse-flash-hauck-aufhaeuser-ib-hebt-mtu-auf-hold-ziel-hoch-auf-219-euro-10-26146621,"HAMBURG (dpa-AFX Broker) - Hauck Aufhäuser Investment Banking hat MTU von ""Sell"" auf ""Hold"" hochgestuft und das Kursziel von 197 auf 219 Euro angehoben. Die Paris Airshow habe positive Neuigkeiten für die Branche und MTU gebracht, schrieb Analyst Jorge Gonzalez Sadornil in einer am Mittwoch vorliegenden Studie. Noch wichtiger seien die erhöhten Jahresziele des Triebwerkherstellers./ag/ajx
Veröffentlichung der Original-Studie: 21.06.2023 / 08:25 / MESZ
Erstmalige Weitergabe der Original-Studie: 21.06.2023 / 08:25 / MESZ
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt MTU auf 'Buy' - Ziel 280 Euro,"19.06.2023, 17:19",dpa-AFX,https://www.onvista.de/news/2023/06-19-analyse-flash-jefferies-belaesst-mtu-auf-buy-ziel-280-euro-10-26145971,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für MTU nach dem angehobenen Jahresgewinnziel auf ""Buy"" mit einem Kursziel von 280 Euro belassen. Analystin Chloe Lemarie zufolge kam die Anhebung zwar nicht unerwartet, doch habe sie dies erst zur Vorlage der Halbjahreszahlen erwartet. Das neue Gewinnziel untermauere ihre Einschätzung, dass die jüngsten Probleme mit dem Getriebefan-Triebwerk, die den Aktienkurs in den vergangenen Wochen belastet hätten, inzwischen eingepreist seien, schrieb sie in der am Montag vorliegenden Studie./ck/la
Veröffentlichung der Original-Studie: 19.06.2023 / 09:48 / ET
Erstmalige Weitergabe der Original-Studie: 19.06.2023 / 09:48 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt MTU auf 'Neutral' - Ziel 239 Euro,"18.04.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/04-18-analyse-flash-goldman-belaesst-mtu-auf-neutral-ziel-239-euro-10-26122446,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für MTU nach vorläufigen Quartalszahlen auf ""Neutral"" mit einem Kursziel von 239 Euro belassen. Der Triebwerkshersteller habe die Erwartungen an Umsatz und operatives Ergebnis (Ebit) solide übertroffen, schrieb Analystin Daniela Costa in einer am Dienstag vorliegenden Studie. Das Zivil-Ersatzteilgeschäft dürfte angetrieben haben und dies sei auch ein positives Zeichen für Safran . Die Frage sei aber, warum MTU die Prognose nicht erhöht habe./ajx/zb
Veröffentlichung der Original-Studie: 17.04.2023 / 19:38 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
MTU Aero Engines,Aktieneinstufung,ANALYSE-FLASH: Warburg Research belässt MTU auf 'Hold' - Ziel 215 Euro,"18.04.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/04-18-analyse-flash-warburg-research-belaesst-mtu-auf-hold-ziel-215-euro-10-26122423,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat die Einstufung für MTU nach Eckdaten für das erste Quartal auf ""Hold"" mit einem Kursziel von 215 Euro belassen. Der Triebwerkshersteller sei sehr gut ins Jahr gestartet, schrieb Analyst Christian Cohrs in einer am Dienstag vorliegenden ersten Reaktion. Die Eckdaten lägen über den Erwartungen. Der Experte will seine Schätzungen und sein Kursziel nach der Vorlage des kompletten Quartalsberichts am 26. April überarbeiten./mis/zb
Veröffentlichung der Original-Studie: 18.04.2023 / 08:15 / MESZ
Erstmalige Weitergabe der Original-Studie: 18.04.2023 / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
