Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Goldman senkt Ziel für Mercedes-Benz - 'Conviction Buy List',"18.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-18-analyse-flash-goldman-senkt-ziel-fuer-mercedes-benz-conviction-buy-list-10-26177244,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Mercedes-Benz von 99 auf 97 Euro gesenkt, die Aktien aber auf der ""Conviction Buy List"" belassen. Es sei die generelle Auffassung von Anlegern, dass die europäische Automobilindustrie vor einer Phase gedämpfter Absatz- und Preisentwicklungen stehe, schrieb Analyst George Galliers in einer am Montag vorliegenden Branchenstudie. Er gehe aber konstruktiver an den Sektor heran. Die stärkere Geschäftsentwicklung bei den Autobauern könnte sich fortsetzen und sollte belohnt werden. Mercedes-Benz ist hier sein Branchenfavorit, noch vor Porsche und Stellantis./tih/ck
Veröffentlichung der Original-Studie: 18.09.2023 / 04:59 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Berenberg senkt Ziel für Mercedes-Benz auf 83 Euro - 'Buy',"08.09.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/09-08-analyse-flash-berenberg-senkt-ziel-fuer-mercedes-benz-auf-83-euro-buy-10-26174093,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Mercedes-Benz nach einem Analystenwechsel von 88 auf 83 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Im Autosektor ließen die Lieferketten-Risiken nach, dafür rückten Nachfrage-Sorgen in den Mittelpunkt, schrieb der nun für Mercedes zuständige Analyst Romain Gourvil in einer am Freitag vorliegenden Studie. Seine Annahmen für die Hersteller revidierte er bis 2025 nach unten mit Verweis auf Konjunktursorgen und einer vom Wettbewerb bedingten Preis-Mix-Erosion. Mercedes-Benz zieht er aus Bewertungsgründen BMW vor./ajx/zb
Veröffentlichung der Original-Studie: 07.09.2023 / 16:11 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE: UBS stuft Volkswagen und Renault ab - Bedrohung durch China-Konkurrenz,"01.09.2023, 11:53",dpa-AFX,https://www.onvista.de/news/2023/09-01-analyse-ubs-stuft-volkswagen-und-renault-ab-bedrohung-durch-china-konkurrenz-10-26171776,"ZÜRICH (dpa-AFX) - Die Schweizer Großbank UBS fürchtet wachsende Konkurrenz für europäische Autobauer durch chinesische Produzenten. Vor allem Massenhersteller dürfte das laut den Experten betreffen, weshalb sie die Aktien von Volkswagen und Renault jeweils von ""Neutral"" auf ""Sell"" abstuften. Sie sehen eine Handvoll chinesischer Elektrofahrzeughersteller auf dem Weg ""zu neuen globalen Champions"".
Volkswagen werde auf globaler Ebene am stärksten bedrängt von der zunehmenden Konkurrenz aus Fernost, befürchtet Analyst Patrick Hummel. Der Gegenwind, dem der Konzern auch in Europa durch chinesische Elektroautos ausgesetzt sei, werde am Markt unterschätzt. Die Aktie wirke zwar derzeit günstig, doch in den kommenden ein bis zwei Jahren dürfte sich dies zum Negativen wenden. Das Kursziel kappte er von 135 auf 100 Euro.
Auch Renault ist für die UBS ein Kandidat, dem die Konkurrenz aus China zusetzen dürfte. Finanziell werde es für den französischen Autobauer nicht mehr viel besser laufen. Vielmehr stehe ihm ""eine turbulente Landung"" bevor, schrieb Analyst David Lesne zu den Franzosen. Auch vom geplanten Börsengang der E-Auto-Sparte Ampere verspricht sich der Experte nicht mehr viel zusätzlichen Wert für die Anleger. Er senkte das Renault-Kursziel von 42 auf 31 Euro.
In einer parallel zu den beiden Abstufungen veröffentlichten Branchenstudie beschäftigten sich die UBS-Analysten mit der Einführung des Modells Seal durch den chinesischen Autobauer BYD . ""Unsere Schlussfolgerung ist, dass BYD ungeachtet wachsender Handelshemmnisse einen nachhaltigen Kostenvorteil von etwa 25 Prozent gegenüber seinen Konkurrenten hat"", schrieben sie.
Auch vor diesem Hintergrund könnten Autobauer aus China ihren globalen Marktanteil bis 2030 fast verdoppeln von 17 auf 33 Prozent. Umgekehrt bedeute dies, dass etablierte Hersteller bis 2023 mehr als 20 Prozentpunkte ihres Marktanteils einbüßen könnten. Dieser drohe von 81 auf 58 Prozent zu sinken. Dies werde auch Folgen haben für viele Autozulieferer, die in China und bei Tesla kein so gutes Standbein hätten.
Mit Blick auf die globalen Massenmarkt-Hersteller raten die Experten dazu, solche mit Präsenz in China und Europa besonders zu meiden. Negativ sehen sie neben VW und Renault auch den schwedischen Hersteller Volvo Cars sowie die Japaner von Honda .
Generell aber dürften koreanische und japanische Hersteller sowie Premium-Fahrzeugbauer zumindest außerhalb Chinas weniger negativ betroffen sein. Dem US-Elektroautospezialisten Tesla trauen die Experten zu, bis 2030 einer der größten Automobilhersteller der Welt zu werden.
Mit der Einstufung ""Sell"" geht die UBS davon aus, dass die Gesamtrendite der Aktie (Kursgewinn plus Dividende) auf Sicht von zwölf Monaten um mindestens sechs Prozent unter der von der UBS erwarteten Marktrendite liegt./tih/ajx/mis
Analysierendes Institut UBS.
Veröffentlichung der Original-Studie: 31.08.2023 / 23:28 / GMT Erstmalige Weitergabe der Original-Studie: 31.08.2023 / 23:28 / GMT
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Mercedes-Benz-Ziel auf 98 Euro - 'Conv. Buy List',"17.05.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/05-17-analyse-flash-goldman-hebt-mercedes-benz-ziel-auf-98-euro-conv-buy-list-10-26134497,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Mercedes-Benz nach einem Kapitalmarkttag zum Transporter-Geschäft von 96 auf 98 Euro angehoben und die Aktien auf der ""Conviction Buy List"" belassen. Der Konzern habe die Stärke der Marke Mercedes betont, schrieb Analyst George Galliers in einer am Mittwoch vorliegenden Studie. Das Segment Transporter bleibe eine Kernmarke im Portfolio. Mit Blick voraus zeichneten sich hier höhere Margen ab./bek/tih
Veröffentlichung der Original-Studie: 17.05.2023 / 05:02 / BST
Erstmalige Weitergabe der Original-Studie: 17.05.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Warburg Research belässt Mercedes-Benz auf 'Buy' - Ziel 102 Euro,"21.04.2023, 10:05",dpa-AFX,https://www.onvista.de/news/2023/04-21-analyse-flash-warburg-research-belaesst-mercedes-benz-auf-buy-ziel-102-euro-10-26124025,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat die Einstufung für Mercedes-Benz auf ""Buy"" mit einem Kursziel von 102 Euro belassen. Der Autobauer habe mit einem starken ersten Quartal die Markterwartungen übertroffen, schrieb Analyst Marc-Rene Tonn in einer am Freitag vorliegenden Studie. Die Resultate reflektierten ein anhaltend stützendes Preisumfeld für Fahrzeuge im Premium-Segment./ajx/mis
Veröffentlichung der Original-Studie: 21.04.2023 / 08:15 / MESZ
Erstmalige Weitergabe der Original-Studie: 21.04.2023 / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Mercedes-Benz auf 'Overweight' - Ziel 90 Euro,"21.04.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/04-21-analyse-flash-jpmorgan-belaesst-mercedes-benz-auf-overweight-ziel-90-euro-10-26123983,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Mercedes-Benz nach vorläufigen Quartalszahlen auf ""Overweight"" mit einem Kursziel von 90 Euro belassen. Die Preisgestaltung und damit auch die Profitabilität des Autobauers seien nach wie vor sehr stark, schrieb Analyst Jose Asumendi in einer am Freitag vorliegenden Ersteinschätzung. Insgesamt ließen die Eckdaten der Stuttgarter positive Rückschlüsse auf die gesamte Branche zu./edh/bek
Veröffentlichung der Original-Studie: 20.04.2023 / 21:09 / BST
Erstmalige Weitergabe der Original-Studie: 20.04.2023 / 21:09 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Jefferies hebt Ziel für Mercedes-Benz auf 75 Euro - 'Hold',"14.04.2023, 11:31",dpa-AFX,https://www.onvista.de/news/2023/04-14-analyse-flash-jefferies-hebt-ziel-fuer-mercedes-benz-auf-75-euro-hold-10-26121212,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Mercedes-Benz von 70 auf 75 Euro angehoben und die Einstufung auf ""Hold"" belassen. Die Zahlen der Autobauer für das erste Quartal dürften eine Mischung aus Widerstandsfähigkeit und Stärke aufweisen, schrieb Analyst Philippe Houchois in einer am Freitag vorliegenden Branchenstudie. Die zyklischen und strukturellen Indikatoren seien verwirrend bis negativ, aber die Hersteller seien darauf eingestellt. Insofern sollte die Margenerosion weniger gravierend als bislang befürchtet ausfallen. Das neue Kursziel für Mercedes-Benz begründete er mit besseren Ertragserwartungen und einem unterdurchschnittlichen Risikoprofil./edh/jha/
Veröffentlichung der Original-Studie: 13.04.2023 / 19:12 / ET
Erstmalige Weitergabe der Original-Studie: 13.04.2023 / 20:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE: Stifel macht Einschnitt bei VW - Ziel mit neuem Ansatz fast halbiert,"24.03.2023, 12:15",dpa-AFX,https://www.onvista.de/news/2023/03-24-analyse-stifel-macht-einschnitt-bei-vw-ziel-mit-neuem-ansatz-fast-halbiert-10-26113751,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Stifel hat am Freitag bei der Bewertung der Volkswagen-Aktien (VW) einen drastischen Schnitt vollzogen. Nach einer Änderung des Bewertungsverfahrens wurde das Kursziel von 295 auf 149 (aktueller Kurs 116,60) Euro fast halbiert. Im Zuge dessen wurde auch die bisherige Kaufempfehlung gestrichen, das neue Votum lautet ""Hold"".
Analyst Daniel Schwarz betonte in seiner Studie, zum kleineren Teil sei der drastische Schnitt der von VW gezahlten Sonderdividende von 19 Euro je Aktie geschuldet. Nachdem der Börsengang der VW-Sportwagentochter Porsche AG vollzogen wurde, sei es aber auch eine neue Erkenntnis, dass der VW-Konzern von solch wertvollen Beteiligungen nicht angemessen profitiere.
Er erwähnte dabei neben der Porsche AG auch die zu VW gehörenden Marken Lamborghini und Bentley. Eine Chance für eine neue und höhere Bewertung der VW-Aktien könnten zwar weitere Verkäufe von Aktien der Porsche AG mit sich bringen - das hätten die Wolfsburger aber ausgeschlossen.
Den bisherigen Bewertungsansatz anhand der Summe der Konzernteile hält er vor diesem Hintergrund für nicht mehr angebracht. Er macht das Wertpotenzial der Aktie nun am Kurs-Gewinn-Verhältnis fest.
Schwarz hält europäische Autobauer generell für attraktiv. Im deutschen Branchenumfeld rät er Anlegern aber eher dazu, auf Hersteller mit klarer Positionierung im Premium-Bereich zu setzen. Seine einzige Kaufempfehlung unter den deutschen Autobauern ist nun Mercedes-Benz. Auch die Premium-Wettbewerber BMW und Porsche AG bewertet der Experte lediglich mit ""Hold"".
Die Ansichten des Experten wirken sich auch auf die Aktien der VW-Dachgesellschaft Porsche SE aus. Für diese reduzierte Schwarz sein Kursziel ebenfalls deutlich von 132 auf 78 Euro. Bei der Porsche SE blieb er aber bei seiner bisherigen Kaufempfehlung, da die Aktien im VW-Vergleich ein besseres Verhältnis von Chancen und Risiken böten.
Gemäß der Einstufung ""Hold"" wird die Aktie nach Einschätzung der Analysten von Stifel auf Sicht von zwölf Monaten eine Gesamtrendite (Kursentwicklung + Dividendenrendite) zwischen -5 Prozent und +10 Prozent aufweisen. Mit ""Buy"" erwartet Stifel Gemäß der Einstufung ""Buy"" wird die Aktie nach Einschätzung der Analysten von Stifel auf Sicht von zwölf Monaten einen absoluten Kursgewinn von mehr als 10 Prozent./tih/ag/mis
Analysierendes Institut Stifel.
Veröffentlichung der Original-Studie: 24.03.2023 / 02:00 / EDT
Erstmalige Weitergabe der Original-Studie: 24.03.2023 / 02:00 / EDT
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Bernstein hebt Ziel für Mercedes-Benz auf 90 Euro - 'Outperform',"02.03.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/03-02-analyse-flash-bernstein-hebt-ziel-fuer-mercedes-benz-auf-90-euro-outperform-10-26104455,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat das Kursziel für Mercedes-Benz von 85 auf 90 Euro angehoben und die Einstufung auf ""Outperform"" belassen. Trotz der Luxusstrategie der Stuttgarter hänge die Bewertung der Aktie im üblichen Bereich für Premium-Autobauer fest, schrieb Analyst Daniel Roeska in einer am Donnerstag vorliegenden Studie. Die Strategie mache aber Fortschritte, die Elektrifizierungs- und Softwarepläne seien vernünftig, und es stehe eine Vielzahl gewinnträchtiger neuer Modelle in den Startlöchern. Das mache aus Mercedes-Benz zwar nicht Ferrari. Doch es gebe den Investoren Grund zum Vertrauen auf die Fähigkeit des Unternehmens, dem Gegenwind im Elektrobereich zu trotzen und den Margenausblick um die 15 Prozent herum zu behaupten./gl/la
Veröffentlichung der Original-Studie: 01.03.2023 / 23:10 / UTC Erstmalige Weitergabe der Original-Studie: 02.03.2023 / 05:01 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Mercedes-Benz Group (Daimler),Aktieneinstufung,ANALYSE-FLASH: Warburg Research hebt Ziel für Mercedes-Benz auf 102 Euro - 'Buy',"23.02.2023, 12:49",dpa-AFX,https://www.onvista.de/news/2023/02-23-analyse-flash-warburg-research-hebt-ziel-fuer-mercedes-benz-auf-102-euro-buy-10-26101650,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat das Kursziel für Mercedes-Benz von 95 auf 102 Euro angehoben und die Einstufung auf ""Buy"" belassen. Das neue Kursziel resultiere hauptsächlich aus den weiter in die Zukunft projizierten Schätzungen, schrieb Analyst Marc-Rene Tonn in einer am Donnerstag vorliegenden Studie. Die geplante Einführung eines eigenen Betriebssystems durch den Autohersteller eröffne neue geschäftliche Möglichkeiten./mf/gl
Veröffentlichung der Original-Studie: 23.02.2023 / 08:15 / MEZ Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
