Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Merck,Aktieneinstufung,ANALYSE/Citigroup: Pharmatreiber für Merck - Erholung bei Labor und Halbleitern,"21.09.2023, 12:10",dpa-AFX,https://www.onvista.de/news/2023/09-21-analyse-citigroup-pharmatreiber-fuer-merck-erholung-bei-labor-und-halbleitern-10-26178668,"NEW YORK (dpa-AFX) - Die Analysten der US-Bank Citigroup sind deutlich optimistischer als bisher für die weitere Entwicklung beim Darmstädter Merck-Konzern . Fachmann Peter Verdult setzt auf eine baldige Erholung des wichtigen Laborgeschäfts, und auch im Halbleitersegment dürfte es mit der Zeit wieder aufwärtsgehen, schrieb er in einer am Donnerstag vorliegenden Studie. Als große Triebfedern kommen für den Experten das Krebsmedikament Xevinapant und das Multiple-Sklerose-Mittel Evobrutinib aus der aktuellen Pharmapipeline hinzu.
Verdult verlässt daher seine neutrale Position an der Seitenlinie und spricht mit ""Buy"" eine Kaufempfehlung für Aktien des Dax-Unternehmens aus. Er hob das Kursziel 200 auf 210 Euro an, womit er den Aktien ein Aufwärtspotenzial von fast einem Drittel zutraut, denn aktuell notieren die Papiere bei rund 160 Euro. Sollte sich Verdults bestes Szenario bewahrheiten, sei sogar ein Kursanstieg bis auf 260 Euro drin. Das wäre dann mehr als Ende 2021, als die Aktie mit einem Wert von 231,50 Euro ihren bisher höchsten Stand erreicht hatte - seitdem ging es aber dann deutlich nach unten.
In seinem größten Standbein, der Laborsparte, litt der Merck-Konzern ähnlich wie Branchenwettbewerber zuletzt unter einem Nachfragerückgang. Viele Kunden bauen ihre in der Corona-Pandemie aufgestockten Lager ab und bestellen deshalb aktuell weniger. Verdult ist jedoch der Meinung, dass dies nicht mehr lange so weitergeht: Mit 2023 sei das Ende des Lagerabbaus erreicht, darauf deute auch eine Umfrage seiner Kollegen unter wichtigen Abnehmerbranchen hin sowie Aussagen von Mercks Wettbewerbern. Eine Trendwende wird demnach bereits für das vierte Quartal erwartet.
Auch die Flaute im Halbleitersegment dürfte laut dem Analysten bald vorbei sei. Dort sagt die Citigroup eine deutliche Erholung des Marktes für Silizium-Wafer für 2024 und 2025 voraus. Mit einem Rekordlagerbestand bei den 300mm-Wafern sollte sich die Lage bereits ab dem zweiten Halbjahr 2023 normalisieren, so Verdult. ""Sind die Kunden erst einmal durch ihre Bestände hindurch, wird die Nachfrage wieder anziehen.""
In der Pharmasparte gibt es laut dem Experten wiederum große Chancen mit dem Mittel Xevinapant. Damit könnte Merck einen Paradigmenwechsel bei der Behandlung von Krebserkrankungen des Gesichts- und Halsbereichs einläuten. Das Feedback von hochrangigen Medizinern sei bereits ermutigend. Verdult traut dem Medikament in der Spitze 1,4 Milliarden Euro Umsatz zu, mehr als doppelt so viel wie der Markt. Weitaus optimistischer als die Mehrheit seiner Analystenkollegen ist er auch für Evobrutinib gegen Multiple-Sklerose - dieses könnte bis zu 2,1 Milliarden Euro pro Jahr einspielen, glaubt Verdult. Mit den im Dezember anstehenden neuen Daten dürfte sich demnach ein attraktives Chance-Risiko-Profil für das Medikament ergeben.
Mit der Einstufung ""Buy"" sagt die Citigroup der Aktie für die kommenden zwölf Monate eine Gesamtrendite von mindestens 15 Prozent voraus./tav/ag/zb
Analysierendes Institut Citigroup.
"
Merck,Aktieneinstufung,ANALYSE-FLASH: Credit Suisse senkt Merck KGaA-Ziel auf 180 Euro - 'Outperform',"25.07.2023, 08:56",dpa-AFX,https://www.onvista.de/news/2023/07-25-analyse-flash-credit-suisse-senkt-merck-kgaa-ziel-auf-180-euro-outperform-10-26158281,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Bank Credit Suisse hat das Kursziel für Merck KGaA von 200 auf 180 Euro gesenkt, aber die Einstufung auf ""Outperform"" belassen. Analyst Dominic Lunn kappte in einer am Dienstag vorliegenden Studie seine Umsatz- und Ergebnisschätzungen für die Darmstädter. Quartalsberichte der Konkurrenz zeigten die Herausforderungen und obendrein gebe es Druck von der Währungsseite./ag/edh
Veröffentlichung der Original-Studie: 25.07.2023 / 04:24 / UTC
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank senkt Ziel für Merck KGaA auf 205 Euro - 'Buy',"21.07.2023, 15:20",dpa-AFX,https://www.onvista.de/news/2023/07-21-analyse-flash-deutsche-bank-senkt-ziel-fuer-merck-kgaa-auf-205-euro-buy-10-26157464,"FRANKFURT (dpa-AFX) - Deutsche Bank Research hat das Kursziel für Merck KGaA vor Zahlen von 220 auf 205 Euro gesenkt und die Einstufung auf ""Buy"" belassen. Analyst Falko Friedrichs rechnet in einer am Freitag vorliegenden Studie mit schwächeren Zahlen, die den Markt nicht überraschen dürften. Gleiches gelte für eine von ihm erwartete Senkung des diesjährigen Ausblicks. Die Schwäche dürfte auf niedrigere Covid-bedingte Umsätze, den Lagerabbau von Kunden im Life-Science-Segment und vorübergehenden Gegenwind im Elektronik-Segment zurückzuführen sein./tih/gl
Veröffentlichung der Original-Studie: 21.07.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 21.07.2023 / 06:55 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE: HSBC startet Pharma-Werte mehrheitlich mit 'Buy' - Bayer aber 'Reduce',"14.07.2023, 12:39",dpa-AFX,https://www.onvista.de/news/2023/07-14-analyse-hsbc-startet-pharma-werte-mehrheitlich-mit-buy-bayer-aber-reduce-10-26155022,"LONDON (dpa-AFX) - Die britische Investmentbank HSBC blickt in einer Ersteinschätzung mehrheitlich optimistisch auf Unternehmen aus dem globalen Pharmasektor. Entscheidend für deren Gewinne seien drei Dinge: Innovation, Patentausläufe und das regulatorische Umfeld. Unter diesen Aspekten spricht Analyst Rajesh Kumar 14 von 19 Unternehmen in einer am Freitag vorliegenden Branchenstudie eine Kaufempfehlung aus.
Darunter befinden sich der Darmstädter Vertreter Merck , aber auch ausländische Branchengrößen wie Pfizer , Sanofi , Novo Nordisk , Astrazeneca , Novartis und Roche . Hinzu kommt auch der für seinen Corona-Impfstoff bekannte Branchen-Shooting-Star Biontech .
Die Branche steht nach Einschätzung des Fachmanns vor zahlreichen Herausforderungen. Seine These: Der Verlust der Exklusivität durch den Markteintritt von Nachahmermedikamenten (Generika) und die Regulierung der Medikamentenpreise dürften Übernahmen oder Lizenzvereinbarungen als Kapitalverwendung wieder interessanter machen. Der dafür verfügbare Pool an Möglichkeiten werde aber kleiner. Unternehmen mit starken Bilanzen, begrenzter Generika-Konkurrenz und einer starken Forschungs- und Entwicklungskultur könnten vergleichsweise besser abschneiden. In einem Hochzinsumfeld seien Erfolge und niedrige Bewertungen die Grundlage für die Wertschöpfung.
Kumar fächert seine Kauf-Voten auf: Astrazeneca, Novo Nordisk, Eli Lilly und Genmab seien vier Empfehlungen wegen ihrer Qualität - mit Produkten in starken Endmärkten, nachgewiesenem Potenzial durch starke klinische Studiendaten und diversifizierten Portfolios. Pfizer sei ein Konzern mit Wertpotenzial und an Sanofi sowie Novartis lobte er das Potenzial zur Selbstoptimierung.
Roche, Merck KGaA und Lonza zählt er in die Kategorie ""Gefallene Engel"", also frühere Anlegerlieblinge. Sie könnten zu altem Ruhm zurückfinden, nachdem zuletzt kurzfristige Probleme die Anlegerstimmung belastet hätten. Bei Merck etwa habe der abflauende Covid-Rückenwind die Anleger von der grundlegenden Wachstumsstory der Darmstädter abgelenkt. Mit vielen biologisch hergestellten Wirkstoff-Kandidaten in der Forschungspipeline dürfte der Dax -Konzern jedoch voll im Trend liegen, so Kumar.
Negative Einschätzungen mit ""Reduce"" gibt es von dem Experten nur vier Stück, darunter neben Bristol-Myers Squibb , GSK und dem Biontech-Konkurrenten Moderna auch für Bayer . In dem Leverkusener Konzern sähen viele Anleger aufgrund niedriger Bewertung und einer zyklischen Erholung im Agrarbereich einen Kandidaten für eine positive Wende. Sorgen bereiten dem Fachmann aber weiter die laufenden Glyphosat-Rechtsstreitigkeiten, die Finanzlage und das ""abgenutzte Produktportfolio"".
HSBC stuft solche Aktien mit ""Buy"" ein, deren Kursziel mehr als 20 Prozent über dem aktuellen Kurs liegt. Mit ""Reduce"" werden umgekehrt Aktien eingestuft, deren Kursziel mehr als 20 Prozent unter dem aktuellen Kurs liegt. In den Bereichen dazwischen kann die Einstufung auch ""Hold"" lauten, mit diesem Votum ist der US-Konzern Merck & Co aber alleinstehend./tih/tav/jha/
Analysierendes Institut HSBC.
Veröffentlichung der Original-Studie: 13.07.2023 / 16:24 / GMT Erstmalige Weitergabe der Original-Studie: 14.07.2023 / 02:18 / GMT
"
Merck,Aktieneinstufung,ANALYSE-FLASH: Stifel nimmt Merck KGaA mit 'Buy' wieder auf - Ziel 205 Euro,"06.07.2023, 12:05",dpa-AFX,https://www.onvista.de/news/2023/07-06-analyse-flash-stifel-nimmt-merck-kgaa-mit-buy-wieder-auf-ziel-205-euro-10-26152071,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Stifel hat die Bewertung der Papiere der Merck KGaA bei einem Kursziel von 205 Euro mit ""Buy"" wieder aufgenommen. Im Bereich Bioprocessing zeichne sich eine Bodenbildung ab, schrieb Analyst Dylan Van Haaften in einer am Donnerstag vorliegenden Studie. 2023 werde ohne Frage schwach, in den Folgejahren sehe es aber besser aus. Kursschwächen könnten sich also Einstiegschancen erweisen in eine attraktive Erholungsstory, so der Experte./ag/tih
Veröffentlichung der Original-Studie: 06.07.2023 / 01:02 / EDT
Erstmalige Weitergabe der Original-Studie: 06.07.2023 / 01:02 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt Merck KGaA auf 'Kaufen' - Fairer Wert 195 Euro,"13.06.2023, 12:05",dpa-AFX,https://www.onvista.de/news/2023/06-13-analyse-flash-dz-bank-hebt-merck-kgaa-auf-kaufen-fairer-wert-195-euro-10-26143552,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat Merck KGaA von ""Halten"" auf ""Kaufen"" hochgestuft und den fairen Wert je Aktie von 167 auf 195 Euro angehoben. Der Bericht zum ersten Quartal habe über den Konsensschätzungen gelegen, schrieb Analyst Peter Spengler in einer am Dienstag vorliegenden Studie. Nach dem Ende der Boomjahre der Covid-Pandemie und im Halbleitergeschäft sei 2023 für die Darmstädter ein Zwischenjahr. Ab Ende 2023 erwartet der Experte aber neue Wachstumsimpulse aus dem Halbleitergeschäft, zum Beispiel durch eine stärkere Nachfrage nach Mikrochips für künstliche Intelligenz. Das Geschäft mit neuen Pharmaprodukten laufe bereits seit Anfang des Jahres. Merck sei ein Unternehmen mit hoher Qualität und einem hervorragenden Chance-Risiko-Profil./ajx/mis
Veröffentlichung der Original-Studie: 13.06.2023 / 09:43 / MESZ Erstmalige Weitergabe der Original-Studie: 13.06.2023 / 09:53 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: Jefferies senkt Ziel für Merck KGaA auf 190 Euro - 'Buy',"23.05.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/05-23-analyse-flash-jefferies-senkt-ziel-fuer-merck-kgaa-auf-190-euro-buy-10-26136275,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Merck KGaA von 205 auf 190 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Vor dem Hintergrund der Bedeutung von Evobrutinib, einem Mittel zur Behandlung bei Multipler Sklerose (MS), rheumatoider Arthritis (RA) und systemischem Lupus erythematosus (SLE), setzt sich Analyst Brian Balchin in dieser am Dienstag vorliegenden Studie mit dem Risiko durch Wettbewerber auseinander. Immerhin erwarte er von dem Mittel bis 2030 einen Umsatzbeitrag von etwa 25 Prozent in der Pharmasparte oder 8 Prozent vom Konzernumsatz. Er nahm letztlich nur kleinere abwärts gerichtete Korrekturen an seinen Prognosen für den Pharma- und Spezialchemiekonzern vor./ck/tih
Veröffentlichung der Original-Studie: 22.05.2023 / 13:58 / ET
Erstmalige Weitergabe der Original-Studie: 22.05.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Merck KGaA auf 225 Euro - 'Overweight',"15.05.2023, 07:07",dpa-AFX,https://www.onvista.de/news/2023/05-15-analyse-flash-jpmorgan-senkt-ziel-fuer-merck-kgaa-auf-225-euro-overweight-10-26133452,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Merck KGaA nach Quartalszahlen von 250 auf 225 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Analyst Richard Vosser reduzierte in Reaktion auf den Zwischenbericht seine Umsatz- und Ergebnisprognosen für den Konzern. Doch auf deren Basis würde Mercks Gewinn je Aktie immer noch stärker zulegen als die Branche, weshalb die Aktie eine attraktive Wachstumsgeschichte bleibe, heißt es in einer am Montag vorliegenden Studie./gl/ajx
Veröffentlichung der Original-Studie: 14.05.2023 / 23:17 / BST Erstmalige Weitergabe der Original-Studie: 15.05.2023 / 01:08 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: UBS belässt Merck KGaA auf 'Buy' - Ziel 210 Euro,"11.05.2023, 12:50",dpa-AFX,https://www.onvista.de/news/2023/05-11-analyse-flash-ubs-belaesst-merck-kgaa-auf-buy-ziel-210-euro-10-26132284,"ZÜRICH (dpa-AFX) - Die Schweizer Großbank UBS hat die Einstufung für Merck KGaA nach Zahlen zum ersten Quartal auf ""Buy"" mit einem Kursziel von 210 Euro belassen. Die Konsensschätzungen lägen um zwei Prozent über den jeweiligen Mittelwerten der für den Umsatz und das operative Ergebnis 2023 in Aussicht gestellten Zielkorridore, schrieb Analyst Michael Leuchten in einer am Donnerstag vorliegenden Studie. Nach der jüngsten Schwäche der Aktien des Pharma- und Chemiekonzerns rechne er mit einer neutralen bis leicht positiven Kursreaktion./bek/gl
Veröffentlichung der Original-Studie: 11.05.2023 / 06:01 / GMT Erstmalige Weitergabe der Original-Studie: 11.05.2023 / 06:01 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Merck,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Merck KGaA auf 'Overweight' - Ziel 250 Euro,"12.04.2023, 12:34",dpa-AFX,https://www.onvista.de/news/2023/04-12-analyse-flash-jpmorgan-belaesst-merck-kgaa-auf-overweight-ziel-250-euro-10-26120281,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Merck KGaA auf ""Overweight"" belassen mit einem Kursziel von 250 Euro. Die Aussetzung der Aufnahme neuer Patienten für eine Therapie mit dem Multiple-Sklerose-Mittel Evobrutinib dürfte Fragen hinsichtlich der Zulassungsfähigkeit des Mittels in den USA aufwerfen, schrieb Analyst Richard Vosser in einer am Mittwoch vorliegenden Studie. Die für das vierte Quartal 2023 avisierten endgültigen Studienergebnisse seien aber nicht in Gefahr. Der Experte rechnet mit einem maximalen Umsatzpotenzial des Medikaments von 2,4 Milliarden Euro - wovon die Hälfte mit Risiken behaftet sei./bek/la
Veröffentlichung der Original-Studie: 12.04.2023 / 09:50 / BST Erstmalige Weitergabe der Original-Studie: 12.04.2023 / 09:50 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
