Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Ziel für Munich Re auf 400 Euro - 'Buy',"11.08.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/08-11-analyse-flash-berenberg-hebt-ziel-fuer-munich-re-auf-400-euro-buy-10-26165004,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Munich Re nach Quartalszahlen von 385 auf 400 Euro angehoben und die Einstufung auf ""Buy"" belassen. Sämtliche Geschäftseinheiten entwickelten sich deutlich besser als der Rückversicherer ursprünglich angenommen habe, schrieb Analyst Tryfonas Spyrou in einer am Freitag vorliegenden Studie. Der Experte erhöhte seine Dividendenprognosen für die Jahre 2023 bis 2025./edh/jha/
Veröffentlichung der Original-Studie: 10.08.2023 / 16:35 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt fairen Wert für Munich Re auf 372 Euro - 'Kaufen',"22.06.2023, 14:24",dpa-AFX,https://www.onvista.de/news/2023/06-22-analyse-flash-dz-bank-hebt-fairen-wert-fuer-munich-re-auf-372-euro-kaufen-10-26147228,"FRANKFURT (dpa-AFX Broker) - Die DZ Bank hat den fairen Wert für die Aktien der Munich Re von 360 auf 372 Euro angehoben und die Einstufung auf ""Kaufen"" belassen. Der Rückversicherer profitiere von dem sehr gu?nstigen Marktumfeld im Schaden-Segment, das Preiserhöhungen über der Inflation ermögliche, schrieb Analyst Thorsten Wenzel in einer am Donnerstag vorliegenden Studie. Im Leben-Geschäft wirke sich mit dem Ende der Corona-Pandemie eine niedrigere Sterberate positiv aus, vor allem in den USA. Zudem führe das höhere Zinsniveau zu höheren Kapitalanlage-Ergebnissen in sämtlichen Segmenten./edh/ag
Veröffentlichung der Original-Studie: 22.06.2023 / 08:20 / MESZ Erstmalige Weitergabe der Original-Studie: 22.06.2023 / 08:35 / MESZ
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: Goldman hebt Ziel für Munich Re auf 375 Euro - 'Buy',"02.06.2023, 12:05",dpa-AFX,https://www.onvista.de/news/2023/06-02-analyse-flash-goldman-hebt-ziel-fuer-munich-re-auf-375-euro-buy-10-26140174,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Munich Re von 370 auf 375 Euro angehoben und die Einstufung auf ""Buy"" belassen. Nach den starken Quartalszahlen des Rückversicherers sowie der Bilanzierungsumstellung das neue Regelwerk IFRS 17 habe er seine Schätzungen für den Nettogewinn für die Jahre bis 2027 angehoben, schrieb Analyst Alan Devlin in einer am Freitag vorliegenden Studie./gl/mis
Veröffentlichung der Original-Studie: 01.06.2023 / 20:00 / BST Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: Barclays belässt Munich Re auf 'Overweight' - Ziel 354 Euro,"17.05.2023, 12:05",dpa-AFX,https://www.onvista.de/news/2023/05-17-analyse-flash-barclays-belaesst-munich-re-auf-overweight-ziel-354-euro-10-26134643,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat die Einstufung für Munich Re nach Zahlen auf ""Overweight"" mit einem Kursziel von 354 Euro belassen. Das Investmentergebnis des Rückversicherers sei besser als erwartet ausgefallen, schrieb Analyst Ivan Bokhmat in einer am Mittwoch vorliegenden Studie. Auch die Schaden-Kosten-Quote hinterlasse einen guten Eindruck. Gleiches gelte für die Prämienentwicklung nach der jüngsten Erneuerungsrunde./mf/tih
Veröffentlichung der Original-Studie: 17.05.2023 / 06:58 / GMT
Erstmalige Weitergabe der Original-Studie: 17.05.2023 / 06:59 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Munich Re auf 'Buy' - Ziel 365 Euro,"27.03.2023, 15:05",dpa-AFX,https://www.onvista.de/news/2023/03-27-analyse-flash-berenberg-belaesst-munich-re-auf-buy-ziel-365-euro-10-26114573,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Munich Re auf ""Buy"" mit einem Kursziel von 365 Euro belassen. Es dämmere ein neuer Rückversicherungszyklus, schrieb Analyst Tryfonas Spyrou in einer am Montag vorliegenden Studie. Höhere Zinsen, eine zunehmende Anzahl auch schwererer Naturkatastrophen und anhaltender Inflationsdruck sorgten zumindest für eine Stabilisierung der Preise auf hohem Niveau./ag/la
Veröffentlichung der Original-Studie: 24.03.2023 / 17:19 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: UBS hebt Ziel für Munich Re auf 321 Euro - 'Neutral',"12.01.2023, 15:05",dpa-AFX,https://www.onvista.de/news/2023/01-12-analyse-flash-ubs-hebt-ziel-fuer-munich-re-auf-321-euro-neutral-10-26085448,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat das Kursziel für Munich Re von 290 auf 321 Euro angehoben, die Einstufung aber auf ""Neutral"" belassen. Analyst Will Hardcastle sieht den Versicherungssektor in einer am Donnerstag vorliegenden Branchenstudie nach einem Jahr 2022 mit überdurchschnittlicher Kursentwicklung etwas verhaltener wegen Inflations- und Rezessionsrisiken. Die Bewertungen seien nun generell fairer geworden. Für Rückversicherer sei es das härteste Marktumfeld seit Jahrzehnten. Das höhere Munich-Ziel reflektiere bessere Wachstumsperspektiven der Münchener./tih/la
Veröffentlichung der Original-Studie: 12.01.2023 / 04:31 / GMT
Erstmalige Weitergabe der Original-Studie: 12.01.2023 / 04:31 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: RBC hebt Ziel für Munich Re auf 344 Euro - 'Sector Perform',"05.01.2023, 15:05",dpa-AFX,https://www.onvista.de/news/2023/01-05-analyse-flash-rbc-hebt-ziel-fuer-munich-re-auf-344-euro-sector-perform-10-26083058,"NEW YORK (dpa-AFX) - Die kanadische Bank RBC hat das Kursziel für Munich Re von 290 auf 344 Euro angehoben und die Einstufung auf ""Sector Perform"" belassen. Die Preise der europäischen Rückversicherer seien in einigen Bereichen sprunghaft gestiegen und die Vertragsstrukturen seien deutlich überarbeitet worden, schrieb Analyst Derald Goh in einer am Donnerstag vorliegenden Branchenstudie. Dies stimme ihn noch positiver für den Sektor, für den er trotz der bisherigen Kurserholung noch weiteres Aufwärtspotenzial sehe./edh/ck
Veröffentlichung der Original-Studie: 05.01.2023 / 01:56 / EST
Erstmalige Weitergabe der Original-Studie: 05.01.2023 / 01:56 / EST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: DZ Bank setzt Munich Re auf 'Equity Ideas'-Liste - 'Kaufen',"23.12.2022, 10:20",dpa-AFX,https://www.onvista.de/news/2022/12-23-analyse-flash-dz-bank-setzt-munich-re-auf-equity-ideas-liste-kaufen-10-26079927,"FRANKFURT (dpa-AFX) - Die DZ Bank hat die Aktie von Munich Re in ihre ""Equity Ideas""-Auswahlliste aufgenommen. Die Einstufung wurde auf ""Kaufen"" mit einem fairen Wert von 345 Euro belassen. Der Rückversicherer befinde sich in den laufenden Vertragsverhandlungen mit Erstversicherern im Zuge der Erneuerungsrunde im Januar in einer außerordentlich gu?nstigen Verhandlungsposition, schrieb Analyst Thorsten Wenzel in einer am Freitag vorliegenden Studie. Dem Management sollte es gelingen, Preiserhöhungen oberhalb der Schadeninflation durchzusetzen, und zwar nicht nur in schadenbelasteten Verträgen, sondern auf breiter Front./edh/gl
Veröffentlichung der Original-Studie: 23.12.2022 / 08:58 / MEZ Erstmalige Weitergabe der Original-Studie: 23.12.2022 / 09:05 / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt fairen Wert für Munich Re auf 345 Euro - 'Kaufen',"22.12.2022, 15:31",dpa-AFX,https://www.onvista.de/news/2022/12-22-analyse-flash-dz-bank-hebt-fairen-wert-fuer-munich-re-auf-345-euro-kaufen-10-26079654,"FRANKFURT (dpa-AFX) - Die DZ Bank hat den fairen Wert für Munich Re von 303 auf 345 Euro angehoben und die Einstufung auf ""Kaufen"" belassen. Der Rückversicherer profitiere von den steigenden Zinsen, die mit Zeitverzögerung zu einem höheren Kapitalanlageergebnis führten, schrieb Analyst Thorsten Wenzel in einer am Donnerstag vorliegenden Studie. Er traut dem Unternehmen zudem zu, kräftige Preiserhöhungen durchzusetzen./gl/he
Veröffentlichung der Original-Studie: 22.12.2022 / 14:27 / MEZ Erstmalige Weitergabe der Original-Studie: 22.12.2022 / 14:34 / MEZ
"
Münchener Rück,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Munich Re auf 'Overweight' - Ziel 350 Euro,"14.12.2022, 20:01",dpa-AFX,https://www.onvista.de/news/2022/12-14-analyse-flash-jpmorgan-belaesst-munich-re-auf-overweight-ziel-350-euro-10-26076534,"NEW YORK (dpa-AFX) - Die US-Bank JPMorgan hat Munich Re mit Blick auf den neuen Ergebnisausblick des Rückversicherers auf ""Overweight"" mit einem Kursziel von 350 Euro belassen. Der für 2023 nach dem Rechnungslegungsstandard IFRS 17 angepeilte Konzerngewinn von vier Milliarden Euro liege deutlich über den für das laufende Jahr geplanten 3,3 Milliarden Euro sowie knapp über einer von Bloomberg veröffentlichten Konsensschätzung, schrieb Analyst Kamran Hossain am Mittwoch in einer ersten Reaktion. Die beiden Ziele seien nicht ganz einfach zueinander in Relation zu setzen, da die Vorgabe für 2022 noch auf dem bisher geltenden Rechnungslegungsstandard IFRS 4 beruhe. Präsentationen vergleichbar diversifizierter Unternehmen nach dem neuen Standard hätten aber gezeigt, dass die Ergebnisse meistens nicht stark von denen unter IFRS 4 abwichen. Daher wertet Hossain das neue Gewinnziel für das kommende Jahr positiv./gl/men
Veröffentlichung der Original-Studie: 14.12.2022 / 18:25 / GMT Erstmalige Weitergabe der Original-Studie: 14.12.2022 / 18:25 / GMT
"
