Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Goldman senkt Ziel für Porsche AG auf 140 Euro - 'Buy',"18.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-18-analyse-flash-goldman-senkt-ziel-fuer-porsche-ag-auf-140-euro-buy-10-26177243,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Porsche AG von 152 auf 140 Euro gesenkt und die Einstufung auf ""Buy"" belassen. Es sei die generelle Auffassung von Anlegern, dass die europäische Automobilindustrie vor einer Phase gedämpfter Absatz- und Preisentwicklungen stehe, schrieb Analyst George Galliers in einer am Montag vorliegenden Branchenstudie. Er gehe aber konstruktiver an den Sektor heran. Die stärkere Geschäftsentwicklung bei den Autobauern könnte sich fortsetzen und sollte belohnt werden. Mercedes-Benz ist hier sein Branchenfavorit, noch vor Porsche und Stellantis./tih/ck
Veröffentlichung der Original-Studie: 18.09.2023 / 04:59 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg stuft Porsche AG auf 'Hold' ab - Kursziel gesenkt,"08.09.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/09-08-analyse-flash-berenberg-stuft-porsche-ag-auf-hold-ab-kursziel-gesenkt-10-26174073,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Porsche AG nach einem Analystenwechsel von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 125 auf 117 Euro gesenkt. Die Nachfrage nach Luxus bleibe robust, aber dennoch zyklisch, schrieb der jetzt für Porsche zuständige Analyst Romain Gourvil in einer am Freitag vorliegenden Studie. Der Experte zieht gegenwärtig aus Bewertungsgründen und mit Blick auf ein wahrscheinlich etwas unstetes zweites Halbjahr die Aktien von Mercedes-Benz den Papieren der Zuffenhausener vor./ajx/zb
Veröffentlichung der Original-Studie: 07.09.2023 / 16:11 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: DZ Bank senkt fairen Wert für Porsche SE auf 60 Euro - 'Kaufen',"05.09.2023, 17:20",dpa-AFX,https://www.onvista.de/news/2023/09-05-analyse-flash-dz-bank-senkt-fairen-wert-fuer-porsche-se-auf-60-euro-kaufen-10-26173048,"FRANKFURT (dpa-AFX) - Die DZ Bank hat den fairen Wert für Porsche SE von 65 auf 60 Euro gesenkt, aber die Einstufung auf ""Kaufen"" belassen. Die Bewertung der Aktie der Beteiligungsgesellschaft weise weiterhin einen deutlichen Abschlag im Vergleich zu dem Wert seiner beiden Kernbeteiligungen VW und Porsche AG auf, schrieb Analyst Michael Punzet in einer am Dienstag vorliegenden Studie. Zwar hält er diesen Abschlag für zu hoch, sieht aber kurzfristig keine Kurstreiber, die dies ändern könnten. Mittelfristig indes sei eine Verringerung des Abschlags wahrscheinlich./ck/nas
Veröffentlichung der Original-Studie: 05.09.2023 / 15:35 / MESZ
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 15:42 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt Porsche SE auf 'Market-Perform' - Ziel 58 Euro,"22.08.2023, 11:20",dpa-AFX,https://www.onvista.de/news/2023/08-22-analyse-flash-bernstein-belaesst-porsche-se-auf-market-perform-ziel-58-euro-10-26168226,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Einstufung für Porsche SE auf ""Market-Perform"" mit einem Kursziel von 58 Euro belassen. Die Volkswagen-Dachgesellschaft habe zu entscheiden, ob nach der Beteiligung am Sportwagenbauer Porsche AG bei dessen Börsengang im vergangenen Jahr nun weiterhin eine Dividende bei höherer Verschuldung gezahlt oder die Verschuldung gesenkt werden soll, schrieb Analyst Daniel Roeska in einer am Dienstag vorliegenden Studie. Als einzige Einnahmequelle der Familien Porsche und Piëch dürfte man kurzfristig weiter Dividende zahlen, glaubt Roeska./ajx/la
Veröffentlichung der Original-Studie: 22.08.2023 / 04:45 / UTC Erstmalige Weitergabe der Original-Studie: 22.08.2023 / 04:45 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg startet Porsche SE mit 'Buy' - Ziel 76 Euro,"14.06.2023, 14:17",dpa-AFX,https://www.onvista.de/news/2023/06-14-analyse-flash-berenberg-startet-porsche-se-mit-buy-ziel-76-euro-10-26144194,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Bewertung der Papiere der Porsche SE bei einem Kursziel von 76 Euro mit ""Buy"" aufgenommen. Der Abschlag zum inneren Wert mit den Beteiligungen an VW und der Porsche AG sei viel zu hoch, schrieb Analyst Romain Gourvil in einer am Mittwoch vorliegenden Studie. Er hält die Papiere entsprechend für eine attraktive und günstigere Option, um in den Golf-Hersteller und den Sportwagenbauer zu investieren./ag/ajx
Veröffentlichung der Original-Studie: 13.06.2023 / 12:09 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Porsche AG auf 'Buy' - Ziel 149 Euro,"06.06.2023, 16:19",dpa-AFX,https://www.onvista.de/news/2023/06-06-analyse-flash-goldman-belaesst-porsche-ag-auf-buy-ziel-149-euro-10-26141417,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Porsche AG auf ""Buy"" mit einem Kursziel von 149 Euro belassen. Der Sportwagenbauer dürfte auf seiner 75-Jahr-Feier ein neues Modell vorstellen, schrieb Analyst George Galliers in einer am Dienstag vorliegenden Studie. An seinen Schätzungen für Porsche änderte der Experte vorerst kaum etwas./ajx/gl
Veröffentlichung der Original-Studie: 06.06.2023 / 06:01 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE: Goldman sieht europäische E-Auto-Hersteller im Nachteil zu Tesla,"06.04.2023, 12:44",dpa-AFX,https://www.onvista.de/news/2023/04-06-analyse-goldman-sieht-europaeische-e-auto-hersteller-im-nachteil-zu-tesla-10-26118860,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs sieht die meisten europäischen Hersteller von Elektroautos technologisch im Nachteil gegenüber dem E-Auto-Pionier Tesla aus den USA. Analyst George Galliers senkte deshalb in einer am Donnerstag vorliegenden Studie die Kursziele zahlreicher Autowerte und stufte die Aktien von BMW sowie Volvo Cars ab. Bessere Chancen räumt er nur den Sportwagenbauern Porsche AG , Ferrari und Aston Martin ein, für die er die Kursziele erhöhte.
Bislang gebe es kaum Hinweise auf branchenführende Produkte der europäischen Elektroauto-Produzenten bei Betrachtung der Gesamteffizienz des Antriebsstrangs, schrieb Galliers. Bestenfalls könne die Effizienz mit der von Tesla mithalten, liege in vielen Fällen aber darunter. Zudem seien die von Tesla ausgewiesenen Bruttomargen (rund 27 Prozent im Jahr 2022) wesentlich höher als die der europäischen Hersteller. Dies deute darauf hin, dass die technologische Kluft noch größer sein könnte.
Galliers glaubt, dass die europäischen E-Auto-Produzenten zwar auch weiter effektiv konkurrieren können und dass ihre Kernkompetenzen weiterhin Wettbewerbsvorteile bieten. Allerdings müsse die europäische Automobilindustrie - sofern sie ihre starke Stellung behalten wolle - künftig Produkte herstellen, die neue Industriestandards für die Effizienz des Antriebsstrangs setzen, forderte der Experte. Denn sonst drohten Risiken für die Zukunft. Der Analyst erwartet, dass Tesla und die chinesischen Hersteller im Laufe des nächsten Jahrzehnts Marktanteile in Europa erobern werden./edh/ajx/jha/
Analysierendes Institut Goldman Sachs.
Veröffentlichung der Original-Studie: 06.04.2023 / 06:02 / BST Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE: Stifel macht Einschnitt bei VW - Ziel mit neuem Ansatz fast halbiert,"24.03.2023, 12:15",dpa-AFX,https://www.onvista.de/news/2023/03-24-analyse-stifel-macht-einschnitt-bei-vw-ziel-mit-neuem-ansatz-fast-halbiert-10-26113751,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Stifel hat am Freitag bei der Bewertung der Volkswagen-Aktien (VW) einen drastischen Schnitt vollzogen. Nach einer Änderung des Bewertungsverfahrens wurde das Kursziel von 295 auf 149 (aktueller Kurs 116,60) Euro fast halbiert. Im Zuge dessen wurde auch die bisherige Kaufempfehlung gestrichen, das neue Votum lautet ""Hold"".
Analyst Daniel Schwarz betonte in seiner Studie, zum kleineren Teil sei der drastische Schnitt der von VW gezahlten Sonderdividende von 19 Euro je Aktie geschuldet. Nachdem der Börsengang der VW-Sportwagentochter Porsche AG vollzogen wurde, sei es aber auch eine neue Erkenntnis, dass der VW-Konzern von solch wertvollen Beteiligungen nicht angemessen profitiere.
Er erwähnte dabei neben der Porsche AG auch die zu VW gehörenden Marken Lamborghini und Bentley. Eine Chance für eine neue und höhere Bewertung der VW-Aktien könnten zwar weitere Verkäufe von Aktien der Porsche AG mit sich bringen - das hätten die Wolfsburger aber ausgeschlossen.
Den bisherigen Bewertungsansatz anhand der Summe der Konzernteile hält er vor diesem Hintergrund für nicht mehr angebracht. Er macht das Wertpotenzial der Aktie nun am Kurs-Gewinn-Verhältnis fest.
Schwarz hält europäische Autobauer generell für attraktiv. Im deutschen Branchenumfeld rät er Anlegern aber eher dazu, auf Hersteller mit klarer Positionierung im Premium-Bereich zu setzen. Seine einzige Kaufempfehlung unter den deutschen Autobauern ist nun Mercedes-Benz. Auch die Premium-Wettbewerber BMW und Porsche AG bewertet der Experte lediglich mit ""Hold"".
Die Ansichten des Experten wirken sich auch auf die Aktien der VW-Dachgesellschaft Porsche SE aus. Für diese reduzierte Schwarz sein Kursziel ebenfalls deutlich von 132 auf 78 Euro. Bei der Porsche SE blieb er aber bei seiner bisherigen Kaufempfehlung, da die Aktien im VW-Vergleich ein besseres Verhältnis von Chancen und Risiken böten.
Gemäß der Einstufung ""Hold"" wird die Aktie nach Einschätzung der Analysten von Stifel auf Sicht von zwölf Monaten eine Gesamtrendite (Kursentwicklung + Dividendenrendite) zwischen -5 Prozent und +10 Prozent aufweisen. Mit ""Buy"" erwartet Stifel Gemäß der Einstufung ""Buy"" wird die Aktie nach Einschätzung der Analysten von Stifel auf Sicht von zwölf Monaten einen absoluten Kursgewinn von mehr als 10 Prozent./tih/ag/mis
Analysierendes Institut Stifel.
Veröffentlichung der Original-Studie: 24.03.2023 / 02:00 / EDT
Erstmalige Weitergabe der Original-Studie: 24.03.2023 / 02:00 / EDT
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Ziel für Porsche AG auf 125 Euro - 'Buy',"15.03.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/03-15-analyse-flash-berenberg-hebt-ziel-fuer-porsche-ag-auf-125-euro-buy-10-26109560,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Porsche AG von 120 auf 125 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der hohe Auftragsbestand bei hochpreisigen Automobilen schirme die Profitabilität der Zuffenhausener vor den meisten Nachfrageschocks ab, schrieb Analyst Adrian Yanoshik in einer am Mittwoch vorliegenden Studie./ag/edh
Veröffentlichung der Original-Studie: 14.03.2023 / 17:39 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Porsche AG (Vz.),Aktieneinstufung,ANALYSE-FLASH: Goldman nimmt Porsche SE mit 'Buy' wieder auf - Ziel 69 Euro,"10.01.2023, 12:05",dpa-AFX,https://www.onvista.de/news/2023/01-10-analyse-flash-goldman-nimmt-porsche-se-mit-buy-wieder-auf-ziel-69-euro-10-26084415,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat Porsche SE mit ""Buy"" und einem Kursziel von 69 Euro in die Bewertung wieder aufgenommen. Die Aktie der Automobilholding berge ein Kurspotenzial von rund 27 Prozent, sollten die Papiere der Volkswagen AG und der Porsche AG seine jeweiligen Kursziele von 149 beziehungsweise 120 Euro erreichen, schrieb Analyst George Galliers in einer am Dienstag vorliegenden Studie. Er geht von einem Holdingabschlag von rund 35 Prozent aus, was ihm zufolge in etwa dem aktuellen Kurs der Porsche-SE-Aktie entspricht./edh/ck
Veröffentlichung der Original-Studie: 10.01.2023 / 06:55 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
