Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Qiagen NV,Aktieneinstufung,"ANALYSE-FLASH: Berenberg senkt Ziel für Qiagen auf 54,20 Euro - 'Buy'","18.08.2023, 10:32",dpa-AFX,https://www.onvista.de/news/2023/08-18-analyse-flash-berenberg-senkt-ziel-fuer-qiagen-auf-54-20-euro-buy-10-26167240,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Qiagen nach einem durchwachsenen Quartalsbericht von 56,90 auf 54,20 Euro gesenkt. Die Einstufung wurde jedoch auf ""Buy"" belassen. Angesichts der nun gedämpften Erwartungen bei zugleich unveränderter Dynamik der Wachstumssäulen und der verglichen mit 2019 ""flachen"" Umsatzerwartungen für die Covid-19-Produktgruppe, sei die Ausgangsposition für die Aktie nun besser, schrieb Analyst Odysseas Manesiotis in einer am Freitag vorliegenden Studie. Nach Gesprächen mit dem Management ist er der Ansicht, dass die Aktie des Diagnostikspezialisten eine attraktive Einstiegschance bietet./ck/edh
Veröffentlichung der Original-Studie: 17.08.2023 / 16:39 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Qiagen auf 'Hold' - Ziel 42 Euro,"09.08.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/08-09-analyse-flash-jefferies-belaesst-qiagen-auf-hold-ziel-42-euro-10-26164017,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für Qiagen nach Quartalszahlen auf ""Hold"" mit einem Kursziel von 42 Euro belassen. Der Umsatz und die Ergebnisse seien besser als vom Markt erwartet ausgefallen, schrieb Analyst Peter Welford in einer am Mittwoch vorliegenden Studie. Den Jahresausblick habe der Labordienstleister aber - wie auch einige Konkurrenten - reduziert./edh/zb
Veröffentlichung der Original-Studie: 08.08.2023 / 17:51 / ET
Erstmalige Weitergabe der Original-Studie: 08.08.2023 / 17:51 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: Morgan Stanley hebt Qiagen auf 'Overweight' - Ziel 50 Euro,"23.05.2023, 09:30",dpa-AFX,https://www.onvista.de/news/2023/05-23-analyse-flash-morgan-stanley-hebt-qiagen-auf-overweight-ziel-50-euro-10-26136276,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Morgan Stanley hat Qiagen von ""Equal-weight"" auf ""Overweight"" hochgestuft und das Kursziel von 45 auf 50 Euro angehoben. Die Belastungen durch das Abebben des Corona-Sondergeschäfts sollten auslaufen und das Wachstum des Diagnostikspezialisten und Labordienstleisters sich beschleunigen, schrieb Analystin Aisyah Noor in einer am Dienstag vorliegenden Studie. Dabei profitiere das Unternehmen auch vom Eintritt in profitablere Marktbereiche./mis/ag
Veröffentlichung der Original-Studie: 23.05.2023 / 03:30 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,"ANALYSE-FLASH: Berenberg belässt Qiagen auf 'Buy' - Ziel 53,91 Euro","11.10.2022, 14:04",dpa-AFX,https://www.onvista.de/news/2022/10-11-analyse-flash-berenberg-belaesst-qiagen-auf-buy-ziel-53-91-euro-10-26050941,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Qiagen nach neuerlichen Fusionsgerüchten auf ""Buy"" mit einem Kursziel von 53,91 Euro belassen. Ein mögliches Zusammengehen mit dem US-Branchenkollegen Bio Rad Laboratories wäre für beide Seiten sinnvoll, schrieb Analyst Odysseas Manesiotis in einer am Dienstag vorliegenden Studie. Allerdings seien kartellrechtliche Bedenken wegen einiger Überschneidungen möglich. Auch fehlten bislang finanzielle Informationen - damit sei nicht klar, ob nach der am Widerstand der Aktionäre vor einigen Jahren gescheiterten Übernahme durch den US-Konzern Thermo Fisher ein Deal diesmal vorteilhaft für die Anleger sei./tav/gl
Veröffentlichung der Original-Studie: 11.10.2022 / 06:03 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: Oddo BHF senkt Qiagen auf 'Neutral' - Ziel runter auf 47 Dollar,"10.10.2022, 08:35",dpa-AFX,https://www.onvista.de/news/2022/10-10-analyse-flash-oddo-bhf-senkt-qiagen-auf-neutral-ziel-runter-auf-47-dollar-10-26050220,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Oddo BHF hat Qiagen von ""Outperform"" auf ""Neutral"" abgestuft und das Kursziel von 72 auf 47 US-Dollar gesenkt. Ein starkes Geschäftsjahr 2022 dürfe nicht über gestiegene Skepsis für 2023 hinweg täuschen, schrieb Analyst Daniel Wendorff in einer am Montag vorliegenden Studie. Er rechnet beim Diagnostik-Spezialisten mit starkem Margendruck sowie hohen Investitionen in Forschung und Entwicklung./ag/tih
Veröffentlichung der Original-Studie: 07.10.2022 / 11:54 / MESZ
Erstmalige Weitergabe der Original-Studie: 10.10.2022 / 06:38 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Qiagen auf 'Buy' - Ziel 50 Euro,"16.05.2022, 13:00",dpa-AFX,https://www.onvista.de/news/2022/05-16-analyse-flash-berenberg-belaesst-qiagen-auf-buy-ziel-50-euro-10-25986357,"HAMBURG (dpa-AFX Broker) - Berenberg hat die Einstufung für Qiagen nach einer Konferenz der Privatbank auf ""Buy"" mit einem Kursziel von 50 Euro belassen. Die Nachfrage nach Diagnose-Technologie dürfte weltweit zunehmen, schrieb Analyst Odysseas Manesiotis in einer am Montag vorliegenden Branchenstudie. Bei Qiagen betreffe das unter anderem die Diagnostik für sexuell übertragbare Krankheiten wie Hepatitis C oder HIV, die während der Pandemie an Bedeutung verloren hätten./jcf/la
Veröffentlichung der Original-Studie: 13.05.2022 / 16:07 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: DZ Bank hebt Qiagen auf 'Kaufen' und fairen Wert auf 52 Euro,"17.01.2022, 09:19",dpa-AFX,https://www.onvista.de/news/2022/01-17-analyse-flash-dz-bank-hebt-qiagen-auf-kaufen-und-fairen-wert-auf-52-euro-10-324357,"FRANKFURT (dpa-AFX) - Die DZ Bank hat Qiagen von ""Halten"" auf ""Kaufen"" hochgestuft und den fairen Wert von 49 auf 52 Euro angehoben. Der vor allem wegen seines starken Covid-19-Testportfolios zu den klaren Corona-Profiteuren zählende Labordienstleister werde auch nach der Pandemie zu den Gewinnern gehören, schrieb Analyst Sven Kürten in einer am Montag vorliegenden Studie. Qiagen habe einige vielversprechende Wachstumstreiber in seinem ""sonstigen Produktportfolio"", die ab 2023 gesunde Zuwächse ermöglichen sollten./edh/ck
Veröffentlichung der Original-Studie: 17.01.2022 / 07:30 / MEZ
Erstmalige Weitergabe der Original-Studie: 17.01.2022 / 07:38 / MEZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Qiagen NV,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Qiagen auf 'Neutral',"01.12.2021, 17:08",dpa-AFX,https://www.onvista.de/news/2021/12-01-analyse-flash-goldman-belaesst-qiagen-auf-neutral-10-302643,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat Qiagen nach einem Treffen mit dem Managementteam des Diagnostikunternehmens auf ""Neutral"" belassen. Das Kursziel beträgt unverändert 53 US-Dollar. Er sei nun zuversichtlicher, dass die Firma in der Lage sein werde, seine Prognose für das Jahr 2022 von rund zwei Milliarden US-Dollar Umsatz und 2,02 US-Dollar Gewinn je Aktie zu erreichen und womöglich sogar zu übertreffen, schrieb Analyst Matthew Sykes in einer am Mittwoch vorliegenden Studie./ck/mis
Veröffentlichung der Original-Studie: 30.11.2021 / 11:18 / EST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / EST
"
Qiagen NV,Analyse,AKTIE IM FOKUS: Satz zurück bei Sartorius - Diagnostik-Werte allgemein schwach,"02.01.2023, 13:49",dpa-AFX,https://www.onvista.de/news/2023/01-02-aktie-im-fokus-satz-zurueck-bei-sartorius-diagnostik-werte-allgemein-schwach-10-26081874,"FRANKFURT (dpa-AFX) - Die Sartorius -Aktie hat zum Auftakt des neuen Jahres einen Teil der jüngsten Erholungsgewinne abgegeben. Die Papiere des Laborausrüsters rutschten am Montag als Dax -Schlusslicht um 5,2 Prozent ab, nachdem sie in den Tagen rund um Weihnachten eine Erholung um bis zu 13,5 Prozent verzeichnet hatten. Auch die Titel des ebenfalls im Dax gelisteten Diagnostik-Konzerns Qiagen sanken am ersten Handelstag des Jahres um drei Prozent.
Während das neue Börsenjahr für andere gebeutelte Sektoren wie etwa Immobilien, Automobile oder Internet-Handel ermutigend begann, bleibt die Stimmung in der Labor- und Diagnostikbranche gedämpft. Die jüngste Erholung war ohnehin nicht mehr als Ergebniskosmetik am Ende eines düsteren Börsenjahres: 2022 hatten die Sartorius-Papiere zu den schwächsten Dax-Werten gezählt, wobei das Auslaufen der Corona-Sonderkonjunktur tiefe Spuren hinterlassen hat.
Händler verwiesen am Montag auf Aussagen, dass Sartorius auch in den kommenden Jahren mit weiteren Übernahmen plant. Die Strategie mit durchschnittlich zwei Akquisitionen pro Jahr solle fortgesetzt werden, sagte Konzernchef Joachim Kreuzburg der Deutschen Presse-Agentur. Außerdem äußerte er seine Sorge, dass fehlende Arbeitskräfte künftiges Wachstum begrenzen könnten. Als markanter Kurstreiber empfanden die Börsianer die Aussagen jedoch nicht./tih/jha/
"
Qiagen NV,Analyse,"onvista Mahlzeit: Schieben ""Midterms Elections"" die Märkte weiter an? - SolarEdge, Bayer, Post und hat Nvidia ein Ass aus dem Ärmel gezogen?","08.11.2022, 15:34",onvista,https://www.onvista.de/news/2022/11-08-onvista-mahlzeit-schieben-midterms-elections-die-maerkte-weiter-an-solaredge-bayer-post-und-hat-nvidia-ein-ass-aus-dem-aermel-gezogen-19-26062214,"An dieser Stelle befindet sich externer Inhalt von Youtube als weiterführende Information zu diesem Artikel. Du kannst ihn dir über den Schalter einblenden lassen.
Nachdem der US-Zinsentscheid den Dax schon nicht aus der Ruhe gebracht hat, scheinen es die amerikanischen Zwischenwahlen auch nicht zu tun. Sie könnten allerdings Joe Biden das Leben schwerer machen, aber die Wall Street findet diese Konstellation statistisch esehen gar nicht so schlecht. Daher könnten die ""Midterms Elections"" Dow &Co  anschieben.
Einige Aktien die Montag nach US-Börsenschluss berichtet haben, könnten das auch gut gebrauchen. Lyft, Tripadvisor und Take-Two haben nach den Zahlen kräftig Federn lassen müssen.
Über den deutschen Aktienmarkt zieht ein kräftiges Zahlengewitter. Gleich 5 Titel aus dem Dax haben heute ihre Zahlen veröffentlich. Bayer, Henkel, Münchener Rück, Deutsche Post und Qiagen. 
onvista Mahlzeit: Schnell auf den Punkt informiert!
Themen der Sendung: Dax, Lyft/Uber, Take-Two, Activision, Tripadvisor, SolarEdge ,SMA Solar, Nvidia, Biontech, Bayer, MüRü, Henkel, Qiagen, Post, Tops&Flops, Schaeffler, Fraport, Manz, Elmos, Musterdepot, Cloudflare, Cliq Digital, OHB, Bird Global & Zuschauerfragen
Den Basisprospekt sowie die endgültigen Bedingungen und die Basisinformationsblätter erhalten Sie durch Klick auf das Dokumenten-Symbol. Beachten Sie auch die weiteren Hinweise zu dieser Werbung.
"
