Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Sartorius auf 'Overweight' - Ziel 405 Euro,"21.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-21-analyse-flash-jpmorgan-belaesst-sartorius-auf-overweight-ziel-405-euro-10-26178574,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Sartorius nach einem Gespräch mit Vorstandschef Joachim Kreuzburg auf ""Overweight"" mit einem Kursziel von 405 Euro belassen. Der Pharma- und Laborzulieferer rechne unverändert damit, dass Kunden gegen Ende des dritten Quartals wieder verstärkt Bestellungen aufgeben werden, schrieb Analyst Richard Vosser in einer am Donnerstag vorliegenden Studie. Die Sicht auf die Lagerbestände der Kunden sei aber immer noch eingeschränkt, wenn auch besser als im vergangenen Jahr./ck/mis
Veröffentlichung der Original-Studie: 20.09.2023 / 20:53 / BST
Erstmalige Weitergabe der Original-Studie: 21.09.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Jefferies startet Sartorius Stedim Biotech mit 'Buy',"06.09.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/09-06-analyse-flash-jefferies-startet-sartorius-stedim-biotech-mit-buy-10-26173225,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Bewertung der Papiere von Sartorius Stedim Biotech beim Kursziel von 310 Euro mit ""Buy"" aufgenommen. Der Abbau der - nach Abebben von Corona vollen - Lagerbestände im Bioprocessing-Markt dürfte im dritten Quartal weitgehend zum Abschluss kommen, schrieb Analyst James Vane-Tempest in einer am Mittwoch vorliegenden Studie. Er setzt aber beim Aufbau neuer Bestände vor allem auf die Tochter Sartorius Stedim Biotech. Sartorius-Papiere stuft er mit ""Hold"" ein./ag/mis
Veröffentlichung der Original-Studie: 05.09.2023 / 11:01 / ET
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Jefferies startet Sartorius mit 'Hold' - Ziel 345 Euro,"06.09.2023, 08:35",dpa-AFX,https://www.onvista.de/news/2023/09-06-analyse-flash-jefferies-startet-sartorius-mit-hold-ziel-345-euro-10-26173202,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Bewertung der Papiere von Sartorius bei einem Kursziel von 345 Euro mit ""Hold"" aufgenommen. Der Abbau der - nach Abebben von Corona vollen - Lagerbestände im Bioprocessing-Markt dürfte im dritten Quartal weitgehend zum Abschluss kommen, schrieb Analyst James Vane-Tempest in einer am Mittwoch vorliegenden Studie. Er setzt aber beim Aufbau neuer Bestände vor allem auf die Tochter Sartorius Stedim Biotech. In den Papieren von Sartorius selbst hält er die Laborsparte (LPS) für überbewertet./ag/mis
Veröffentlichung der Original-Studie: 05.09.2023 / 11:01 / ET
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: UBS belässt Sartorius auf 'Buy' - Ziel 470 Euro,"21.08.2023, 11:05",dpa-AFX,https://www.onvista.de/news/2023/08-21-analyse-flash-ubs-belaesst-sartorius-auf-buy-ziel-470-euro-10-26167834,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat die Einstufung für Sartorius auf ""Buy"" mit einem Kursziel von 470 Euro belassen. Es sei falsch, von den Auftragseingängen auf die Umsätze im zweiten Halbjahr zu schließen, schrieb Analyst Michael Leuchten in einer am Montag vorliegenden Studie. Über den Auftragseingang pro Quartal hinausgehend gebe der Laborzulieferer keine genaueren Einblicke in die Auftragsbücher oder den Auftragsbestand. Leuchten zufolge sind die Ziele von Sartorius für 2023 wohl nicht in Gefahr, und 2024 könnte die Umsatzentwicklung sich erholen./ajx/mis
Veröffentlichung der Original-Studie: 21.08.2023 / 05:10 / GMT
Erstmalige Weitergabe der Original-Studie: 21.08.2023 / 05:10 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Sartorius auf 405 Euro - 'Overweight',"24.07.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/07-24-analyse-flash-jpmorgan-senkt-ziel-fuer-sartorius-auf-405-euro-overweight-10-26157844,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Sartorius von 415 auf 405 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Er habe seine Umsatz- und operativen Ergebnisprognosen (Ebitda) für die Jahre bis 2027 nach den Quartalszahlen des Pharma- und Laborausrüsters sowie der Tochter Sartorius Stedim Biotech gesenkt, schrieb Analyst Richard Vosser in einer am Montag vorliegenden Studie. Der Experte sieht für die Schätzungen für 2023 und 2024 weiterhin Abwärtsrisiken, die sich nach Vorlage der Drittquartalszahlen im Oktober noch klarer herauskristallisieren sollten. Mit den Jahreszahlen dürften dann auch die mittelfristigen Unternehmensziele nach unten revidiert werden./gl/edh
Veröffentlichung der Original-Studie: 23.07.2023 / 21:02 / BST Erstmalige Weitergabe der Original-Studie: 24.07.2023 / 01:25 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Sartorius auf 'Buy' - Ziel 390 Euro,"21.07.2023, 14:20",dpa-AFX,https://www.onvista.de/news/2023/07-21-analyse-flash-berenberg-belaesst-sartorius-auf-buy-ziel-390-euro-10-26157429,"HAMBURG (dpa-AFX) - Die Privatbank Berenberg hat die Einstufung für Sartorius nach Zahlen auf ""Buy"" mit einem Kursziel von 390 Euro belassen. Nach der Gewinnwarnung im Juni sei ein schwaches zweites Quartal ausreichend antizipiert worden, schrieb Analyst Odysseas Manesiotis in einer am Freitag vorliegenden Studie. Er sieht daher nun Anzeichen von Optimismus und verwies dafür auf Aussagen von Vorstandschef Joachim Kreuzburg, der eine Auftragsbelebung im angelaufenen dritten Quartal avisiert hat. ""Wir glauben, dass Sartorius die Talsohle erreicht hat"", ergänzte er./ck/gl
Veröffentlichung der Original-Studie: 21.07.2023 / 06:36 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Sartorius auf 'Buy' - Ziel runter auf 390 Euro,"22.06.2023, 07:50",dpa-AFX,https://www.onvista.de/news/2023/06-22-analyse-flash-berenberg-hebt-sartorius-auf-buy-ziel-runter-auf-390-euro-10-26147006,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Sartorius von ""Hold"" auf ""Buy"" hochgestuft, das Kursziel aber von 448 auf 390 Euro gesenkt. ""Volatilität gibt es in beide Richtungen"", schrieb Analyst Odysseas Manesiotis in einer am Donnerstag vorliegenden Studie. Die Papiere des Pharma- und Laborzulieferers seien seit seiner Abstufung im Januar um fast ein Drittel eingebrochen. Anhaltender Abbau von Lagerbeständen sei inzwischen eingepreist, so der Experte. Gespräche mit Kunden deuteten auf eine nachlassende Belastung Ende des dritten Quartals hin. Grundsätzlich sei das Marktwachstum ohnehin stark./ag/ajx
Veröffentlichung der Original-Studie: 21.06.2023 / 16:19 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Oddo BHF senkt Sartorius auf 'Neutral' - Ziel runter auf 325 Euro,"20.06.2023, 11:47",dpa-AFX,https://www.onvista.de/news/2023/06-20-analyse-flash-oddo-bhf-senkt-sartorius-auf-neutral-ziel-runter-auf-325-euro-10-26146246,"FRANKFURT (dpa-AFX Broker) - Die Investmentbank Oddo BHF hat Sartorius von ""Outperform"" auf ""Neutral"" abgestuft und das Kursziel von 418 auf 325 Euro gesenkt. Der Abbau von Lagerbeständen ziehe sich länger hin, schrieb Analyst Oliver Metzger am Montagabend in Reaktion auf die gekappten Jahresziele des Laborausrüsters. Mit Erleichterung bei den Anlegern rechnet er nicht vor dem Bericht zum dritten Quartal./ag/ajx
Veröffentlichung der Original-Studie: 19.06.2023 / 20:00 / MESZ
Erstmalige Weitergabe der Original-Studie: 20.06.2023 / 07:36 / MESZ
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Sartorius auf 'Hold' - Ziel 448 Euro,"19.06.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/06-19-analyse-flash-berenberg-belaesst-sartorius-auf-hold-ziel-448-euro-10-26145687,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Sartorius auf ""Hold"" mit einem Kursziel von 448 Euro belassen. Die von uns bereits befürchtete Senkung der Jahresziele fällt nun auch noch massiver aus als gedacht, schrieb Analyst Odysseas Manesiotis am Montag in Reaktion auf die Meldung vom Freitagabend. Im Gespräch mit dem Management des Laborausrüsters habe sich herauskristallisiert, dass es im zweiten Quartal keine Besserung gebe, und das zweite Halbjahr wohl dem ersten entspreche. Der mittelfristigen Zuversicht werde der Markt erst trauen, wenn sich das Auftragswachstum auch in den Zahlen zeige, so Manesiotis./ag/ajx
Veröffentlichung der Original-Studie: 19.06.2023 / 05:21 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Sartorius (Vz.),Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Sartorius auf 415 Euro - 'Overweight',"19.06.2023, 08:05",dpa-AFX,https://www.onvista.de/news/2023/06-19-analyse-flash-jpmorgan-senkt-ziel-fuer-sartorius-auf-415-euro-overweight-10-26145647,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Sartorius von 480 auf 415 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Nach der Ausblicksenkung des Pharma- und Laborausrüsters sowie der Tochter Sartorius Stedim Biotech kappte Analyst Richard Vosser seine Schätzungen für Umsatz und operatives Ergebnis (Ebitda) für beide Unternehmen. Dies schrieb er in einer am Montag vorliegenden Studie. Die Erreichbarkeit der Ziele für 2025 stehe nun infrage, und die beiden Aktien dürften mit Kursverlusten von 10 bis 15 Prozent auf die Nachricht reagieren. Anlegern mit Geduld könnte das aber eine attraktive Einstiegsgelegenheit bieten./gl/ag
Veröffentlichung der Original-Studie: 19.06.2023 / 02:36 / BST Erstmalige Weitergabe der Original-Studie: 19.06.2023 / 02:43 / BST
"
