Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: Barclays startet Siemens Energy mit 'Overweight' - Ziel 19 Euro,"06.09.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/09-06-analyse-flash-barclays-startet-siemens-energy-mit-overweight-ziel-19-euro-10-26173224,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat Siemens Energy mit ""Overweight"" und einem Kursziel von 19 Euro in die Bewertung aufgenommen. Siemens Energy werde am Markt nicht angemessen gewürdigt und sei unterbewertet, schrieb Analyst Vladimir Sergievskiy in einer am Mittwoch vorliegenden Studie. Er bleibt generell skeptisch für Hersteller von Windkraftanlagen wie die Tochter Siemens Gamesa, aber ein 50-prozentiger Kursverfall in den zurückliegenden drei Monaten sei nicht gerechtfertigt./ajx/mis
Veröffentlichung der Original-Studie: 05.09.2023 / 14:48 / GMT
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 15:45 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Siemens Energy auf 'Neutral' und Ziel auf 18 Euro,"09.08.2023, 07:35",dpa-AFX,https://www.onvista.de/news/2023/08-09-analyse-flash-jpmorgan-senkt-siemens-energy-auf-neutral-und-ziel-auf-18-euro-10-26163996,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Siemens Energy von ""Overweight"" auf ""Neutral"" abgestuft und das Kursziel von 23 auf 18 Euro gesenkt. Die Erholung bei der Tochter Siemens Gamesa werde länger dauern als bisher angenommen, schrieb Analyst Akash Gupta am Dienstagabend im Nachgang des jüngsten Quartalsberichts. Er ist angesichts des auf die Energiewende ausgerichteten Portfolios von Siemens Energy zwar langfristig optimistisch. Die Wertschöpfung werde sich jedoch hinziehen, und zunächst gebe es bessere Anlagealternativen wie Alstom und Prysmian./ag/zb
Veröffentlichung der Original-Studie: 08.08.2023 / 20:20 / BST
Erstmalige Weitergabe der Original-Studie: 09.08.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: Berenberg senkt Ziel für Siemens Energy auf 25 Euro - 'Buy',"04.07.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/07-04-analyse-flash-berenberg-senkt-ziel-fuer-siemens-energy-auf-25-euro-buy-10-26151029,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat das Kursziel für Siemens Energy von 34 auf 25 Euro gekappt, die Einstufung aber auf ""Buy"" belassen. Mit einer großen und facettenreichen Gewinnwarnung habe der Energietechnik-Konzern die Anleger nach einer guten Kommunikationsphase unvorbereitet getroffen, schrieb Analyst Philip Buller in einer am Dienstag vorliegenden Studie. Es dürfte mehrere Jahre dauern, bis sich die Wahrnehmung der Aktie durch die Investoren wieder ändert. Die aktuelle Bewertung wecke aber das Interesse von Anlegern, die Potenziale und Risiken tiefergehend abwägen./tih/edh
Veröffentlichung der Original-Studie: 03.07.2023 / 16:13 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Siemens Energy auf 23 Euro - 'Overweight',"30.06.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/06-30-analyse-flash-jpmorgan-senkt-ziel-fuer-siemens-energy-auf-23-euro-overweight-10-26149922,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Siemens Energy vor Quartalszahlen von 28 auf 23 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Analyst Akash Gupta passte in einem am Freitag vorliegenden Ausblick sein Bewertungsmodell für den Energietechnikkonzern an dessen jüngste Gewinnwarnung und an seine aktualisierten Prognosen an. Für die problembehaftete Windturbinentochter Siemens Gamesa reduzierte er seine Umsatzschätzungen der Geschäftsjahre 2023/24 und 2024/25. Die Kursreaktion auf die Gewinnwarnung sei aber übertrieben./edh/tih
Veröffentlichung der Original-Studie: 29.06.2023 / 19:48 / BST
Erstmalige Weitergabe der Original-Studie: 30.06.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: UBS senkt Siemens Energy auf 'Neutral' und Ziel auf 16 Euro,"28.06.2023, 08:50",dpa-AFX,https://www.onvista.de/news/2023/06-28-analyse-flash-ubs-senkt-siemens-energy-auf-neutral-und-ziel-auf-16-euro-10-26149027,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat Siemens Energy von ""Buy"" auf ""Neutral"" abgestuft und das Kursziel von 25 auf 16 Euro gesenkt. Analystin Supriya Subramanian begründete dies am Mittwoch in ihrer Studie mit dem hohen Maß an Unsicherheit nach den jüngsten schlechten Nachrichten von der Tochter Siemens Gamesa. Sie kappte ihre operativen Ergebnisschätzungen deutlich. Nach der scharfen Kursreaktion am Markt seien die Bedenken allerdings inzwischen angemessen eingepreist./ag/zb
Veröffentlichung der Original-Studie: 28.06.2023 / 03:04 / GMT
Erstmalige Weitergabe der Original-Studie: 28.06.2023 / 03:04 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,"ANALYSE-FLASH: Goldman senkt Ziel für Siemens Energy auf 25,90 Euro - 'Buy'","27.06.2023, 08:49",dpa-AFX,https://www.onvista.de/news/2023/06-27-analyse-flash-goldman-senkt-ziel-fuer-siemens-energy-auf-25-90-euro-buy-10-26148587,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat das Kursziel für Siemens Energy mit Blick auf die zurückgezogene Gewinnprognose von 31,70 auf 25,90 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Die dafür verantwortlichen Qualitätsprobleme bei der Windkrafttochter Siemens Gamesa dürften den Energietechnikkonzern mehr als eine Milliarde Euro kosten, was ein Rückschlag in der Aufwertungsgeschichte der Aktie sei, schrieb Analyst Ajay Patel in einer am Dienstag vorliegenden Studie. Er senkte seine Schätzungen. Die negative Kursreaktion sei indes übertrieben - vom aktuellen Niveau aus habe Siemens Energy 23 Prozent Luft nach oben, selbst wenn man den Wert von Siemens Gamesa mit null ansetze./gl/tih
Veröffentlichung der Original-Studie: 26.06.2023 / 20:54 / BST Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,"ANALYSE-FLASH: Jefferies senkt Siemens Energy auf 'Hold' und Ziel auf 16,50 Euro","26.06.2023, 08:20",dpa-AFX,https://www.onvista.de/news/2023/06-26-analyse-flash-jefferies-senkt-siemens-energy-auf-hold-und-ziel-auf-16-50-euro-10-26148119,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat Siemens Energy von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 25,00 auf 16,50 Euro gesenkt. Siemens Gamesa habe dem Energietechnikkonzern den Wind aus den Segeln genommen, schrieb Analyst Simon Toennessen in einer am Montag vorliegenden Studie. Nachdem Siemens Energy wegen der Probleme der Windkrafttochter seine Jahresziele kassiert hatte, geht der Experte bei Siemens Gamesa von zwei Verlustjahren aus. Der Mutterkonzern, für den der Anlagehintergrund ansonsten ordentlich aussehe, könnte auf Jahre hinaus damit beschäftigt sein, die finanziellen Auswirkungen der technischen Probleme bei Siemens Gamesa zu ergründen. Deshalb bleibe er mit Blick auf die Aktie erst einmal an der Seitenlinie, begründete Toennessen das neue Anlagevotum./gl/tih
Veröffentlichung der Original-Studie: 25.06.2023 / 16:03 / ET Erstmalige Weitergabe der Original-Studie: 25.06.2023 / 19:01 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,"ANALYSE-FLASH: Goldman belässt Siemens Energy auf 'Buy' - Ziel 31,70 Euro","23.06.2023, 09:06",dpa-AFX,https://www.onvista.de/news/2023/06-23-analyse-flash-goldman-belaesst-siemens-energy-auf-buy-ziel-31-70-euro-10-26147518,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Siemens Energy auf ""Buy"" mit einem Kursziel von 31,70 Euro belassen. Neue Probleme bei der Tochter Siemens Gamesa schöben eine dunkle Wolke vor die Neubewertungsstory des Energietechnikkonzerns, schrieb Analyst Ajay Patel am Donnerstagabend in einer ersten Reaktion auf die zurückgezogenen Ergebnisprognosen. Die Meldung wertet er ""klar negativ""./ag/ajx
Veröffentlichung der Original-Studie: 22.06.2023 / 21:47 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: JPMorgan belässt Siemens Energy auf 'Overweight' - Ziel 25 Euro,"28.03.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/03-28-analyse-flash-jpmorgan-belaesst-siemens-energy-auf-overweight-ziel-25-euro-10-26114892,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat die Einstufung für Siemens Energy auf ""Overweight"" mit einem Kursziel von 25 Euro belassen. Die Papiere böten eine der günstigsten Möglichkeiten, auf das Wachstum von Windenergie von See zu setzen, schrieb Analyst Akash Gupta in einer am Dienstag vorliegenden Studie./ag/la
Veröffentlichung der Original-Studie: 27.03.2023 / 19:00 / BST
Erstmalige Weitergabe der Original-Studie: 28.03.2023 / 00:17 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Energy,Aktieneinstufung,ANALYSE-FLASH: BofA nimmt Siemens Energy mit 'Buy' wieder auf - Ziel 24 Euro,"15.02.2023, 16:05",dpa-AFX,https://www.onvista.de/news/2023/02-15-analyse-flash-bofa-nimmt-siemens-energy-mit-buy-wieder-auf-ziel-24-euro-10-26098595,"NEW YORK (dpa-AFX) - Die US-Investmentbank Bank of America (BofA) hat Siemens Energy mit ""Buy"" und einem Kursziel von 24 Euro in die Bewertung wieder aufgenommen. Analyst Alexander Virgo begründete seine optimistische Einschätzung mit der guten Positionierung des Energietechnik-Konzerns für die Klimaschutz-Programme in den USA und Europa. Wie er in einer am Mittwoch vorliegenden Studie schrieb, glaubt er, dass Siemens Energy das Schlimmste hinter sich hat./tih/ck
Veröffentlichung der Original-Studie: 15.02.2023 / 01:27 / EST Erstmalige Weitergabe der Original-Studie: 15.02.2023 / 01:27 / EST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
