Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: HSBC hebt Siemens Healthineers auf 'Buy' - Ziel 56 Euro,"05.09.2023, 13:05",dpa-AFX,https://www.onvista.de/news/2023/09-05-analyse-flash-hsbc-hebt-siemens-healthineers-auf-buy-ziel-56-euro-10-26172923,"LONDON (dpa-AFX Broker) - Die britische Investmentbank HSBC hat Siemens Healthineers von ""Hold"" auf ""Buy"" hochgestuft, das Kursziel aber von 57 auf 56 Euro gesenkt. Nach dem trägen Start ins Geschäftsjahr 2023 sollte sich die Auftragslage des Medizintechnikkonzerns bald verbessern, schrieb Analystin Sezgi Oezener in einer am Dienstag vorliegenden Studie. Daher und wegen der zuletzt schwachen Kursentwicklung erscheint ihr eine Kaufempfehlung angemessen./mis/ajx
Veröffentlichung der Original-Studie: 04.09.2023 / 13:06 / GMT
Erstmalige Weitergabe der Original-Studie: 05.09.2023 / 01:00 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Ziel für Siemens Healthineers - 'Overweight',"03.08.2023, 10:04",dpa-AFX,https://www.onvista.de/news/2023/08-03-analyse-flash-jpmorgan-senkt-ziel-fuer-siemens-healthineers-overweight-10-26162125,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Siemens Healthineers nach Quartalszahlen von 70,80 auf 63,70 Euro gesenkt, aber die Einstufung auf ""Overweight"" belassen. Die geringere Ertragsqualität des Medizintechnikkonzerns dürfte wohl zu keiner Steigerung der Bewertungsmultiplikatoren führen, schrieb Analyst David Adlington in einer am Donnerstag vorliegenden Studie. Er reduzierte seine Prognosen auf bereinigter Basis./edh/mis
Veröffentlichung der Original-Studie: 02.08.2023 / 20:57 / BST
Erstmalige Weitergabe der Original-Studie: 03.08.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Siemens Healthineers auf 'Hold' - Ziel 49 Euro,"02.08.2023, 09:49",dpa-AFX,https://www.onvista.de/news/2023/08-02-analyse-flash-jefferies-belaesst-siemens-healthineers-auf-hold-ziel-49-euro-10-26161620,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für die Aktien des Medizintechnikkonzerns Siemens Healthineers auf ""Hold"" mit einem Kursziel von 49 Euro belassen. Die Ergebnisse des dritten Geschäftsquartals seien durchwachsen, schrieb Analyst James Vane-Tempest am Mittwoch in seiner ersten Reaktion. Enttäuschende Resultate beim Krebsspezialisten Varian und ein schwacher Auftragseingang überschatteten die starke Entwicklung im Bereich Bildgebung und das ordentliche Abschneiden in der Diagnostik./ag/la
Veröffentlichung der Original-Studie: 02.08.2023 / 02:05 / ET
Erstmalige Weitergabe der Original-Studie: 02.08.2023 / 02:05 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Siemens Healthineers auf 'Buy' - Ziel 58 Euro,"02.06.2023, 10:50",dpa-AFX,https://www.onvista.de/news/2023/06-02-analyse-flash-berenberg-belaesst-siemens-healthineers-auf-buy-ziel-58-euro-10-26140138,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Siemens Healthineers nach einer Branchenkonferenz in Rom auf ""Buy"" mit einem Kursziel von 58 Euro belassen. Das neue System Atellica CI 1900 des Meizintechnikunternehmens für Labore mit geringem bis mittlerem Probenvolumen habe im Wettbewerb mit der Konkurrenz etliche Vorteile, schrieb Analyst Odysseas Manesiotis in einer am Freitag vorliegenden Branchenstudie. Er bleibe für dessen kommerzielle Zugkraft aber vorsichtig, bevor es das Anwendungsspektrum des originalen Atellica-Systems erreiche./gl/la
Veröffentlichung der Original-Studie: 01.06.2023 / 16:47 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: UBS hebt Ziel für Siemens Healthineers auf 61 Euro - 'Buy',"24.05.2023, 13:50",dpa-AFX,https://www.onvista.de/news/2023/05-24-analyse-flash-ubs-hebt-ziel-fuer-siemens-healthineers-auf-61-euro-buy-10-26136894,"ZÜRICH (dpa-AFX Broker) - Die Schweizer Großbank UBS hat das Kursziel für Siemens Healthineers (SHL) mit Blick auf die US-Tochter Varian von 60 auf 61 Euro angehoben und die Einstufung auf ""Buy"" belassen. Der bei dem Strahlenspezialisten Varian verstärkte Einsatz der Computertomographie-Technologie anstelle der Magnetresonanz-Technologie, für die sich andere Unternehmen entschieden hätten, dürfte eine erfolgreiche Strategie sein, schrieb Analyst Graham Doyle in einer am Mittwoch vorliegenden Studie. Dabei verwies er auf die Skalierbarkeit und auch auf die Fähigkeit von Siemens Healthineers, Einschränkungen in der Bildqualität auszugleichen./ck/tih
Veröffentlichung der Original-Studie: 23.05.2023 / 16:43 / GMT
Erstmalige Weitergabe der Original-Studie: 23.05.2023 / 16:43 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Ziel für Siemens Healthineers an - 'Overweight',"11.05.2023, 09:03",dpa-AFX,https://www.onvista.de/news/2023/05-11-analyse-flash-jpmorgan-hebt-ziel-fuer-siemens-healthineers-an-overweight-10-26132103,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Siemens Healthineers nach Quartalszahlen des Medizintechnikkonzerns von 67,20 auf 70,80 Euro angehoben und die Einstufung auf ""Overweight"" belassen. Wegen der verbesserungsfähigen Berichterstattung zur Auftragsentwicklung, des schwachen Diagnostikgeschäfts und Corindus werde nicht über die positiven Aspekte des Zwischenberichts wie die Fortschritte im Kerngeschäft sowie das Wachstum im Bereich bildgebende Verfahren sowie bei Varian gesprochen, schrieb Analyst David Adlington in einer am Donnerstag vorliegenden Studie. Zum neuen Kursziel verwies er auf den weiter in die Zukunft verschobenen Bewertungszeitraum für die Aktie./gl/bek
Veröffentlichung der Original-Studie: 10.05.2023 / 20:22 / BST
Erstmalige Weitergabe der Original-Studie: 11.05.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: Barclays belässt Siemens Healthineers auf 'Overweight',"10.05.2023, 14:16",dpa-AFX,https://www.onvista.de/news/2023/05-10-analyse-flash-barclays-belaesst-siemens-healthineers-auf-overweight-10-26131643,"LONDON (dpa-AFX) - Die britische Investmentbank Barclays hat die Einstufung für Siemens Healthineers nach Zahlen sowie Aussagen des Managements auf ""Overweight"" mit einem Kursziel von 63 Euro belassen. Analyst Hassan Al-Wakeel verwies in einer am Mittwoch vorliegenden Studie zum einen auf die Schwäche der Diagnostik-Sparte und die Abschreibungen im Bereich Advanced Therapies. Er hob aber unter anderem positiv hervor, dass das Management weiterhin zuversichtlich sei, was die Investitionsbereitschaft der Krankenhäuser und ihre Fähigkeit, Marktanteile zu gewinnen, betreffe. Längerfristig gesehen bleibt Al-Wakeel positiv gestimmt für die Aktie des Medizintechnik-Unternehmens und sieht es weiterhin auf einem guten Weg, um weitere Marktanteile zu gewinnen./ck/gl
Veröffentlichung der Original-Studie: 10.05.2023 / 08:57 / GMT
Erstmalige Weitergabe der Original-Studie: 10.05.2023 / 08:57 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: Bernstein nimmt Siemens Healthineers mit 'Outperform' wieder auf,"07.03.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/03-07-analyse-flash-bernstein-nimmt-siemens-healthineers-mit-outperform-wieder-auf-10-26106265,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat Siemens Healthineers mit ""Outperform"" und einem Kursziel von 58 Euro wieder in die Bewertung aufgenommen. Im Rahmen der wieder aufgenommenen Beobachtung der europäischen Medizintechnikbranche nannte Analystin Lisa Bedell Clive Smith & Nephew als ihren bevorzugten Titel. Siemens Healthineers sei ein Anbieter hochwertiger Geräte, der von etlichen der wichtigsten Branchentrends weltweit profitiere, heißt es in einer am Dienstag vorliegenden Studie. Der hohe Auftragsbestand, Preiserhöhungen und ein beeindruckendes Kostenmanagement sollten zu einem starken Gewinnwachstum führen./gl/mis
Veröffentlichung der Original-Studie: 06.03.2023 / 22:22 / UTC Erstmalige Weitergabe der Original-Studie: 07.03.2023 / 05:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: Jefferies senkt Ziel für Siemens Healthineers auf 49 Euro,"06.02.2023, 10:07",dpa-AFX,https://www.onvista.de/news/2023/02-06-analyse-flash-jefferies-senkt-ziel-fuer-siemens-healthineers-auf-49-euro-10-26094460,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Siemens Healthineers nach Zahlen von 50 auf 49 Euro gesenkt und die Einstufung auf ""Hold"" belassen. Wegen des rückläufigen Diagnostikgeschäfts habe er seine Schätzungen für diese Sparte des Medizintechnikkonzerns gesenkt, schrieb Analyst James Vane-Tempest in einer am Montag vorliegenden Studie. Das Wachstum des Unternehmens erhöhe den Druck auf die zweite Hälfte des Geschäftsjahres, die Ziele zu erreichen. Trotz eines positiven Sondereffekts sehe das Management das Ergebnis (EPS) nun eher am unteren Ende der Zielspanne./gl/zb
Veröffentlichung der Original-Studie: 03.02.2023 / 09:07 / ET Erstmalige Weitergabe der Original-Studie: 05.02.2023 / 19:00 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Siemens Healthineers,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Ziel für Siemens Healthineers - 'Overweight',"03.02.2023, 09:03",dpa-AFX,https://www.onvista.de/news/2023/02-03-analyse-flash-jpmorgan-hebt-ziel-fuer-siemens-healthineers-overweight-10-26093763,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat das Kursziel für Siemens Healthineers nach Zahlen für das erste Geschäftsuartal von 62,10 auf 67,20 Euro angehoben und die Einstufung auf ""Overweight"" belassen. Insgesamt habe der Medizintechnikkonzern zwar die Erwartungen etwas verfehlt, das werde aber durch die starke Auftragsentwicklung wettgemacht, schrieb Analyst David Adlington in einer am Freitag vorliegenden Studie. Zudem dürften die Gewinnmargen im zweiten Geschäftshalbjahr sowie mit Blick auf das Geschäftsjahr 2023/24 anziehen./mis/men
Veröffentlichung der Original-Studie: 02.02.2023 / 21:55 / GMT
Erstmalige Weitergabe der Original-Studie: 03.02.2023 / 00:15 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
