Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Symrise,Aktieneinstufung,ANALYSE-FLASH: Berenberg belässt Symrise auf 'Buy' - Ziel 124 Euro,"15.09.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/09-15-analyse-flash-berenberg-belaesst-symrise-auf-buy-ziel-124-euro-10-26176554,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat die Einstufung für Symrise nach einer Branchenkonferenz auf ""Buy"" mit einem Kursziel von 124 Euro belassen. Alle Unternehmen hätten von einem weiteren Lagerbestandsabbau entlang der Wertschöpfungskette gesprochen, der sich hier und da aber dem Ende nähern könnte, schrieb Analystin Samantha Darbyshire in einer am Freitag vorliegenden Studie. Mit Blick auf die Kosten werde 2024 Entspannung erwartet. Mit Blick auf den Duftstoff- und Aromenhersteller Symrise erklärte die Analystin, dass das Unternehmen sich in der Vergangenheit vor allem auf das Wachstum konzentriert habe, aktuell aber erst einmal auch eine Erholung der Profitabilität im Fokus stehe. Die Analystin geht davon aus, dass dies gelingt./mis/la
Veröffentlichung der Original-Studie: 14.09.2023 / 17:05 / GMT Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Bernstein hebt Ziel für Symrise auf 107 Euro - 'Market-Perform',"17.08.2023, 13:16",dpa-AFX,https://www.onvista.de/news/2023/08-17-analyse-flash-bernstein-hebt-ziel-fuer-symrise-auf-107-euro-market-perform-10-26166924,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat das Kursziel für Symrise von 102 auf 107 Euro angehoben und die Einstufung auf ""Market-Perform"" belassen. Analyst Gunther Zechmann beleuchtet in der am Donnerstag vorliegenden Branchenstudie zu globalen, auf die Konsumgüterbranche ausgerichteten Chemieunternehmen deren Wachstum aus eigener Kraft. Im zweiten Quartal hätten rückläufige Verkaufsvolumina belastet, wobei Symrise erneut Wachstumsführer gewesen sei. Für das vierte Quartal deute sich allgemein eine leichte Absatzbelebung an. Für den Hersteller von Aromen und Duftstoffen könnte aber das Schlimmste noch nicht vorbei sein, auch wenn er ein qualitativ hochwertiges Geschäft habe./ck/mis
Veröffentlichung der Original-Studie: 16.08.2023 / 17:51 / UTC
Erstmalige Weitergabe der Original-Studie: 17.08.2023 / 04:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Symrise auf 'Buy' - Ziel 120 Euro,"02.08.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/08-02-analyse-flash-jefferies-belaesst-symrise-auf-buy-ziel-120-euro-10-26161611,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat die Einstufung für Symrise auf ""Buy"" mit einem Kursziel von 120 Euro belassen. Analyst Charlie Bentley rechnet am Mittwoch nach dem Quartalsbericht mit einer leicht negativen Kursreaktion. Das Wachstum des Aromenherstellers aus eigener Kraft habe in beiden Geschäftsbereichen unter den Erwartungen gelegen. Trotz besserer Marge habe auch das operative Ergebnis (Ebitda) etwas enttäuscht./ag/la
Veröffentlichung der Original-Studie: 02.08.2023 / 02:02 / ET
Erstmalige Weitergabe der Original-Studie: 02.08.2023 / 02:02 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Goldman senkt Symrise auf 'Neutral' und Ziel auf 97 Euro,"03.07.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/07-03-analyse-flash-goldman-senkt-symrise-auf-neutral-und-ziel-auf-97-euro-10-26150562,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat Symrise von ""Buy"" auf ""Neutral"" abgestuft und das Kursziel von 115 auf 97 Euro gesenkt. Analystin Georgina Fraser begründete ihr neues Votum für die Aktie des Aromen- und Duftstoffherstellers mit dem unterschätzten Gegenwind im Bereich Tiernahrung. Zudem habe sie ihre Prognosen für die Branche um durchschnittlich 4 Prozent reduziert, da sie die bislang erwartete Markterholung im vierten Quartal aus ihren Schätzungen herausnehme, schrieb die Expertin in einer am Montag vorliegenden Studie./edh/ag
Veröffentlichung der Original-Studie: 03.07.2023 / 05:41 / BST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Symrise auf 'Positive Catalyst Watch',"26.06.2023, 09:35",dpa-AFX,https://www.onvista.de/news/2023/06-26-analyse-flash-jpmorgan-setzt-symrise-auf-positive-catalyst-watch-10-26148174,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat der Aktie von Symrise den Status ""Positive Catalyst Watch"" verliehen. Damit brachte Analyst Edward Hockin in einer am Montag vorliegenden Studie seine positiven Erwartungen für die am 2. August anstehenden Zahlen zum Ausdruck. Die fundamentale Einstufung lautet weiterhin ""Overweight"" mit einem Kursziel von 123 Euro. Die Aktie des Aromen- und Duftstoffherstellers biete angesichts der Kursverluste seit Mai eine attraktive Einstiegsgelegenheit, da das erste Halbjahr beruhigend verlaufen sein sollte. Trotz der jüngsten Gewinnwarnungen der Spezialchemieunternehmen Croda und Lanxess erschienen die Risiken für die diesjährigen Gewinnerwartungen überschaubar./gl/tih
Veröffentlichung der Original-Studie: 23.06.2023 / 20:42 / BST Erstmalige Weitergabe der Original-Studie: 26.06.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Deutsche Bank senkt Symrise auf 'Hold' - Ziel gesenkt auf 96 Euro,"12.06.2023, 13:28",dpa-AFX,https://www.onvista.de/news/2023/06-12-analyse-flash-deutsche-bank-senkt-symrise-auf-hold-ziel-gesenkt-auf-96-euro-10-26143158,"FRANKFURT (dpa-AFX Broker) - Deutsche Bank Research hat Symrise von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 122 auf 96 Euro gesenkt. Der Duftstoff- und Aromenhersteller wachse nun langsamer, wenngleich das Produktportfolio strategisch sehr wertvoll sei, schrieb Analystin Virginie Boucher-Ferte in einer am Montag vorliegenden Studie./ajx/mis
Veröffentlichung der Original-Studie: 12.06.2023 / Uhrzeit in Studie nicht angegeben / CET Erstmalige Weitergabe der Original-Studie: 12.06.2023 / 06:59 / CET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Goldman senkt Ziel für Symrise auf 115 Euro - 'Buy',"07.06.2023, 09:20",dpa-AFX,https://www.onvista.de/news/2023/06-07-analyse-flash-goldman-senkt-ziel-fuer-symrise-auf-115-euro-buy-10-26141670,"NEW YORK (dpa-AFX) - Die US-Investmentbank Goldman Sachs hat das Kursziel für die Aktie des Duftstoff- und Aromenherstellers Symrise von 117 auf 115 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Die Erholung der Branche im zweiten Halbjahr dürfte schwächer ausfallen als gedacht und sich zudem verzögern, schrieb Analystin Georgina Fraser in einer am Mittwoch vorliegenden Studie. Im zweiten Quartal belaste außerdem der Lagerbestandsabbau./ajx/mis
Veröffentlichung der Original-Studie: 06.06.2023 / 21:26 / BST Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank hebt Ziel für Symrise auf 117 Euro - 'Add',"26.04.2023, 16:05",dpa-AFX,https://www.onvista.de/news/2023/04-26-analyse-flash-baader-bank-hebt-ziel-fuer-symrise-auf-117-euro-add-10-26126020,"MÜNCHEN (dpa-AFX) - Die Baader Bank hat das Kursziel für Symrise nach Quartalszahlen von 105 auf 117 Euro angehoben und die Einstufung auf ""Add"" belassen. Mit dem ausgewiesenen starken Wachstum im ersten Quartal würden die Nachrichten für den Aromen- und Duftstoffhersteller wieder positiver, schrieb Analyst Andreas von Arx in einer am Mittwoch vorliegenden Studie. Den wahren Test, ob Symrise wieder in der Spur ist, gebe es aber erst mit den Zahlen für das erste Halbjahr und dann auch mit Meldungen zur Profitabilität. Von Arx bleibt auf Zwölfmonatssicht positiv gestimmt./ajx/ck
Veröffentlichung der Original-Studie: 26.04.2023 / 14:37 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: JPMorgan hebt Symrise auf 'Overweight' - Ziel 115 Euro,"06.04.2023, 09:02",dpa-AFX,https://www.onvista.de/news/2023/04-06-analyse-flash-jpmorgan-hebt-symrise-auf-overweight-ziel-115-euro-10-26118741,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat Symrise von ""Neutral"" auf ""Overweight"" hochgestuft und das Kursziel von 110 auf 115 Euro angehoben. Bei Herstellern von Duftstoffen und Aromen sei eine positive Gewinntrendwende nahe, schrieb Analystin Celine Pannuti in einer am Donnerstag vorliegenden Branchenstudie. Noch dürfte der Absatz- und Margendruck andauern, ab der zweiten Jahreshälfte sollten die Verkaufszahlen sich aber erholen. Zugleich lasse der inflationsgetriebene Kostendruck nach, was gut für die Gewinnmargen sei. Zudem: Die Unternehmen setzten auch auf Effizienzmaßnahmen, um dem Kostendruck zu begegnen./mis/bek
Veröffentlichung der Original-Studie: 05.04.2023 / 21:08 / BST
Erstmalige Weitergabe der Original-Studie: 06.04.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank senkt Ziel für Symrise auf 105 Euro - 'Add',"13.03.2023, 13:20",dpa-AFX,https://www.onvista.de/news/2023/03-13-analyse-flash-baader-bank-senkt-ziel-fuer-symrise-auf-105-euro-add-10-26108668,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat das Kursziel für Symrise von 112 auf 105 Euro gesenkt und die Einstufung auf ""Add"" belassen. Der Duftstoff- und Aromenhersteller habe einen vorsichtigen Ausblick auf das erste Halbjahr 2023 gegeben, schrieb Analyst Andreas von Arx in einer am Montag vorliegenden Studie. Er reduzierte seine Gewinnprognosen (bereinigtes EPS) für die Jahre 2023 und 2024./edh/ag
Veröffentlichung der Original-Studie: 13.03.2023 / 11:41 / CET
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Symrise auf 'Add' - Ziel 112 Euro,"08.03.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/03-08-analyse-flash-baader-bank-belaesst-symrise-auf-add-ziel-112-euro-10-26106923,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat die Einstufung für Symrise nach Zahlen auf ""Add"" mit einem Kursziel von 112 Euro belassen. Der Ausblick für die Margenentwicklung im laufenden Jahr sei zurückhaltend, schrieb Analyst Andreas von Arx in einer am Mittwoch vorliegenden Studie. Daher müsse der Duftstoff - und Aromenhersteller zunächst die Anleger mit wieder bessere Ergebnissen auf den Geschmack bringen. Die Untersuchungen der Branche durch Wettbewerbsbehörden auf Preisabsprachen hin sei ein weiterer Belastungsfaktor. Langfristig gestalteten sich die Aussichten dagegen gut./mf/mis
Veröffentlichung der Original-Studie: 08.03.2023 / 08:32 / CET
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank streicht Symrise von 'Top Stock Ideas'-Liste - 'Add',"25.01.2023, 10:58",dpa-AFX,https://www.onvista.de/news/2023/01-25-analyse-flash-baader-bank-streicht-symrise-von-top-stock-ideas-liste-add-10-26090120,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat die Aktie des Duftstoff- und Aromaherstellers Symrise von ihrer Auswahlliste ""Top Stock Ideas"" gestrichen. Dies begründete das Analystenteam um Gerhard Schwarz in einer am Mittwoch vorliegenden Studie mit dem Hinweis, dass anderswo bessere Investmentchancen bestünden. Die Einstufung wurde auf ""Add"" mit einem Kursziel von 112 Euro belassen./edh/ajx
Veröffentlichung der Original-Studie: 24.01.2023 / 14:30 / CET
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank senkt Ziel für Symrise auf 112 Euro - 'Add',"24.01.2023, 14:37",dpa-AFX,https://www.onvista.de/news/2023/01-24-analyse-flash-baader-bank-senkt-ziel-fuer-symrise-auf-112-euro-add-10-26089740,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat das Kursziel für Symrise von 120 auf 112 Euro gesenkt, aber die Einstufung auf ""Add"" belassen. Die unerwartet niedrige Profitabilität im Jahr 2022 sei für Investoren eine kalte Dusche, schrieb Analyst Andreas von Arx in einer am Dienstag vorliegenden Studie. Gründe dafür könnten eine schwächere Verbrauchernachfrage, steigende Herstellungskosten oder sinkende Lagerbestände sein. Der Experte wartet nun auf weitere Details anlässlich der Präsentation vollständiger Zahlen im März. Seine Schätzungen für das operative Ergebnis (Ebitda) von 2022 bis 2024 senkte er um zwei bis drei Prozent pro Jahr. Ungeachtet der jüngsten Gewinnwarnung bekräftigte er aber seine langfristig positive Haltung für das Papier des Duftstoff- und Aromenherstellers./ajx/edh
Veröffentlichung der Original-Studie: 24.01.2023 / 09:13 / CET
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Goldman belässt Symrise auf 'Neutral' - Ziel 114 Euro,"23.01.2023, 11:24",dpa-AFX,https://www.onvista.de/news/2023/01-23-analyse-flash-goldman-belaesst-symrise-auf-neutral-ziel-114-euro-10-26089165,"NEW YORK (dpa-AFX Broker) - Die US-Investmentbank Goldman Sachs hat die Einstufung für Symrise auf ""Neutral"" mit einem Kursziel von 114 Euro belassen. Der Duftstoff- und Aromenhersteller habe mit den vorläufigen Zahlen beim Umsatzwachstum ihren Erwartungen entsprochen, bei den Margen aber erheblich darunter gelegen, schrieb Analystin Georgina Fraser in einer am Montag vorliegenden Studie. Es sei an dieser Stelle unklar, ob dies unternehmensspezifische Gründe habe oder marktgetrieben sei. Die Gewinnerwartungen des Marktes dürften nun sinken. Konkurrent Givaudan könnte nun mit Blick auf die in Kürze erwarteten Jahreszahlen der Schweizer ebenfalls unter Druck geraten./ajx/mis
Veröffentlichung der Original-Studie: 20.01.2023 / 18:31 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Jefferies senkt Ziel für Symrise auf 120 Euro - 'Buy',"23.01.2023, 11:22",dpa-AFX,https://www.onvista.de/news/2023/01-23-analyse-flash-jefferies-senkt-ziel-fuer-symrise-auf-120-euro-buy-10-26089168,"NEW YORK (dpa-AFX Broker) - Das Analysehaus Jefferies hat das Kursziel für Symrise nach vorläufigen Jahreszahlen sowie einer Gewinnwarnung von 125 auf 120 Euro gesenkt, aber die Einstufung auf ""Buy"" belassen. Analyst Charlie Bentley senkte in einer am Montag vorliegenden Studie seine operativen Ergebnisschätzungen (Ebitda) für den Aromen- und Duftstoffhersteller um vier Prozent. Symrise dürfte zwar im ersten Halbjahr unter der mittelfristigen Unternehmenszielspanne für die Margen bleiben, diese auf Jahressicht aber erreichen, glaubt der Experte. Dazu habe Symrise im Sektor das höchste Potenzial durch Zukäufe./gl/ajx
Veröffentlichung der Original-Studie: 22.01.2023 / 12:25 / ET Erstmalige Weitergabe der Original-Studie: 22.01.2023 / 12:25 / ET
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Symrise auf 'Add' - Ziel 120 Euro,"23.01.2023, 11:22",dpa-AFX,https://www.onvista.de/news/2023/01-23-analyse-flash-baader-bank-belaesst-symrise-auf-add-ziel-120-euro-10-26089169,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat Symrise nach vorläufigen Zahlen für 2022 und einer Gewinnwarnung auf ""Add"" mit einem Kursziel von 120 Euro belassen. Bislang sei die Aktie am Markt positiv gesehen worden, und man habe den Duftstoff- und Aromenhersteller auch dank seiner Ausrichtung auf Tiernahrung im Vergleich mit der Konkurrenz als besser gewappnet eingeschätzt in einem herausfordernden Umfeld, schrieb Analyst Andreas von Arx in einer am Montag vorliegenden Studie. Es müsse nun abgewartet werden, wie die Wettbewerber mit der aktuellen Lage zurechtgekommen seien. Bei Symrise jedenfalls drücke die Gewinnwarnung klar auf die Stimmung der Investoren. Der Experte geht aber davon aus, dass angesichts der Qualität des Geschäftsmodells die Gewinne sich mittelfristig wieder erholen./ajx/gl
Veröffentlichung der Original-Studie: 23.01.2023 / 08:30 / CET Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Berenberg hebt Symrise auf 'Buy' - Ziel 124 Euro,"19.01.2023, 08:49",dpa-AFX,https://www.onvista.de/news/2023/01-19-analyse-flash-berenberg-hebt-symrise-auf-buy-ziel-124-euro-10-26087988,"HAMBURG (dpa-AFX Broker) - Die Privatbank Berenberg hat Symrise von ""Hold"" auf ""Buy"" hochgestuft und das Kursziel von 115 auf 124 Euro angehoben. Analyst Fulvio Cazzol betonte in einer am Donnerstag vorliegenden Branchenstudie, der Aromen- und Duftstoffhersteller habe in seiner Nische die beste Erfolgsgeschichte aufzuweisen in Bezug auf Wachstum aus eigener Kraft. Symrise dürfte zwar 2023 nicht komplett vor Lagerbestandsabbau geschützt sein, die Nachfrage dürfte aber hoch bleiben. Die gesunkene Bewertung der Aktie hält er für eine Überreaktion./tih/ajx
Veröffentlichung der Original-Studie: 18.01.2023 / 18:13 / GMT
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Symrise,Aktieneinstufung,ANALYSE-FLASH: Jefferies belässt Symrise auf 'Buy' - Ziel 125 Euro,"02.12.2022, 12:51",dpa-AFX,https://www.onvista.de/news/2022/12-02-analyse-flash-jefferies-belaesst-symrise-auf-buy-ziel-125-euro-10-26071938,"NEW YORK (dpa-AFX) - Das Analysehaus Jefferies hat die Einstufung für Symrise auf ""Buy"" mit einem Kursziel von 125 Euro belassen. Das organische Wachstum des Aromen- und Duftstoffherstellers sei dynamischer als bei der Konkurrenz, schrieb Analyst Chris Counihan am Freitag in einem aktuellen Überblick über die europäische Chemiebranche. Den Schweizer Konkurrenten Givaudan stuft er derweil mit ""Underperform"" ein. Bei Symrise lobte er zudem die höhere Margenstabilität./ag/tav
Veröffentlichung der Original-Studie: 02.12.2022 / 06:13 / ET
Erstmalige Weitergabe der Original-Studie: 02.12.2022 / 06:13 / ET
"
