Unternehmen,Newstyp,Titel,Datum,Quelle,URL,Text
Zalando,Aktieneinstufung,ANALYSE-FLASH: Hauck Aufhäuser IB belässt Zalando auf 'Buy' - Ziel 48 Euro,"31.08.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/08-31-analyse-flash-hauck-aufhaeuser-ib-belaesst-zalando-auf-buy-ziel-48-euro-10-26171388,"HAMBURG (dpa-AFX Broker) - Hauck Aufhäuser Investment Banking hat die Einstufung für Zalando auf ""Buy"" mit einem Kursziel von 48 Euro belassen. Nachdem sich die Aktie des Online-Modehändlers in den vergangenen sechs Monaten deutlich unterdurchschnittlich entwickelt habe, biete sich potenziellen Anlegern nun eine attraktive Kaufgelegenheit, schrieb Analyst Christian Salis in einer am Donnerstag vorliegenden Studie. Zalando bleibe der unangefochtene Marktführer im europäischen Online-Modehandel. Die Größenvorteile und eine starke Bilanz sollten das Unternehmen während eines konjunkturellen Abschwungs schützen./edh/mis
Veröffentlichung der Original-Studie: 31.08.2023 / 08:20 / MESZ Erstmalige Weitergabe der Original-Studie: 31.08.2023 / 08:20 / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: Barclays senkt Ziel für Zalando auf 30 Euro - 'Equal Weight',"28.08.2023, 10:35",dpa-AFX,https://www.onvista.de/news/2023/08-28-analyse-flash-barclays-senkt-ziel-fuer-zalando-auf-30-euro-equal-weight-10-26170084,"LONDON (dpa-AFX Broker) - Die britische Investmentbank Barclays hat das Kursziel für Zalando von 32 auf 30 Euro gesenkt und die Einstufung auf ""Equal Weight"" belassen. Sie habe nach den Berichten europäischer Internetunternehmen zum zweiten Quartal ihre Schätzungen aktualisiert, schrieb Analystin Emily Johnson in einer am Montag vorliegenden Studie. Sie bleibe vorsichtig, was das Tempo einer Erholung der Bruttomarge des Modehändlers in der zweiten Jahreshälfte angehe./ck/ajx
Veröffentlichung der Original-Studie: 26.08.2023 / 15:28 / GMT
Erstmalige Weitergabe der Original-Studie: 26.08.2023 / 15:33 / GMT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: RBC belässt Zalando auf 'Outperform' - Ziel 50 Euro,"17.08.2023, 12:20",dpa-AFX,https://www.onvista.de/news/2023/08-17-analyse-flash-rbc-belaesst-zalando-auf-outperform-ziel-50-euro-10-26166884,"NEW YORK (dpa-AFX Broker) - Die kanadische Bank RBC hat die Einstufung für Zalando auf ""Outperform"" mit einem Kursziel von 50 Euro belassen. Die Fähigkeit des Online-Modehändlers, die Profitabilität trotz eines herausfordernden Umfelds steigern zu können, sei beeindruckend, schrieb Analystin Wassachon Udomsilpa in einer am Donnerstag vorliegenden Studie. Die Aktie sei attraktiv bewertet, da Zalando für eine Nachfrageerholung gut positioniert sei./edh/la
Veröffentlichung der Original-Studie: 16.08.2023 / 17:43 / EDT
Erstmalige Weitergabe der Original-Studie: 17.08.2023 / 00:45 / EDT
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: Warburg Research belässt Zalando auf 'Buy' - Ziel 55 Euro,"03.08.2023, 16:50",dpa-AFX,https://www.onvista.de/news/2023/08-03-analyse-flash-warburg-research-belaesst-zalando-auf-buy-ziel-55-euro-10-26162359,"HAMBURG (dpa-AFX Broker) - Das Analysehaus Warburg Research hat die Einstufung für Zalando nach Zahlen auf ""Buy"" mit einem Kursziel von 55 Euro belassen. Der Online-Modehändler habe trotz eines schwierigen Umfelds eine starke Marge verbucht, schrieb Analyst Jörg Frey in einer am Donnerstag vorliegenden Schnelleinschätzung. In den kommenden Jahren sollten sich die Margen noch deutlich verbessern./mf/la
Veröffentlichung der Original-Studie: 03.08.2023 / 08:15 / MESZ Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / MESZ
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: Baader Bank belässt Zalando auf 'Add' - Ziel 30 Euro,"03.08.2023, 09:50",dpa-AFX,https://www.onvista.de/news/2023/08-03-analyse-flash-baader-bank-belaesst-zalando-auf-add-ziel-30-euro-10-26162100,"MÜNCHEN (dpa-AFX Broker) - Die Baader Bank hat die Einstufung für Zalando auf ""Add"" mit einem Kursziel von 30 Euro belassen. Der Online-Händler habe im zweiten Quartal durchwachsene Ergebnisse erzielt, schrieb Analyst Volker Bosse am Donnerstag in einer ersten Reaktion. Der Mittelpunkt der präzisierten Zielspanne für das operative Ergebnis des Gesamtjahrs entspreche dem Marktkonsens./ag/la
Veröffentlichung der Original-Studie: 03.08.2023 / 07:49 / CEST
Erstmalige Weitergabe der Original-Studie: Datum in Studie nicht angegeben / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: HSBC senkt Zalando auf 'Hold' und Ziel auf 26 Euro,"03.07.2023, 13:30",dpa-AFX,https://www.onvista.de/news/2023/07-03-analyse-flash-hsbc-senkt-zalando-auf-hold-und-ziel-auf-26-euro-10-26150713,"LONDON (dpa-AFX Broker) - Die britische Investmentbank HSBC hat Zalando von ""Buy"" auf ""Hold"" abgestuft und das Kursziel von 45 auf 26 Euro gekappt. Die Umsatzdynamik des Online-Modehändlers lasse nach, schrieb Analyst Paul Rossington in einer am Montag vorliegenden Studie. Er rechnet nun 2024 mit einer geringeren Erholung des Bruttowarenvolumens (GMV) und kappte seine operativen Ergebnisschätzungen./ag/tih
Veröffentlichung der Original-Studie: 03.07.2023 / 02:53 / GMT
Erstmalige Weitergabe der Original-Studie: 03.07.2023 / Uhrzeit in Studie nicht angegeben / Zeitzone in Studie nicht angegeben
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: JPMorgan senkt Zalando-Ziel - Weiter 'Negative Catalyst Watch',"29.06.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/06-29-analyse-flash-jpmorgan-senkt-zalando-ziel-weiter-negative-catalyst-watch-10-26149490,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan bleibt in einem Ausblick auf den Quartalsbericht von Zalando kurzfristig besonders skeptisch für die Kursentwicklung. Analystin Georgina Johanan beließ den Aktien daher in der am Donnerstag vorliegenden Studie den Status ""Negative Catalyst Watch"" und senkte das Kursziel von 39 auf 32 Euro. Die Expertin rechnet mit einem rückläufigen Bruttowarenvolumen (GMV) und nur minimalen Fortschritten bei der Profitabilität - trotz nicht allzu starker Vergleichswerte. Zudem stünden hinter den mittelfristigen Wachstumsambitionen Fragezeichen. Die fundamentale Einstufung von Johanan lautet weiter ""Neutral""./ag/tih
Veröffentlichung der Original-Studie: 28.06.2023 / 23:58 / BST
Erstmalige Weitergabe der Original-Studie: 29.06.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: Bernstein belässt Zalando auf 'Underperform' - Ziel 21 Euro,"28.06.2023, 14:43",dpa-AFX,https://www.onvista.de/news/2023/06-28-analyse-flash-bernstein-belaesst-zalando-auf-underperform-ziel-21-euro-10-26149214,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Einstufung für Zalando auf ""Underperform"" mit einem Kursziel von 21 Euro belassen. Den breiten Markt zusammenführende Modehändler seien wie moderne Warenhäuser, die aber am Aussterben seien, schrieb Analyst William Woods in einer am Mittwoch vorliegenden Studie. Kunden bauten eher Beziehungen zu Marken auf als zu Plattformen wie Zalando. Bei dem reinen Online-Player komme neue Konkurrenz etwa durch den chinesischen Shein-Konzern als weitere Herausforderung hinzu. Als Ergebnis stellt der Experte infrage, ob der Modehändler seine langfristigen Ziele erreichen kann./tih/ag
Veröffentlichung der Original-Studie: 27.06.2023 / 12:46 / UTC
Erstmalige Weitergabe der Original-Studie: 28.06.2023 / 04:00 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: Bernstein startet Zalando mit 'Underperform' - Ziel 21 Euro,"15.06.2023, 13:41",dpa-AFX,https://www.onvista.de/news/2023/06-15-analyse-flash-bernstein-startet-zalando-mit-underperform-ziel-21-euro-10-26144670,"NEW YORK (dpa-AFX Broker) - Das US-Analysehaus Bernstein Research hat die Bewertung der Papiere von Zalando beim Kursziel von 21 Euro mit ""Underperform"" aufgenommen. Europäische Händler von Mode und Accessoires seien im Umbruch, da sich das Kaufverhalten ändere, schrieb Analyst William Woods in einer Branchenstudie vom Mittwochabend. Es gebe aber keine Apokalypse. Die Kapitalrendite sei absolut und auch verglichen mit anderen Konsumbereichen stark, auch wenn sie in den vergangenen fünf Jahren unter Druck geraten sei. Bei der Suche nach nachhaltigem Wachstum identifiziert Woods den Primark-Konzern AB Foods und Inditex als Outperformer. Bei Zalando geht er indes nicht davon aus, dass die langfristigen Ziele erreicht werden und hält die Aktien für teuer./ag/ajx
Veröffentlichung der Original-Studie: 14.06.2023 / 12:53 / UTC
Erstmalige Weitergabe der Original-Studie: 14.06.2023 / 15:35 / UTC
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
Zalando,Aktieneinstufung,ANALYSE-FLASH: JPMorgan setzt Zalando auf 'Negative Catalyst Watch' - 'Neutral',"05.06.2023, 09:05",dpa-AFX,https://www.onvista.de/news/2023/06-05-analyse-flash-jpmorgan-setzt-zalando-auf-negative-catalyst-watch-neutral-10-26140748,"NEW YORK (dpa-AFX Broker) - Die US-Bank JPMorgan hat den Aktien von Zalando den Status ""Negative Catalyst Watch"" gegeben. Damit brachte Analystin Georgina Johanan in einer am Montag vorliegenden Branchenstudie ihre Skepsis für die Anfang August anstehenden Geschäftszahlen des Online-Modehändlers zum Ausdruck. Ihre fundamentale Einstufung bleibt ""Neutral"". Internet-Verkehrsdaten und Indikatoren für die Markendynamik belegen der Expertin zufolge bei Zalando und Branchenkollege H&M für den Mai eine nachlassende Geschäftsdynamik in Deutschland./gl/ag
Veröffentlichung der Original-Studie: 02.06.2023 / 19:36 / BST Erstmalige Weitergabe der Original-Studie: 05.06.2023 / 00:15 / BST
-----------------------
dpa-AFX Broker - die Trader News von dpa-AFX
-----------------------
"
