Date;Kurs-Adidas;Kurs-Airbus;Kurs-Allianz;Kurs-BASF;Kurs-Bayer;Kurs-Beiersdorf;Kurs-BMW;Kurs-Brenntag;Kurs-Commerzbank;Kurs-Continental;Kurs-Covestro;Kurs-Daimler Truck;Kurs-Deutsche Bank;Kurs-Deutsche Börse;Kurs-Deutsche Telekom;Kurs-DHL;Kurs-E.ON;Kurs-Fresenius;Kurs-Hannover Rück;Kurs-HeidelbergCement;Kurs-Henkel vz.;Kurs-Infineon;Kurs-Mercedes-Benz Group;Kurs-Merck;Kurs-MTU Aero Engines;Kurs-Münchener Rück;Kurs-Porsche;Kurs-Porsche Automobil vz.;Kurs-QIAGEN;Kurs-Rheinmetall;Kurs-RWE;Kurs-SAP;Kurs-Sartorius vz.;Kurs-Siemens;Kurs-Siemens Energy;Kurs-Siemens Healthineers;Kurs-Symrise;Kurs-Volkswagen (VW) vz.;Kurs-Vonovia;Kurs-Zalando;Kursdifferenz-Adidas;Kursdifferenz-Airbus;Kursdifferenz-Allianz;Kursdifferenz-BASF;Kursdifferenz-Bayer;Kursdifferenz-Beiersdorf;Kursdifferenz-BMW;Kursdifferenz-Brenntag;Kursdifferenz-Commerzbank;Kursdifferenz-Continental;Kursdifferenz-Covestro;Kursdifferenz-Daimler Truck;Kursdifferenz-Deutsche Bank;Kursdifferenz-Deutsche Börse;Kursdifferenz-Deutsche Telekom;Kursdifferenz-DHL;Kursdifferenz-E.ON;Kursdifferenz-Fresenius;Kursdifferenz-Hannover Rück;Kursdifferenz-HeidelbergCement;Kursdifferenz-Henkel vz.;Kursdifferenz-Infineon;Kursdifferenz-Mercedes-Benz Group;Kursdifferenz-Merck;Kursdifferenz-MTU Aero Engines;Kursdifferenz-Münchener Rück;Kursdifferenz-Porsche;Kursdifferenz-Porsche Automobil vz.;Kursdifferenz-QIAGEN;Kursdifferenz-Rheinmetall;Kursdifferenz-RWE;Kursdifferenz-SAP;Kursdifferenz-Sartorius vz.;Kursdifferenz-Siemens;Kursdifferenz-Siemens Energy;Kursdifferenz-Siemens Healthineers;Kursdifferenz-Symrise;Kursdifferenz-Volkswagen (VW) vz.;Kursdifferenz-Vonovia;Kursdifferenz-Zalando
Symbol;ADS;XFRA:AIR;XFRA:ALV;XFRA:BAS;BAYN;BEI;BMW;XFRA:BNR;XFRA:CBK;CON;1COV;XFRA:DTG;DBK;DB1;XFRA:DTE;DHL;EOAN;XFRA:FME;XFRA:HNR1;XFRA:HEI;XFRA:HEN3;XFRA:IFX;XFRA:MBG;XFRA:MRK;XFRA:MTX;XFRA:MUV2;XFRA:P911;XFRA:PAH3;XFRA:QIA;XFRA:RHM;XFRA:RWE;XFRA:SAP;XFRA:SRT3;XFRA:SIE;XFRA:ENR;XFRA:SHL;XFRA:SY1;XFRA:VOW3;XFRA:VNA;XFRA:ZAL;ADS;XFRA:AIR;XFRA:ALV;XFRA:BAS;BAYN;BEI;BMW;XFRA:BNR;XFRA:CBK;CON;1COV;XFRA:DTG;DBK;DB1;XFRA:DTE;DHL;EOAN;XFRA:FME;XFRA:HNR1;XFRA:HEI;XFRA:HEN3;XFRA:IFX;XFRA:MBG;XFRA:MRK;XFRA:MTX;XFRA:MUV2;XFRA:P911;XFRA:PAH3;QGEN;XFRA:RHM;XFRA:RWE;XFRA:SAP;XFRA:SRT3;XFRA:SIE;XFRA:ENR;XFRA:SHL;XFRA:SY1;XFRA:VOW3;XFRA:VNA;XFRA:ZAL
onvista-Nr;36714349;98641;83219;34694526;25272187;81500;81490;28975512;83139;81967;12587335;208894340;81348;3459922;181029;82088;21074892;82235;182351;82340;82344;82561;82840;82676;12254991;83258;231291652;21178031;90268;82811;82818;82849;82852;82902;180455076;134397957;15630917;83057;62903083;81388537;36714349;98641;83219;34694526;25272187;81500;81490;28975512;83139;81967;12587335;208894340;81348;3459922;181029;82088;21074892;82235;182351;82340;82344;82561;82840;82676;12254991;83258;231291652;21178031;90268;82811;82818;82849;82852;82902;180455076;134397957;15630917;83057;62903083;81388537
03.01.2022;259,95;116,68;210,75;62,49;47,70;92,50;91,49;79,78;6,96;96,50;55,04;32,27;11,32;148,15;16,53;56,19;12,29;56,92;169,60;62,20;72,88;41,06;68,70;223,10;186,10;264,50;0,00;88,18;47,95;84,78;36,09;125,00;590,60;154,02;23,27;66,22;131,60;181,40;49,54;73,48;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
04.01.2022;258,60;118,62;215,45;65,24;48,43;91,28;93,98;80,64;7,30;97,37;56,00;32,49;11,67;145,85;16,57;56,80;12,19;57,20;171,15;62,16;73,42;40,50;72,18;220,80;189,15;268,10;0,00;90,16;45,35;85,52;35,77;123,84;560,80;155,38;23,59;66,32;129,60;188,00;49,12;69,96;-0,005;0,017;0,022;0,044;0,015;-0,013;0,027;0,011;0,049;0,009;0,017;0,007;0,031;-0,016;0,003;0,011;-0,008;0,005;0,009;-0,001;0,007;-0,014;0,051;-0,010;0,016;0,014;0,000;0,022;-0,054;0,009;-0,009;-0,009;-0,050;0,009;0,014;0,002;-0,015;0,036;-0,008;-0,048
05.01.2022;257,95;118,58;213,75;65,00;48,12;90,82;94,98;81,46;7,34;97,00;57,18;32,06;11,71;146,65;16,31;56,86;12,02;55,92;171,05;61,92;73,80;40,00;73,74;213,10;187,20;267,90;0,00;90,60;45,74;86,50;34,39;124,12;556,00;155,70;23,20;65,52;128,80;188,40;49,01;69,70;-0,003;0,000;-0,008;-0,004;-0,007;-0,005;0,011;0,010;0,006;-0,004;0,021;-0,013;0,003;0,005;-0,016;0,001;-0,014;-0,022;-0,001;-0,004;0,005;-0,012;0,022;-0,035;-0,010;-0,001;0,000;0,005;0,009;0,011;-0,039;0,002;-0,009;0,002;-0,017;-0,012;-0,006;0,002;-0,002;-0,004
06.01.2022;253,25;118,08;219,00;66,00;48,44;89,58;96,00;79,16;7,59;98,08;56,72;31,92;12,27;144,85;16,52;56,00;11,87;56,18;171,70;62,58;73,38;39,53;75,12;208,20;192,45;270,30;0,00;92,04;45,21;87,26;34,35;121,50;543,40;154,78;22,92;64,58;125,00;190,16;48,57;67,00;-0,018;-0,004;0,025;0,015;0,007;-0,014;0,011;-0,028;0,033;0,011;-0,008;-0,005;0,048;-0,012;0,013;-0,015;-0,012;0,005;0,004;0,011;-0,006;-0,012;0,019;-0,023;0,028;0,009;0,000;0,016;-0,012;0,009;-0,001;-0,021;-0,023;-0,006;-0,012;-0,014;-0,030;0,009;-0,009;-0,039
07.01.2022;249,35;117,80;221,20;66,20;48,82;89,30;95,76;78,90;7,91;96,52;57,40;32,17;12,40;146,05;16,23;56,00;11,85;56,38;173,10;62,32;74,06;40,17;73,92;208,70;190,35;270,65;0,00;90,22;44,57;86,82;34,37;121,60;534,80;153,00;22,62;63,64;124,75;188,78;47,40;67,24;-0,015;-0,002;0,010;0,003;0,008;-0,003;-0,002;-0,003;0,043;-0,016;0,012;0,008;0,011;0,008;-0,017;0,000;-0,002;0,004;0,008;-0,004;0,009;0,016;-0,016;0,002;-0,011;0,001;0,000;-0,020;-0,014;-0,005;0,001;0,001;-0,016;-0,012;-0,013;-0,015;-0,002;-0,007;-0,024;0,004
10.01.2022;249,40;119,06;223,40;66,33;50,21;88,52;97,61;75,62;7,56;97,20;56,46;33,50;12,16;146,90;15,68;54,50;11,86;57,74;174,45;62,76;75,56;38,90;73,40;198,50;191,75;271,70;0,00;88,90;43,74;86,48;34,81;121,64;508,60;148,60;22,31;61,52;121,60;188,86;46,88;65,76;0,000;0,011;0,010;0,002;0,028;-0,009;0,019;-0,042;-0,044;0,007;-0,016;0,041;-0,019;0,006;-0,034;-0,027;0,001;0,024;0,008;0,007;0,020;-0,031;-0,007;-0,049;0,007;0,004;0,000;-0,015;-0,019;-0,004;0,013;0,000;-0,049;-0,029;-0,014;-0,033;-0,025;0,000;-0,011;-0,022
11.01.2022;256,50;118,50;225,75;67,00;51,20;89,72;98,25;76,18;7,43;96,38;56,32;34,60;12,39;148,85;15,91;54,28;12,05;57,74;175,50;63,72;78,70;39,70;72,76;201,90;193,00;272,45;0,00;89,14;43,73;88,54;34,61;122,00;515,40;150,74;22,52;61,82;121,95;188,40;47,03;66,48;0,028;-0,005;0,011;0,010;0,020;0,014;0,007;0,007;-0,017;-0,008;-0,002;0,033;0,019;0,013;0,014;-0,004;0,015;0,000;0,006;0,015;0,042;0,020;-0,009;0,017;0,007;0,003;0,000;0,003;0,000;0,024;-0,006;0,003;0,013;0,014;0,009;0,005;0,003;-0,002;0,003;0,011
12.01.2022;253,25;118,12;226,30;67,00;51,02;90,00;97,43;78,08;7,42;94,19;55,92;34,35;12,22;150,75;16,03;54,88;11,91;57,30;178,50;64,10;79,74;39,40;73,28;203,30;191,75;274,00;0,00;89,36;43,57;87,58;35,22;122,06;509,60;152,26;22,39;61,62;121,95;188,16;47,71;65,84;-0,013;-0,003;0,002;0,000;-0,004;0,003;-0,008;0,025;-0,001;-0,023;-0,007;-0,007;-0,014;0,013;0,008;0,011;-0,012;-0,008;0,017;0,006;0,013;-0,007;0,007;0,007;-0,006;0,006;0,000;0,002;-0,004;-0,011;0,018;0,000;-0,011;0,010;-0,006;-0,003;0,000;-0,001;0,014;-0,010
