Date;Kurs-Adidas;Kurs-Airbus Group (EADS);Kurs-Allianz;Kurs-BASF;Kurs-Bayer;Kurs-Beiersdorf;Kurs-BMW;Kurs-Brenntag;Kurs-Commerzbank;Kurs-Continental;Kurs-Covestro;Kurs-Daimler Truck;Kurs-Deutsche Bank;Kurs-Deutsche Börse;Kurs-Deutsche Telekom;Kurs-DHL Group (ex Deutsche Post);Kurs-E.ON;Kurs-Fresenius;Kurs-Hannover Rück;Kurs-Heidelberg Materials;Kurs-Henkel;Kurs-Infineon;Kurs-Mercedes-Benz Group (Daimler);Kurs-Merck;Kurs-MTU Aero Engines;Kurs-Münchener Rück;Kurs-Porsche AG (Vz.);Kurs-Porsche Automobil Holding SE;Kurs-Qiagen NV;Kurs-Rheinmetall;Kurs-RWE;Kurs-SAP;Kurs-Sartorius (Vz.);Kurs-Siemens;Kurs-Siemens Energy;Kurs-Siemens Healthineers;Kurs-Symrise;Kurs-Volkswagen (Vz.);Kurs-Vonovia;Kurs-Zalando;Kursdifferenz-Adidas;Kursdifferenz-Airbus Group (EADS);Kursdifferenz-Allianz;Kursdifferenz-BASF;Kursdifferenz-Bayer;Kursdifferenz-Beiersdorf;Kursdifferenz-BMW;Kursdifferenz-Brenntag;Kursdifferenz-Commerzbank;Kursdifferenz-Continental;Kursdifferenz-Covestro;Kursdifferenz-Daimler Truck;Kursdifferenz-Deutsche Bank;Kursdifferenz-Deutsche Börse;Kursdifferenz-Deutsche Telekom;Kursdifferenz-DHL Group (ex Deutsche Post);Kursdifferenz-E.ON;Kursdifferenz-Fresenius;Kursdifferenz-Hannover Rück;Kursdifferenz-Heidelberg Materials;Kursdifferenz-Henkel;Kursdifferenz-Infineon;Kursdifferenz-Mercedes-Benz Group (Daimler);Kursdifferenz-Merck;Kursdifferenz-MTU Aero Engines;Kursdifferenz-Münchener Rück;Kursdifferenz-Porsche AG (Vz.);Kursdifferenz-Porsche Automobil Holding SE;Kursdifferenz-Qiagen NV;Kursdifferenz-Rheinmetall;Kursdifferenz-RWE;Kursdifferenz-SAP;Kursdifferenz-Sartorius (Vz.);Kursdifferenz-Siemens;Kursdifferenz-Siemens Energy;Kursdifferenz-Siemens Healthineers;Kursdifferenz-Symrise;Kursdifferenz-Volkswagen (Vz.);Kursdifferenz-Vonovia;Kursdifferenz-Zalando
Symbol;ADS;XFRA:AIR;XFRA:ALV;XFRA:BAS;BAYN;BEI;BMW;XFRA:BNR;XFRA:CBK;CON;1COV;XFRA:DTG;DBK;DB1;XFRA:DTE;DHL;EOAN;XFRA:FME;XFRA:HNR1;XFRA:HEI;XFRA:HEN3;XFRA:IFX;XFRA:MBG;XFRA:MRK;XFRA:MTX;XFRA:MUV2;XFRA:P911;XFRA:PAH3;XFRA:QIA;XFRA:RHM;XFRA:RWE;XFRA:SAP;XFRA:SRT3;XFRA:SIE;XFRA:ENR;XFRA:SHL;XFRA:SY1;XFRA:VOW3;XFRA:VNA;XFRA:ZAL;ADS;XFRA:AIR;XFRA:ALV;XFRA:BAS;BAYN;BEI;BMW;XFRA:BNR;XFRA:CBK;CON;1COV;XFRA:DTG;DBK;DB1;XFRA:DTE;DHL;EOAN;XFRA:FME;XFRA:HNR1;XFRA:HEI;XFRA:HEN3;XFRA:IFX;XFRA:MBG;XFRA:MRK;XFRA:MTX;XFRA:MUV2;XFRA:P911;XFRA:PAH3;QGEN;XFRA:RHM;XFRA:RWE;XFRA:SAP;XFRA:SRT3;XFRA:SIE;XFRA:ENR;XFRA:SHL;XFRA:SY1;XFRA:VOW3;XFRA:VNA;XFRA:ZAL
onvista-Nr;36714349;98641;83219;34694526;25272187;81500;81490;28975512;83139;81967;12587335;208894340;81348;3459922;181029;82088;21074892;82235;182351;82340;82344;82561;82840;82676;12254991;83258;231291652;21178031;90268;82811;82818;82849;82852;82902;180455076;134397957;15630917;83057;62903083;81388537;36714349,0000;98641,0000;83219,0000;34694526,0000;25272187,0000;81500,0000;81490,0000;28975512,0000;83139,0000;81967,0000;12587335,0000;208894340,0000;81348,0000;3459922,0000;181029,0000;82088,0000;21074892,0000;82235,0000;182351,0000;82340,0000;82344,0000;82561,0000;82840,0000;82676,0000;12254991,0000;83258,0000;231291652,0000;21178031,0000;90268,0000;82811,0000;82818,0000;82849,0000;82852,0000;82902,0000;180455076,0000;134397957,0000;15630917,0000;83057,0000;62903083,0000;81388537,0000
01.06.2021;298,30;108,28;217,00;67,84;51,63;96,70;89,26;78,12;6,67;125,50;58,30;0,00;12,47;134,10;17,18;55,97;9,94;65,52;144,10;75,80;94,08;33,46;65,33;147,40;212,60;237,00;0,00;97,44;39,10;85,34;31,17;114,48;401,10;135,18;26,55;46,20;108,20;235,05;52,12;90,72;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
02.06.2021;297,35;110,70;216,00;67,94;51,99;99,14;89,97;77,20;6,85;126,46;57,76;0,00;12,39;133,20;17,26;55,85;9,92;65,68;144,40;76,42;94,40;33,05;66,00;144,20;212,00;236,70;0,00;98,66;38,60;86,04;30,82;114,48;390,10;136,48;25,63;45,50;108,45;240,35;52,74;92,06;-0,0032;0,0223;-0,0046;0,0015;0,0070;0,0252;0,0080;-0,0118;0,0273;0,0076;-0,0093;0,0000;-0,0059;-0,0067;0,0045;-0,0021;-0,0019;0,0024;0,0021;0,0082;0,0034;-0,0121;0,0103;-0,0217;-0,0028;-0,0013;0,0000;0,0125;-0,0128;0,0082;-0,0112;0,0000;-0,0274;0,0096;-0,0347;-0,0152;0,0023;0,0225;0,0119;0,0148
03.06.2021;298,50;110,06;218,15;68,20;52,28;99,14;93,63;77,90;6,89;128,16;57,74;0,00;12,56;133,95;17,28;56,23;9,98;66,62;143,35;76,62;94,52;33,21;67,00;142,85;211,10;236,55;0,00;99,50;38,41;86,42;30,67;113,74;388,90;135,58;25,53;46,11;108,90;240,15;52,58;93,54;0,0039;-0,0058;0,0100;0,0038;0,0056;0,0000;0,0407;0,0091;0,0055;0,0134;-0,0003;0,0000;0,0137;0,0056;0,0010;0,0068;0,0058;0,0143;-0,0073;0,0026;0,0013;0,0047;0,0151;-0,0094;-0,0042;-0,0006;0,0000;0,0085;-0,0049;0,0044;-0,0049;-0,0065;-0,0031;-0,0066;-0,0039;0,0134;0,0041;-0,0008;-0,0030;0,0161
04.06.2021;296,55;109,92;218,25;68,46;52,58;100,45;94,25;77,40;6,75;129,22;58,20;0,00;12,35;135,00;17,30;56,71;10,04;67,52;143,10;75,78;94,40;33,33;66,63;146,75;207,30;237,45;0,00;99,28;38,55;87,20;30,91;114,38;386,80;136,14;25,35;46,68;110,30;239,85;52,92;95,88;-0,0065;-0,0013;0,0005;0,0038;0,0057;0,0132;0,0066;-0,0064;-0,0200;0,0083;0,0080;0,0000;-0,0167;0,0078;0,0015;0,0085;0,0061;0,0135;-0,0017;-0,0110;-0,0013;0,0036;-0,0055;0,0273;-0,0180;0,0038;0,0000;-0,0022;0,0036;0,0090;0,0078;0,0056;-0,0054;0,0041;-0,0071;0,0124;0,0129;-0,0012;0,0065;0,0250
07.06.2021;298,00;111,18;218,25;68,69;53,01;101,55;95,99;78,04;6,78;131,84;58,12;0,00;12,42;134,35;17,44;57,29;10,01;67,76;144,45;75,88;94,80;33,15;67,02;147,50;211,00;236,05;0,00;101,35;38,48;86,80;30,71;115,56;385,20;135,92;25,12;47,08;110,35;238,90;53,18;97,90;0,0049;0,0115;0,0000;0,0034;0,0082;0,0110;0,0185;0,0083;0,0039;0,0203;-0,0014;0,0000;0,0055;-0,0048;0,0081;0,0102;-0,0028;0,0036;0,0094;0,0013;0,0042;-0,0053;0,0059;0,0051;0,0178;-0,0059;0,0000;0,0209;-0,0018;-0,0046;-0,0065;0,0103;-0,0041;-0,0016;-0,0091;0,0086;0,0005;-0,0040;0,0049;0,0211
08.06.2021;295,55;110,88;218,65;68,30;53,03;100,45;95,70;77,56;6,75;130,54;56,48;0,00;12,31;135,15;17,37;56,90;10,06;67,66;143,05;75,14;93,68;33,08;66,33;151,65;207,80;233,95;0,00;97,20;38,50;85,00;31,20;116,42;403,50;136,10;25,33;46,82;111,40;234,25;53,90;97,60;-0,0082;-0,0027;0,0018;-0,0057;0,0004;-0,0108;-0,0030;-0,0062;-0,0034;-0,0099;-0,0282;0,0000;-0,0089;0,0060;-0,0041;-0,0068;0,0050;-0,0015;-0,0097;-0,0098;-0,0118;-0,0021;-0,0104;0,0281;-0,0152;-0,0089;0,0000;-0,0409;0,0005;-0,0207;0,0160;0,0074;0,0475;0,0013;0,0084;-0,0055;0,0095;-0,0195;0,0135;-0,0031
09.06.2021;293,65;110,88;217,40;67,65;53,07;100,40;94,43;77,40;6,65;129,10;54,64;0,00;12,00;133,35;17,42;56,58;10,09;68,26;142,15;74,26;93,10;32,97;65,80;154,15;208,00;232,10;0,00;97,22;38,50;84,50;31,01;115,08;410,20;136,14;25,35;46,90;110,80;231,15;53,88;94,10;-0,0064;0,0000;-0,0057;-0,0095;0,0008;-0,0005;-0,0133;-0,0021;-0,0147;-0,0110;-0,0326;0,0000;-0,0250;-0,0133;0,0028;-0,0056;0,0024;0,0089;-0,0063;-0,0117;-0,0062;-0,0035;-0,0080;0,0165;0,0010;-0,0079;0,0000;0,0002;0,0000;-0,0059;-0,0061;-0,0115;0,0166;0,0003;0,0008;0,0017;-0,0054;-0,0132;-0,0004;-0,0359
10.06.2021;293,25;110,58;218,50;67,33;53,06;100,45;92,70;76,76;6,61;128,46;54,38;0,00;11,89;133,60;17,70;56,32;10,01;68,32;141,15;74,66;92,30;33,69;65,71;156,00;207,90;231,95;0,00;96,88;39,16;84,52;30,54;116,10;412,20;134,92;24,89;47,35;110,70;230,50;53,48;92,94;-0,0014;-0,0027;0,0051;-0,0047;-0,0002;0,0005;-0,0183;-0,0083;-0,0068;-0,0050;-0,0048;0,0000;-0,0097;0,0019;0,0160;-0,0046;-0,0075;0,0009;-0,0070;0,0054;-0,0086;0,0220;-0,0013;0,0120;-0,0005;-0,0006;0,0000;-0,0035;0,0171;0,0002;-0,0152;0,0089;0,0049;-0,0090;-0,0181;0,0096;-0,0009;-0,0028;-0,0074;-0,0123
